epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20397463,0.001701563,0.8458925,0.00013069325,0.04374999925494194
1,0.20411108,0.0018978735,0.8467373,0.00011686317,0.03125
2,0.20400377,0.0019794374,0.84643203,0.00010548128,0.02500000037252903
3,0.20400372,0.0022921204,0.84635186,0.00010511232,0.03750000149011612
4,0.2042527,0.0028209751,0.8466382,0.00010755777,0.05000000074505806
5,0.20413591,0.0037529068,0.84629124,0.00010461211,0.09375
6,0.20411049,0.0048185242,0.84622115,0.000105946114,0.13750000298023224
7,0.20408279,0.0062538795,0.8464403,0.000103040395,0.20624999701976776
8,0.20408638,0.00819605,0.84658575,9.735342e-05,0.2562499940395355
9,0.2041521,0.010472218,0.8463836,9.077145e-05,0.32500001788139343
10,0.20419957,0.013139671,0.8463438,8.274251e-05,0.42499998211860657
11,0.20441663,0.015185666,0.8464429,7.8752935e-05,0.5375000238418579
12,0.20446305,0.016833458,0.8462402,7.5050106e-05,0.59375
13,0.20446394,0.018321985,0.84612775,6.8087524e-05,0.625
14,0.20447607,0.019901227,0.8460746,6.16333e-05,0.6312500238418579
15,0.20451033,0.02106232,0.8462331,5.380559e-05,0.7312500476837158
16,0.20447658,0.022049366,0.8463606,4.6956975e-05,0.7875000238418579
17,0.20453992,0.022945654,0.8466278,4.0396917e-05,0.7749999761581421
18,0.20466848,0.023722492,0.84699607,3.2703996e-05,0.8374999761581421
19,0.20472787,0.024479747,0.8471903,2.6840398e-05,0.793749988079071
20,0.20474435,0.02528708,0.8473657,2.2744229e-05,0.84375
21,0.20481871,0.026015429,0.84752226,1.9521744e-05,0.8562500476837158
22,0.20490366,0.026534194,0.8477149,1.7929851e-05,0.7937500476837158
23,0.20487913,0.02703231,0.8478647,1.6010174e-05,0.856249988079071
24,0.20494285,0.027473167,0.84804887,1.4702232e-05,0.8312500715255737
25,0.2050128,0.027881851,0.84812665,1.379467e-05,0.7749999761581421
26,0.20505019,0.02825964,0.848206,1.3400296e-05,0.862500011920929
27,0.20505,0.028693624,0.848268,1.3262977e-05,0.8624999523162842
28,0.20507783,0.028985268,0.84836894,1.2595974e-05,0.8500000238418579
29,0.20512505,0.029377777,0.84840196,1.23609525e-05,0.8812500238418579
30,0.20514269,0.029679969,0.84843224,1.2147036e-05,0.8062499761581421
31,0.20518911,0.030028557,0.84854144,1.2118985e-05,0.887499988079071
32,0.20526223,0.03043765,0.8486846,1.2536529e-05,0.9249999523162842
33,0.20536506,0.030800613,0.8488531,1.3089256e-05,0.831250011920929
34,0.20539078,0.031245546,0.8489495,1.3692387e-05,0.8500000238418579
35,0.20545259,0.031603854,0.8490308,1.44223195e-05,0.7875000238418579
36,0.20551592,0.031987313,0.84918094,1.5145956e-05,0.8812500238418579
37,0.2055934,0.032312952,0.8492363,1.5695767e-05,0.9375
38,0.20561339,0.032559935,0.84927624,1.6407148e-05,0.8812500238418579
39,0.20567404,0.032878213,0.84934944,1.7017077e-05,0.8812499642372131
40,0.2057597,0.03312909,0.8494237,1.7615164e-05,0.918749988079071
41,0.2058457,0.033422284,0.8494802,1.8621182e-05,0.8812500238418579
42,0.2058499,0.03367839,0.8495371,1.9403518e-05,0.862500011920929
43,0.20591159,0.033848535,0.84958345,2.0371348e-05,0.8812500238418579
44,0.20593785,0.034027513,0.8496015,2.1237398e-05,0.84375
45,0.20592749,0.034260448,0.849643,2.2188564e-05,0.8999999761581421
46,0.20597458,0.034539014,0.8496626,2.2625309e-05,0.875
47,0.20601039,0.034738548,0.84965986,2.2944272e-05,0.9125000238418579
48,0.20603597,0.03490729,0.84971255,2.3196864e-05,0.8937499523162842
49,0.20606816,0.035087015,0.84972733,2.4199288e-05,0.90625
