epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20402616,0.0016590086,0.86011225,0.00024473897,0.0
1,0.20474559,0.0029602922,0.8554415,7.4395204e-05,0.0
2,0.20443128,0.0038579467,0.8521027,3.0170928e-05,0.0
3,0.20430769,0.0037393668,0.8510719,1.7429209e-05,0.0
4,0.20398697,0.0038005402,0.8501632,1.21542935e-05,0.0
5,0.20392671,0.0041489983,0.8503523,4.909485e-06,0.0
6,0.20392166,0.004449348,0.8500473,3.731493e-06,0.0
7,0.20393592,0.0047334186,0.8497565,2.4279568e-06,0.0
8,0.204134,0.0049703917,0.85028887,1.8133372e-06,0.0
9,0.20415948,0.0052967835,0.8499779,1.4447354e-06,0.0
10,0.20427711,0.005721522,0.850143,1.128331e-06,0.0
11,0.2043544,0.0064722775,0.8499272,1.5033975e-06,0.0
12,0.20425096,0.007014169,0.84985924,2.1859303e-06,0.0
13,0.20419618,0.007839862,0.8495986,3.4349498e-06,0.0
14,0.20427309,0.008580266,0.8495819,4.5748397e-06,0.0
15,0.20429106,0.009881493,0.8495702,8.280442e-06,0.0
16,0.20408194,0.01125854,0.8493638,1.02428085e-05,0.0
17,0.20396912,0.012748693,0.8493643,1.3619461e-05,0.0
18,0.2040331,0.01440103,0.84953016,1.7658393e-05,0.0
19,0.20390163,0.01578603,0.8494174,1.839869e-05,0.0
20,0.2040329,0.01682085,0.8494461,2.0479189e-05,0.0
21,0.2041478,0.01772146,0.8495832,2.1573394e-05,0.0
22,0.2041623,0.018531565,0.8498966,2.2325263e-05,0.0
23,0.20426634,0.019688865,0.85015774,2.1679276e-05,0.0
24,0.20425995,0.020624477,0.8502304,2.2212276e-05,0.0
25,0.20431055,0.021301473,0.8504465,2.1292528e-05,0.0
26,0.20439684,0.022189165,0.8505964,2.15096e-05,0.0
27,0.20435373,0.022656417,0.8507286,2.021493e-05,0.0
28,0.20434473,0.023150446,0.8508478,1.8936349e-05,0.0
29,0.20435806,0.023529055,0.85096985,1.8768376e-05,0.0
30,0.20433338,0.023758568,0.85115904,1.744129e-05,0.0
31,0.20433062,0.023979085,0.8513391,1.6348169e-05,0.0
32,0.20432316,0.024171712,0.851507,1.5690426e-05,0.0
33,0.20437519,0.024244377,0.8516988,1.4777205e-05,0.0
34,0.20439072,0.024488013,0.85196614,1.4024173e-05,0.0
35,0.20440567,0.024671817,0.85207015,1.3806297e-05,0.0
36,0.20439775,0.024884282,0.8522758,1.3323122e-05,0.0
37,0.20448768,0.024936948,0.8525443,1.2552216e-05,0.0
38,0.20453271,0.025023287,0.85275793,1.2127731e-05,0.0
