epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2038468,0.0018885438,0.84787613,0.00077028404,0.0
1,0.20396042,0.0018685599,0.84843045,0.0007556391,0.0
2,0.20396765,0.0018747312,0.8487029,0.0007610751,0.0
3,0.20385326,0.0018651119,0.84839535,0.0007585383,0.0
4,0.20387828,0.0018693209,0.8483555,0.0007572912,0.0
5,0.2039403,0.0018768578,0.8485314,0.0007579318,0.0
6,0.20396817,0.0018964867,0.8485231,0.0007564239,0.0
7,0.20392202,0.0019143324,0.8483327,0.00075682084,0.0
8,0.2038728,0.0019332393,0.84812075,0.00076185487,0.0
9,0.20390849,0.0018729754,0.84838814,0.0007608733,0.0
10,0.20387924,0.0018733459,0.8482652,0.0007612966,0.0
11,0.20383622,0.0018727226,0.84809375,0.00075915287,0.0
12,0.20380042,0.0018735181,0.84797734,0.0007581852,0.0
13,0.20382048,0.0018778701,0.8480423,0.00075708394,0.0
14,0.20380715,0.0018833125,0.84800965,0.00075923366,0.0
15,0.20381527,0.0018858361,0.84802604,0.00075779436,0.0
16,0.2037945,0.0018865784,0.84796643,0.0007558872,0.0
17,0.20382668,0.0018830716,0.8480418,0.00075629615,0.0
18,0.20383693,0.0018853588,0.8480572,0.00075619685,0.0
19,0.20384575,0.0018862435,0.848072,0.0007570344,0.0
20,0.20383298,0.0018882592,0.8480291,0.00075551093,0.0
21,0.20383297,0.0018852651,0.8480437,0.0007552711,0.0
22,0.20383169,0.001887071,0.8480334,0.0007559612,0.0
23,0.20381866,0.0018865956,0.8479876,0.0007548595,0.0
24,0.20384476,0.0018879499,0.8480747,0.0007552702,0.0
25,0.20384659,0.001889076,0.848068,0.00075471756,0.0
26,0.20385817,0.0018904251,0.84810156,0.00075455965,0.0
27,0.20384374,0.0018901086,0.848036,0.0007541746,0.0
28,0.20384489,0.0018904655,0.8480335,0.0007542542,0.0
29,0.20385654,0.0018907598,0.8480735,0.0007546284,0.0
30,0.20386013,0.00188786,0.8480842,0.00075379043,0.0
31,0.20386133,0.0018858161,0.8480725,0.00075428275,0.0
32,0.20387569,0.0018859726,0.84810776,0.0007543128,0.0
33,0.20387514,0.0018875361,0.8481031,0.00075387955,0.0
34,0.20388031,0.001881733,0.8481138,0.00075416145,0.0
35,0.20388044,0.0018787581,0.84812325,0.0007540563,0.0
36,0.20387514,0.0018775752,0.84811205,0.00075364765,0.0
37,0.20387712,0.001877524,0.84810805,0.0007540326,0.0
38,0.20389163,0.0018750471,0.8481578,0.00075349194,0.0
39,0.20389706,0.0018738664,0.8481739,0.0007529569,0.0
40,0.20389448,0.0018724378,0.84816504,0.0007528253,0.0
41,0.20389889,0.0018730103,0.84817356,0.00075326575,0.0
42,0.20390081,0.001870705,0.8481905,0.0007533811,0.0
43,0.20389311,0.0018694255,0.8481524,0.00075385236,0.0
44,0.20390001,0.0018673037,0.8481787,0.0007545276,0.0
45,0.20390904,0.001866958,0.8482247,0.00075509056,0.0
46,0.20391394,0.0018639052,0.84824735,0.00075583206,0.0
47,0.2039226,0.0018620654,0.84828323,0.0007559931,0.0
48,0.20391878,0.0018591539,0.848263,0.00075595226,0.0
49,0.20390047,0.001855589,0.84821576,0.0007557438,0.0
50,0.20389679,0.0018528366,0.848206,0.00075642293,0.0
51,0.20389263,0.0018515431,0.8481925,0.0007574737,0.0
52,0.20388138,0.0018506859,0.8481657,0.00075837417,0.0
53,0.20388941,0.0018507709,0.84819144,0.0007588999,0.0
54,0.20389348,0.0018514895,0.8481931,0.0007595397,0.0
55,0.20389904,0.0018526078,0.8482216,0.000759958,0.0
56,0.20390515,0.0018542995,0.8482534,0.00076060713,0.0
57,0.2039111,0.0018546125,0.84827846,0.000760894,0.0
58,0.20390694,0.0018549731,0.8482736,0.0007616219,0.0
59,0.2038978,0.0018577558,0.84825367,0.0007623711,0.0
60,0.20390034,0.001859053,0.8482633,0.00076254853,0.0
61,0.20390324,0.0018626834,0.84827876,0.0007634368,0.0
62,0.20391218,0.0018651751,0.8483003,0.000763834,0.0
63,0.20391949,0.0018653136,0.8483359,0.0007640629,0.0
64,0.20391768,0.0018667115,0.84834224,0.00076395756,0.0
65,0.20391947,0.0018706727,0.8483453,0.0007644232,0.0
66,0.20391479,0.001872949,0.8483426,0.00076473755,0.0
67,0.20390226,0.0018746034,0.8483154,0.00076469267,0.0
68,0.2039107,0.0018771044,0.84835666,0.0007649753,0.0
69,0.20390758,0.0018793085,0.8483501,0.0007652775,0.0
70,0.20390151,0.0018779747,0.8483281,0.00076507777,0.0
71,0.20390591,0.0018782249,0.84834653,0.0007649998,0.0
72,0.2039062,0.0018794076,0.8483465,0.00076529646,0.0
73,0.20390792,0.0018798807,0.8483539,0.0007655451,0.0
74,0.20391014,0.0018792894,0.848361,0.0007656491,0.0
75,0.20391497,0.0018785637,0.8483769,0.0007659464,0.0
76,0.20391457,0.0018786781,0.848378,0.0007660943,0.0
77,0.2039162,0.0018780445,0.8483799,0.0007661252,0.0
78,0.20391959,0.0018783261,0.848392,0.00076608156,0.0
79,0.20392603,0.0018785001,0.8484152,0.0007655194,0.0
80,0.20393318,0.0018791616,0.8484406,0.0007658912,0.0
81,0.20393129,0.0018786734,0.84843296,0.0007656969,0.0
82,0.20393135,0.0018783705,0.848435,0.0007658082,0.0
83,0.20393373,0.001877544,0.848445,0.00076581637,0.0
84,0.20393433,0.0018766404,0.8484464,0.0007659772,0.0
85,0.2039383,0.0018767684,0.8484583,0.0007656461,0.0
86,0.20393397,0.0018789809,0.8484344,0.000766363,0.0
87,0.20392777,0.0018871858,0.8484089,0.0007670882,0.0
88,0.20393151,0.001897325,0.8484052,0.0007680135,0.0
89,0.2039357,0.0019061607,0.8484096,0.0007686641,0.0
90,0.20393766,0.00191534,0.84841245,0.0007703735,0.0
91,0.20393705,0.0019225314,0.8484096,0.0007710811,0.0
92,0.20394208,0.0019273666,0.8484111,0.0007716782,0.0
93,0.20393942,0.0019385581,0.84839445,0.0007731542,0.0
94,0.20393848,0.0019436129,0.84838337,0.000773893,0.0
95,0.20393662,0.0019490579,0.8483844,0.0007739573,0.0
96,0.2039397,0.001957064,0.84839696,0.00077436096,0.0
97,0.20393755,0.001961277,0.84838885,0.00077491516,0.0
98,0.20394078,0.0019636652,0.8483863,0.0007754029,0.0
99,0.20394082,0.0019643882,0.8483851,0.00077572133,0.0
