epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20440416,0.0034206524,0.84980583,0.0006236737,0.0
1,0.20422892,0.0043295734,0.8480155,0.0007235801,0.0
2,0.204165,0.0043060333,0.8477185,0.0007687118,0.0
3,0.20406017,0.0050685485,0.8473061,0.00078436284,0.0
4,0.20388374,0.00575819,0.8469953,0.0007822194,0.0
5,0.20380716,0.0056745247,0.84660244,0.0007853845,0.0
6,0.20375319,0.0056782155,0.84621996,0.0007826206,0.0
7,0.20394816,0.0055888174,0.8465411,0.0007933934,0.0
8,0.20391221,0.0057041883,0.8465503,0.0008005777,0.0
9,0.20390731,0.0058693914,0.8465624,0.0008114061,0.0
10,0.2038692,0.006223272,0.8463083,0.0008202071,0.0
11,0.20389944,0.0065582865,0.8462525,0.0008185509,0.0
12,0.20394306,0.0074370243,0.8464753,0.00082214247,0.0
13,0.20393828,0.008451727,0.84659463,0.0008274552,0.0
14,0.20400676,0.009704086,0.846757,0.00082762184,0.0
15,0.20409861,0.010684073,0.8471672,0.00083559565,0.0
16,0.20419109,0.011946207,0.8476598,0.0008526041,0.0
17,0.20430374,0.013321106,0.8479071,0.0008593099,0.0
18,0.20435566,0.014736891,0.8482959,0.00086716097,0.0
19,0.2045521,0.015879165,0.84883213,0.00086927944,0.0
20,0.20466109,0.016899303,0.8490384,0.0008669158,0.0
21,0.20474985,0.017874017,0.84941405,0.0008682191,0.016666666915019352
22,0.20486185,0.018516576,0.8496222,0.0008601548,0.11666667461395264
23,0.20498556,0.019063959,0.8498599,0.0008503669,0.06666666766007741
24,0.20500025,0.019506413,0.8501687,0.00083600864,0.2166666785875956
25,0.20507383,0.020000761,0.8505237,0.00081633177,0.4833333492279053
26,0.20512035,0.020406725,0.8511366,0.0007921818,0.23333332935969034
27,0.2051679,0.020577958,0.8516074,0.0007661297,0.5666666825612386
28,0.20522477,0.020703537,0.85227984,0.000727356,0.5833333333333334
29,0.2053433,0.020792268,0.85293645,0.0006833525,0.8000000317891439
30,0.20541483,0.020891575,0.8535096,0.00063714694,0.9166666666666666
31,0.20551556,0.020911524,0.8541796,0.0005995065,0.8333333333333334
32,0.20560291,0.02098246,0.854619,0.0005670835,0.9666666984558105
33,0.20566155,0.021172104,0.8551251,0.0005340353,1.0
34,0.20573519,0.021332555,0.8555369,0.00051289244,1.0
35,0.20577969,0.021524822,0.8559284,0.0004968857,0.9833333492279053
36,0.20583072,0.021748424,0.85625005,0.00048201458,1.0
37,0.20587648,0.021962907,0.8564547,0.0004683726,1.0
38,0.20589824,0.022133326,0.8566764,0.00045530047,1.0
39,0.20593716,0.022294147,0.85684013,0.00044278722,1.0
40,0.20596714,0.022497762,0.85690063,0.0004328011,1.0
41,0.20598808,0.022672422,0.85699195,0.0004250699,1.0
42,0.2060087,0.022890732,0.8571517,0.00041684264,1.0
43,0.20606612,0.023042543,0.8574085,0.00040723538,1.0
44,0.20610115,0.023222147,0.8575737,0.00040029324,1.0
45,0.2061489,0.0233753,0.8577674,0.00039335398,1.0
46,0.20617287,0.02348247,0.85792166,0.00038647893,1.0
47,0.20621812,0.023576006,0.85805863,0.00038146702,0.9833333492279053
48,0.2062208,0.023691954,0.8581924,0.0003767159,1.0
49,0.2062435,0.023761563,0.85830563,0.00037252935,1.0
50,0.20626894,0.023889167,0.85849947,0.00036854076,1.0
51,0.206301,0.023979425,0.85868555,0.00036537566,1.0
52,0.20633052,0.024040978,0.8588677,0.00036055673,1.0
53,0.20635706,0.024116889,0.8590312,0.0003566714,0.9833333492279053
54,0.2063728,0.02422092,0.85911846,0.00035374812,1.0
55,0.20635681,0.0243296,0.85907096,0.0003514751,1.0
56,0.20636263,0.024391914,0.85908794,0.00034816554,1.0
57,0.2063895,0.024509573,0.8591586,0.0003469199,1.0
58,0.20638604,0.024596997,0.8591316,0.00034534364,1.0
59,0.2064194,0.02470386,0.85919076,0.00034338437,1.0
60,0.20644501,0.024825795,0.8592558,0.00034131683,1.0
61,0.20646006,0.024910992,0.85931945,0.0003397709,1.0
62,0.20647477,0.025005834,0.85932165,0.00033804495,1.0
63,0.20647354,0.025096418,0.8593144,0.00033591824,1.0
64,0.20648862,0.025138184,0.8593457,0.0003333847,1.0
65,0.20650528,0.025205512,0.8594568,0.0003305742,1.0
66,0.20650788,0.025282811,0.8595063,0.00032840561,0.9833333492279053
67,0.20652772,0.02536106,0.8595194,0.0003263144,1.0
68,0.2065491,0.025427546,0.8595554,0.0003236918,1.0
69,0.20654197,0.025527487,0.8595271,0.00032200993,1.0
70,0.20655441,0.025564859,0.85954326,0.00032030125,1.0
71,0.20656183,0.025662526,0.85956925,0.0003196088,1.0
72,0.20657414,0.0257254,0.85961884,0.00031809328,1.0
73,0.20658836,0.025762986,0.85965985,0.00031645014,1.0
74,0.20659475,0.025807338,0.85966134,0.00031541134,1.0
75,0.20660457,0.025846466,0.85968757,0.00031261673,1.0
76,0.20661144,0.02589862,0.8596933,0.00031031392,1.0
77,0.20659813,0.025934298,0.8597014,0.00030908844,1.0
78,0.20660429,0.025986979,0.8596819,0.00030774632,1.0
79,0.20659919,0.026031759,0.8596727,0.00030624543,1.0
80,0.20658256,0.026055861,0.85966986,0.00030446195,1.0
81,0.20657961,0.02610664,0.85970354,0.00030326287,1.0
82,0.20658451,0.026130661,0.85972196,0.00030106088,1.0
83,0.20657721,0.026177865,0.859724,0.0002991051,1.0
84,0.20659406,0.0262228,0.85969394,0.00029864567,1.0
85,0.20659031,0.026265109,0.85971,0.00029732042,1.0
86,0.20657796,0.026291875,0.85973364,0.00029607708,1.0
87,0.20657334,0.026348291,0.85969406,0.00029565825,1.0
88,0.20657974,0.026361456,0.85970116,0.00029479372,0.9833333492279053
89,0.20658302,0.026410537,0.8597412,0.0002943749,1.0
90,0.20659006,0.026473355,0.85976046,0.0002941937,1.0
91,0.20661749,0.02651813,0.8598141,0.00029400596,1.0
92,0.2066132,0.026562605,0.8597989,0.0002933539,1.0
93,0.20660481,0.026594223,0.85978484,0.00029320634,1.0
94,0.20660736,0.026627641,0.85981363,0.00029309155,1.0
95,0.20662147,0.026686478,0.8598259,0.00029257443,0.9833333492279053
96,0.20661981,0.026723608,0.8598575,0.00029245665,1.0
97,0.20663519,0.026780305,0.8598788,0.00029194422,1.0
98,0.20662996,0.026800651,0.8598671,0.00029182326,1.0
99,0.20663792,0.02684052,0.8598729,0.0002915547,1.0
