epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20354705,0.0022687314,0.8503585,0.0003335708,0.0
1,0.20315292,0.0036218106,0.84997016,0.00032678634,0.0
2,0.20276362,0.0070206523,0.848994,0.00042243488,0.0
3,0.20259626,0.009619879,0.8479471,0.0004536904,0.0
4,0.20286113,0.012951821,0.847243,0.0004796586,0.0
5,0.2029919,0.013171425,0.8468388,0.00047326126,0.0
6,0.20291075,0.012440313,0.84658045,0.00046664188,0.0
7,0.2031017,0.012529511,0.84651494,0.00045950012,0.0
8,0.20295343,0.012970921,0.84587455,0.00045767226,0.0
9,0.20290673,0.013293275,0.8460056,0.000447822,0.0
10,0.20304763,0.013741586,0.84599376,0.0004435503,0.0
11,0.20314455,0.01346786,0.8462782,0.00044549958,0.0
12,0.20319284,0.013205382,0.846421,0.0004416385,0.0
13,0.20320854,0.013023639,0.8466174,0.00044596163,0.0
14,0.20324486,0.0126149785,0.8468811,0.0004408121,0.0
15,0.20327173,0.012076545,0.8471195,0.00043478908,0.0
16,0.20332982,0.012516536,0.84719664,0.0004373344,0.0
17,0.20333901,0.012679564,0.8470433,0.00043690414,0.0
18,0.20319858,0.013008727,0.8470545,0.0004395592,0.0
19,0.20317203,0.012923417,0.8471071,0.00043751343,0.0
20,0.20316572,0.012542567,0.847353,0.00043137986,0.0
21,0.20313817,0.012269698,0.84753555,0.00042517498,0.0
22,0.20315781,0.012167367,0.84755945,0.0004232646,0.0
23,0.20313346,0.012083218,0.8476181,0.00042223083,0.0
24,0.20314823,0.012041428,0.8476928,0.00042119692,0.0
25,0.20320158,0.011939252,0.8477358,0.000419679,0.0
26,0.20319407,0.0116933,0.84775954,0.00041545564,0.0
27,0.2032152,0.011492733,0.84791183,0.00041253454,0.0
28,0.20323685,0.011222847,0.8481174,0.00041011957,0.0
29,0.20321424,0.01103214,0.8481908,0.00040930777,0.0
30,0.20316742,0.01099681,0.8482909,0.00040813183,0.0
31,0.20315643,0.010915278,0.84837633,0.00040543862,0.0
32,0.20314538,0.010796011,0.84849435,0.0004035945,0.0
33,0.20315357,0.010577461,0.8486083,0.00040100017,0.0
34,0.20316336,0.010395783,0.84874266,0.00039916162,0.0
35,0.20318456,0.010260969,0.8488293,0.00039839325,0.0
36,0.20318699,0.01014729,0.8488651,0.00039767227,0.0
37,0.20320144,0.010020286,0.84895134,0.00039692386,0.0
38,0.20320544,0.009875925,0.84901756,0.00039547458,0.0
39,0.20322873,0.009742237,0.8491352,0.0003952653,0.0
40,0.2032554,0.0095935995,0.84922695,0.00039336155,0.0
41,0.20326547,0.009433398,0.8493131,0.0003904308,0.0
42,0.20328167,0.009284091,0.849407,0.0003889491,0.0
43,0.20328508,0.009152641,0.8494486,0.00038806346,0.0
44,0.2033,0.009026438,0.8494954,0.0003872825,0.0
45,0.20331058,0.008886671,0.84953874,0.00038584357,0.0
46,0.20332569,0.00874695,0.849581,0.00038454877,0.0
47,0.20333268,0.008592729,0.84960747,0.00038253912,0.0
48,0.20334584,0.0084497575,0.84963053,0.00038107307,0.0
49,0.20335454,0.008338876,0.8496565,0.00037899156,0.0
50,0.20337123,0.008221634,0.84973806,0.00037705907,0.0
51,0.20337935,0.008132971,0.8497824,0.00037590423,0.0
52,0.2033901,0.008009164,0.8498052,0.00037457232,0.0
53,0.20339836,0.007897218,0.84984493,0.00037318826,0.0
54,0.20340614,0.007793035,0.8498811,0.00037146723,0.0
55,0.20342246,0.0077259894,0.84992385,0.0003710779,0.0
56,0.20341927,0.00765714,0.8498981,0.0003724862,0.0
57,0.20341773,0.007600905,0.8499031,0.00037228226,0.0
58,0.20344517,0.0076306863,0.84995985,0.00037195484,0.0
59,0.2034586,0.0076706414,0.84999126,0.00037353145,0.0
60,0.20347232,0.007627704,0.8500495,0.00037384685,0.0
61,0.20347413,0.007574649,0.85003835,0.00037259038,0.0
62,0.2034923,0.00751188,0.8500836,0.00037176991,0.0
63,0.2035321,0.007523712,0.85012335,0.00037290587,0.0
64,0.20356606,0.007562254,0.85017604,0.00037341882,0.0
65,0.2035824,0.007592193,0.8502118,0.00037425393,0.0
66,0.20359582,0.007539754,0.8502292,0.00037358483,0.0
67,0.20360519,0.007528909,0.85026836,0.00037303838,0.0
68,0.20360227,0.0075327023,0.8502515,0.0003735095,0.0
69,0.2036288,0.007661458,0.85029024,0.00037633328,0.0
70,0.20365447,0.007750703,0.85028106,0.00037887483,0.0
71,0.20366819,0.007826419,0.8502541,0.0003804382,0.0
72,0.20367345,0.0079014925,0.85019946,0.0003831489,0.0
73,0.20368585,0.007954204,0.85013396,0.00038582785,0.0
74,0.20372269,0.008027851,0.85009974,0.00038963184,0.016666666915019352
75,0.2037417,0.008192666,0.84991163,0.00039655805,0.11666667461395264
76,0.20374644,0.0083247395,0.849828,0.00039998433,0.0
77,0.20373183,0.0084319515,0.84971285,0.0004041173,0.016666666915019352
78,0.20371957,0.008537752,0.8496247,0.00040447756,0.10000000397364299
79,0.2036867,0.008714736,0.8495018,0.0004052647,0.23333332935969034
80,0.20368667,0.008866077,0.8496582,0.0004017666,0.44999996821085614
81,0.20367958,0.009029391,0.8497717,0.0003951268,0.5
82,0.20370628,0.009175727,0.84991187,0.00038606583,0.6166666746139526
83,0.20373279,0.009341814,0.85011244,0.00037636622,0.9166666666666666
84,0.20376898,0.009508494,0.850297,0.00036671912,0.8666666348775228
85,0.20381013,0.0096741365,0.8504854,0.00035686628,0.8833333492279053
86,0.20387152,0.009825572,0.85068065,0.00034849593,0.8666666984558105
87,0.20390743,0.009991524,0.85089344,0.00033988254,0.933333492279053
88,0.20397697,0.0101788,0.8511241,0.0003315111,0.933333492279053
89,0.20403257,0.010337537,0.8513915,0.00032346966,1.0
90,0.20408925,0.010501973,0.8516026,0.0003153347,0.9333333174387614
91,0.20413332,0.010640433,0.85181624,0.00030847915,1.0
92,0.20416762,0.010783498,0.8520117,0.0003013698,0.9833333492279053
93,0.20421676,0.010902381,0.8522096,0.0002948175,0.9833333492279053
94,0.20423792,0.011039512,0.85238165,0.00028777192,0.933333492279053
95,0.20427538,0.0111704515,0.85257244,0.0002811035,0.9833333492279053
96,0.20431608,0.011315049,0.8527611,0.00027517206,0.9833333492279053
97,0.20435669,0.011476039,0.85296255,0.0002693287,0.9833333492279053
98,0.20440258,0.011605837,0.8531291,0.00026368012,1.0
99,0.20444956,0.011722909,0.85331464,0.00025836274,0.933333492279053
