epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20411015,0.0017960056,0.860894,0.00022968279,0.0
1,0.20409563,0.0028260734,0.8555712,5.9897502e-05,0.0
2,0.2041593,0.0032727353,0.8536899,3.079146e-05,0.0
3,0.20405538,0.0038887924,0.85277987,1.7311302e-05,0.0
4,0.20386225,0.00467496,0.85194665,7.880862e-06,0.0
5,0.2036174,0.0054447744,0.85096407,3.6872764e-06,0.0
6,0.20366943,0.0069739036,0.85063225,5.406517e-06,0.0
7,0.20379609,0.008813681,0.8500457,9.7094635e-06,0.0
8,0.20371103,0.009632182,0.8494331,1.5480904e-05,0.0
9,0.20364773,0.011580948,0.8486847,2.599622e-05,0.0
10,0.20373473,0.013100529,0.84876275,2.867323e-05,0.0
11,0.20367807,0.01570567,0.84858245,3.23597e-05,0.0
12,0.20372885,0.018279029,0.8489175,3.5135912e-05,0.0
13,0.20404954,0.02041143,0.8493903,3.906382e-05,0.0
14,0.20426889,0.022943996,0.8496876,4.0400035e-05,0.0
15,0.20431642,0.024681766,0.84979296,3.8867303e-05,0.0
16,0.2045579,0.026455512,0.85015494,3.660269e-05,0.0
17,0.20458575,0.028131122,0.85034585,3.6502995e-05,0.0
18,0.20471062,0.03014769,0.8503666,3.7808084e-05,0.0
19,0.20478676,0.03203956,0.8504811,3.6125046e-05,0.0
20,0.2048609,0.033992782,0.8509517,3.3881075e-05,0.0
21,0.20505242,0.03562099,0.8518227,3.319597e-05,0.0
22,0.2052856,0.037044596,0.8525328,3.3071017e-05,0.0
23,0.20556785,0.037935387,0.8528986,3.058717e-05,0.0
24,0.20571376,0.03906654,0.85321045,2.8084076e-05,0.0625
25,0.20597385,0.040028505,0.8536045,2.5115767e-05,0.06875000149011612
26,0.20607957,0.04116433,0.8540209,2.3035276e-05,0.21250000596046448
27,0.20605785,0.04189534,0.85432607,2.0912024e-05,0.36250001192092896
28,0.20606394,0.04278484,0.8546867,1.8450373e-05,0.33125001192092896
