epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2038604,0.0014237452,0.85941774,0.00024339778,0.0
1,0.20390226,0.0045040366,0.8515994,5.512273e-06,0.0
2,0.20467328,0.0050396174,0.84937364,2.2291975e-05,0.0
3,0.20430326,0.0066165864,0.8483351,9.0185735e-05,0.0
4,0.20413938,0.0077390163,0.84685296,0.00014046626,0.0
5,0.20402656,0.01089846,0.845651,0.00022290139,0.0
6,0.20436697,0.013267498,0.8447183,0.00029485743,0.0
7,0.20449005,0.018706774,0.8447535,0.00034795902,0.0
8,0.20393103,0.022856664,0.8449693,0.00042391956,0.0
9,0.20360279,0.026957972,0.84473664,0.00051990553,0.0
10,0.20407335,0.031192321,0.844997,0.0005777409,0.0
11,0.20425546,0.036316413,0.84553164,0.000650975,0.0
12,0.20465346,0.04283546,0.84593016,0.0007216758,0.0
13,0.20438467,0.049056202,0.84643173,0.0007768708,0.0
14,0.2053397,0.05340679,0.84716564,0.00080155936,0.0
15,0.20559801,0.058361884,0.84776825,0.0008275051,0.0
16,0.20595899,0.061841454,0.84867597,0.00084159226,0.0
17,0.20601292,0.06513114,0.84948343,0.0008410208,0.0
18,0.20620781,0.069488205,0.8499349,0.0008409174,0.0
19,0.20623186,0.07250436,0.8498928,0.00082132895,0.0
20,0.20629458,0.07498384,0.85051817,0.00081114395,0.0
21,0.20655294,0.07706043,0.85123545,0.00080035435,0.0
22,0.20659406,0.07941353,0.85185915,0.0008145107,0.0
23,0.20688587,0.08122694,0.8525203,0.000818093,0.0
24,0.20688757,0.08234221,0.8531546,0.00080821366,0.0
25,0.20681041,0.0835041,0.8537577,0.00080562267,0.0
26,0.20707546,0.08485298,0.854345,0.00080069667,0.0
27,0.20728016,0.08589669,0.855061,0.0007945861,0.0
28,0.2074581,0.08674843,0.85571975,0.00078473723,0.0
29,0.20761693,0.088072985,0.8562155,0.00077242544,0.0
30,0.20781086,0.08946074,0.8567989,0.00077202887,0.0
31,0.207638,0.09116889,0.8562375,0.0008006608,0.0
32,0.20760566,0.0922249,0.8562651,0.00083008345,0.03125
33,0.20751962,0.09334987,0.85616034,0.0008359354,0.0
34,0.20792376,0.09416838,0.85649705,0.0008429967,0.0
35,0.20821887,0.09527841,0.8569676,0.00084104977,0.0
36,0.20847607,0.095841676,0.85751486,0.0008384535,0.02500000037252903
37,0.20882186,0.096138656,0.85811776,0.0008378322,0.0062500000931322575
38,0.20897688,0.09613491,0.8586342,0.00083048205,0.012500000186264515
39,0.20908158,0.09610611,0.85922104,0.00082762307,0.012500000186264515
40,0.20924954,0.09664393,0.85971045,0.000832754,0.0062500000931322575
41,0.20944458,0.097293,0.8601944,0.00083270465,0.012500000186264515
42,0.20944819,0.09798645,0.860689,0.00084079616,0.1875
43,0.20952871,0.09823173,0.8610936,0.000829557,0.20625001192092896
44,0.20953123,0.09843672,0.861454,0.0008139356,0.11250000447034836
45,0.20961392,0.09866199,0.8619759,0.0007984799,0.2562500238418579
46,0.20952955,0.09881374,0.8625114,0.0007694075,0.4812500476837158
47,0.20950888,0.09866045,0.8630152,0.0007245568,0.5874999761581421
48,0.20944498,0.09807583,0.86345655,0.000677262,0.39375001192092896
49,0.20940426,0.09769407,0.86393243,0.0006423401,0.59375
50,0.20936967,0.09721218,0.8643765,0.0005945322,0.518750011920929
51,0.20936623,0.09680884,0.8648062,0.0005564456,0.59375
52,0.20934847,0.09634441,0.86519927,0.0005182331,0.675000011920929
53,0.20938347,0.09597269,0.86558896,0.0004850096,0.7999999523162842
54,0.20945099,0.095373824,0.86598045,0.0004484922,0.6000000238418579
55,0.20950697,0.095072135,0.86637765,0.00042302176,0.8125000596046448
56,0.2095957,0.09469591,0.8667653,0.0003944996,0.71875
57,0.20963949,0.09433776,0.86706924,0.0003710556,0.800000011920929
58,0.20968756,0.09402657,0.867382,0.00034724307,0.887499988079071
59,0.20975083,0.09366022,0.86764574,0.0003266929,0.9375
60,0.20978688,0.09317469,0.86791056,0.00030527552,0.800000011920929
61,0.20984384,0.09274882,0.86819416,0.0002860345,0.9050000238418579
62,0.20991121,0.0921602,0.8684695,0.00026723996,0.924999761581421
63,0.20995004,0.09174909,0.8687596,0.0002490551,0.9149999988079071
64,0.21001239,0.091273926,0.86903745,0.00023469543,0.949999988079071
65,0.21004577,0.09082534,0.8693115,0.00022100161,0.912500476837158
66,0.21004409,0.090452254,0.8695269,0.00020874925,0.9375
67,0.21006572,0.090064675,0.8697323,0.00019817112,0.924999761581421
68,0.21009041,0.08962922,0.86992997,0.00018773404,0.924999761581421
69,0.21007837,0.08926918,0.8700773,0.0001790378,0.94875
70,0.21010274,0.088897765,0.87026805,0.00017110136,0.924999761581421
71,0.21011366,0.08859918,0.87044793,0.00016320344,0.937499761581421
72,0.21013351,0.08817519,0.87058944,0.0001565675,0.950000238418579
73,0.21016096,0.087881915,0.87077403,0.00014982537,0.912500476837158
74,0.21017036,0.08756424,0.87092,0.00014386767,0.951249988079071
75,0.2101528,0.08728937,0.8710451,0.00013816552,0.92500476837158
76,0.21016613,0.087110765,0.8712082,0.00013340928,0.92500476837158
77,0.2101993,0.08695281,0.871363,0.00012877707,0.91249988079071
78,0.2102256,0.086759835,0.8715444,0.00012475169,0.9250000238418579
79,0.21022363,0.0865278,0.8716995,0.00012044556,0.9537499761581421
80,0.21025418,0.08627746,0.8718532,0.00011643363,0.924999761581421
81,0.21027116,0.086093076,0.871996,0.00011302915,0.94875
82,0.2102813,0.08585026,0.87216693,0.00010943112,0.927500011920929
83,0.21029587,0.085635416,0.87231714,0.000106527856,0.937499761581421
84,0.21028483,0.08539528,0.87247926,0.00010292262,0.937499761581421
85,0.21027894,0.08518518,0.8726371,9.945666e-05,0.9500011920929
86,0.21027397,0.08489811,0.87277913,9.651455e-05,0.9750000238418579
87,0.21026012,0.08469705,0.8729003,9.435106e-05,0.9212500476837158
88,0.21025585,0.08456526,0.872978,9.262081e-05,0.899156
89,0.21024114,0.084315814,0.87306744,9.036762e-05,0.950000238418579
90,0.21023346,0.08414479,0.87315506,8.85608e-05,0.9350000238418579
91,0.21028946,0.08396545,0.873261,8.664452e-05,0.947500011920929
92,0.21028796,0.083727874,0.87332636,8.515739e-05,0.9500011920929
93,0.21030053,0.08359657,0.87340975,8.38951e-05,0.937499761581421
94,0.21029195,0.08339988,0.8734741,8.227249e-05,0.924999761581421
95,0.21028592,0.08324621,0.8735261,8.1007514e-05,0.950000238418579
96,0.21027768,0.08306567,0.87360305,7.964454e-05,0.9650000238418579
97,0.21027678,0.082923345,0.87363887,7.8805286e-05,0.937499761581421
98,0.21025974,0.08274579,0.87368685,7.746441e-05,0.927500011920929
99,0.21024689,0.08262589,0.87370723,7.684538e-05,0.977500011920929
