epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20423903,0.0013630916,0.8606449,0.0002447402,0.0
1,0.2042343,0.0022215524,0.8560447,7.003299e-05,0.0
2,0.20411193,0.0029839126,0.85392284,2.6870346e-05,0.0
3,0.20407772,0.0033122548,0.85313416,1.6183403e-05,0.0
4,0.20385511,0.0034272177,0.8519585,8.117114e-06,0.0
5,0.2040677,0.0035787718,0.85225934,5.9725485e-06,0.0
6,0.20410635,0.0037513897,0.85202414,3.6520753e-06,0.0
7,0.20405103,0.0038464228,0.85158396,2.0189307e-06,0.0
8,0.20397745,0.0042251204,0.8510373,1.1817415e-06,0.0
9,0.20408966,0.004345989,0.8509393,1.4539484e-06,0.0
10,0.20416728,0.004615645,0.8509178,1.7450387e-06,0.0
11,0.2041782,0.0050960486,0.8506467,2.0913888e-06,0.0
12,0.20412362,0.0055286046,0.85044974,3.0489653e-06,0.0
13,0.20413254,0.0061524278,0.8500497,4.8563165e-06,0.0
14,0.20415345,0.0069091516,0.8501548,5.2941687e-06,0.0
15,0.20407276,0.008076523,0.85025877,6.4665073e-06,0.0
16,0.20407514,0.009190741,0.85041386,8.918273e-06,0.0
17,0.20407425,0.010206401,0.8506789,1.3084517e-05,0.0
18,0.20415987,0.011288148,0.85089594,1.5637966e-05,0.0
19,0.20416173,0.01242769,0.85101336,2.1037957e-05,0.0
20,0.20425755,0.013350249,0.85102296,2.4355084e-05,0.0
21,0.2042536,0.014197345,0.851141,2.5546038e-05,0.0
22,0.20427561,0.015405428,0.85117143,2.703188e-05,0.0
23,0.20437597,0.01665334,0.8513498,2.6923568e-05,0.0
24,0.2043756,0.017833922,0.85150814,2.6878255e-05,0.0
25,0.20428574,0.0188468,0.8515768,2.7119613e-05,0.0
26,0.20422432,0.019929983,0.8516298,3.0435403e-05,0.0
27,0.20425642,0.02102005,0.8517085,3.309778e-05,0.0
28,0.20426859,0.021856895,0.8517647,3.251153e-05,0.0
29,0.20431893,0.022422103,0.8518038,3.2636064e-05,0.0
30,0.20431823,0.023102388,0.8519254,3.236307e-05,0.0
