epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20365703,0.001980262,0.8594617,0.00020272635,0.0
1,0.20416258,0.0047521763,0.8545129,5.3217987e-05,0.0
2,0.20402826,0.0052944487,0.85239005,2.2335234e-05,0.0
3,0.20399952,0.0068994868,0.8522766,9.214343e-06,0.0
4,0.20407508,0.008036487,0.8512295,5.9668387e-06,0.0
5,0.20438129,0.009592952,0.85108274,6.0492125e-06,0.0
6,0.20436704,0.011676498,0.85092425,9.4313755e-06,0.0
7,0.20432916,0.013885784,0.85014266,1.1611016e-05,0.0
8,0.20432526,0.01665973,0.8501162,1.8508528e-05,0.0
9,0.20413667,0.019203734,0.8496416,2.9626352e-05,0.0
10,0.20404947,0.022428088,0.84921885,3.446183e-05,0.0
11,0.20420286,0.024647627,0.849478,3.7881124e-05,0.0
12,0.20435967,0.026357116,0.84977794,3.6515772e-05,0.0
13,0.20435196,0.028146258,0.8500572,3.6899666e-05,0.0
14,0.20456818,0.029598456,0.8500752,3.7602746e-05,0.0
15,0.20470017,0.030892387,0.8502814,3.5147623e-05,0.0
16,0.20486611,0.032356907,0.85047764,3.2239885e-05,0.0
17,0.20503348,0.033408776,0.85069245,2.9452303e-05,0.0
18,0.20511085,0.03433367,0.8509843,2.7666596e-05,0.0
19,0.20516819,0.036143936,0.8511088,3.0516801e-05,0.0
20,0.20525669,0.0377858,0.85153264,3.2661916e-05,0.13124999403953552
21,0.20536715,0.038976327,0.85237193,3.653813e-05,0.05000000074505806
22,0.205632,0.04042358,0.8530635,4.120545e-05,0.0062500000931322575
23,0.20592165,0.04143897,0.85370797,3.9522605e-05,0.10000000149011612
24,0.20599748,0.04250358,0.85407186,3.5563397e-05,0.06875000149011612
25,0.20598623,0.043359146,0.8543188,3.149688e-05,0.26875001192092896
26,0.2060471,0.04392951,0.85480636,2.6014532e-05,0.5
27,0.20605211,0.044312254,0.8554456,1.9989136e-05,0.550000011920929
28,0.20618103,0.044830836,0.85615164,1.3750574e-05,0.75
29,0.20630491,0.045234736,0.85697484,7.408808e-06,0.9312499761581421
30,0.20649147,0.045515507,0.8578065,2.9163532e-06,0.9437500238418579
31,0.20671104,0.045918737,0.85864717,6.226023e-07,0.8937499523162842
32,0.20679522,0.04615061,0.8593113,5.351416e-08,0.9750000238418579
33,0.20688969,0.04635427,0.86001563,5.52583e-07,0.918749988079071
34,0.2069474,0.046531714,0.86071855,2.1304943e-06,0.96875
35,0.20699817,0.046806507,0.8613793,4.715073e-06,0.96875
