epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.01
52,0.01
53,0.05
54,0.09
55,0.125
56,0.26
57,0.28
58,0.305
59,0.33499999999999996
60,0.31
61,0.25
62,0.29000000000000004
63,0.28500000000000003
64,0.395
65,0.305
66,0.31999999999999995
67,0.365
68,0.355
69,0.405
70,0.35
71,0.41
72,0.395
73,0.405
74,0.36
75,0.395
76,0.39
77,0.425
78,0.405
79,0.425
80,0.41000000000000003
81,0.495
82,0.5
83,0.605
84,0.585
85,0.505
86,0.44
87,0.505
88,0.595
89,0.5549999999999999
90,0.565
91,0.54
92,0.595
93,0.56
94,0.575
95,0.685
96,0.6499999999999999
97,0.6799999999999999
98,0.7250000000000001
99,0.71
