epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19636828,0.0068506137,0.8250396,0.0010223234,0.0
1,0.1963879,0.00746523,0.8250939,0.0009787026,0.0
2,0.19650114,0.007734174,0.8252244,0.0010133649,0.0
3,0.19639009,0.007644883,0.82490134,0.0010218419,0.0
4,0.19625834,0.008088386,0.8247886,0.001030127,0.0
5,0.19620085,0.008219521,0.8243813,0.0010357397,0.0
6,0.19624785,0.008571767,0.8243327,0.0010480997,0.0
7,0.19614948,0.0085938545,0.82417184,0.0010506486,0.0
8,0.19616428,0.008639259,0.8240971,0.0010568127,0.0
9,0.19611672,0.008861855,0.82398075,0.0010592048,0.0
10,0.19605577,0.008915049,0.8238717,0.0010635341,0.0
11,0.19603021,0.008915866,0.8237679,0.0010612973,0.0
12,0.1960252,0.009137056,0.823524,0.0010668086,0.0
13,0.19600481,0.00927533,0.8232997,0.0010720452,0.0
14,0.19594188,0.009474,0.8230919,0.0010779615,0.0
15,0.19592857,0.009666711,0.82299525,0.0010783299,0.0
16,0.19588965,0.009964172,0.8228228,0.0010839718,0.0
17,0.19592947,0.010078181,0.8227152,0.0010870206,0.0
18,0.19594553,0.010209121,0.8225438,0.00108831,0.0
19,0.19591276,0.010415095,0.82236123,0.0010920734,0.0
20,0.19586016,0.010577441,0.8221924,0.0010936363,0.0
21,0.19586787,0.010703432,0.8221902,0.0010961946,0.0
22,0.19581813,0.0108673135,0.8220945,0.0010941477,0.0
23,0.19578137,0.010943841,0.8220277,0.0010899985,0.0
24,0.1957592,0.011089184,0.821966,0.0010872172,0.0
25,0.19577217,0.011110579,0.8219915,0.0010861432,0.0
26,0.19579418,0.011146699,0.8220423,0.0010887358,0.0
27,0.19577484,0.011209573,0.8220187,0.0010901081,0.0
28,0.19576514,0.011214072,0.8220218,0.001087471,0.0
29,0.19576831,0.011277816,0.82205325,0.0010871858,0.0
30,0.19574377,0.011319846,0.8220434,0.0010848516,0.0
31,0.19574691,0.01131916,0.82206374,0.0010831087,0.0
32,0.1957671,0.011264286,0.822097,0.0010841155,0.0
33,0.19579285,0.011067855,0.8222472,0.0010813266,0.0
34,0.19581494,0.0108365305,0.82241327,0.0010763227,0.0
35,0.19583598,0.010637069,0.8225468,0.0010726509,0.0
36,0.1958529,0.010419623,0.8226886,0.0010687333,0.0
37,0.195873,0.010198465,0.8228161,0.0010664458,0.0
38,0.19587794,0.0099891545,0.82292575,0.0010642082,0.0
39,0.19589902,0.009806551,0.8230602,0.0010610503,0.0
40,0.19590846,0.0096159885,0.82313967,0.0010597828,0.0
41,0.19591728,0.009464552,0.8232322,0.0010573711,0.0
42,0.19592986,0.009321008,0.82333857,0.0010550641,0.0
43,0.1959494,0.009194526,0.8234181,0.0010532219,0.0
44,0.19597986,0.009101801,0.8235175,0.0010517946,0.0
45,0.1959828,0.009014287,0.8235614,0.0010507721,0.0
46,0.19600362,0.00892738,0.82366353,0.0010487451,0.0
47,0.19601929,0.008883942,0.82371384,0.0010481491,0.0
48,0.19601822,0.008831402,0.8237676,0.0010457961,0.0
49,0.19602437,0.008772571,0.82381105,0.0010434868,0.0
50,0.19603325,0.008736167,0.8238604,0.00104365,0.0
51,0.1960444,0.008661572,0.82390565,0.0010447387,0.0
52,0.19604398,0.0086307395,0.823917,0.0010451335,0.0
53,0.19605085,0.008588288,0.82393914,0.0010454598,0.0
54,0.19606356,0.008594918,0.8239711,0.0010451168,0.0
55,0.19607249,0.008563485,0.8239791,0.0010455368,0.0
56,0.19607115,0.008560609,0.8239808,0.0010438227,0.0
57,0.19607943,0.008545924,0.8239865,0.0010439053,0.0
58,0.19607638,0.008522014,0.8240042,0.0010433315,0.0
59,0.19607167,0.008521383,0.824007,0.001042314,0.0
60,0.1960691,0.008511987,0.82404345,0.0010422586,0.0
61,0.19607039,0.008487123,0.82405853,0.0010422483,0.0
62,0.19606836,0.00847568,0.8240495,0.0010426547,0.0
63,0.1960719,0.008492696,0.82405543,0.0010428037,0.0
64,0.19606836,0.008478048,0.82408357,0.0010410049,0.0
65,0.19606012,0.0084883645,0.8240795,0.0010408834,0.0
66,0.19605795,0.00847612,0.8240683,0.0010413462,0.0
67,0.19605646,0.008497224,0.8240707,0.0010405956,0.0
68,0.19606309,0.008516658,0.82406026,0.0010416302,0.0
69,0.19606075,0.008529281,0.82407635,0.0010414864,0.0
70,0.19606386,0.00851545,0.8240753,0.0010413266,0.0
71,0.19607641,0.008523703,0.8240927,0.0010409866,0.0
72,0.19609024,0.008552436,0.8241144,0.0010413827,0.0
73,0.19609125,0.008563828,0.82409596,0.0010430585,0.0
74,0.19609739,0.008587244,0.82409024,0.001043386,0.0
75,0.19608948,0.008595297,0.82407403,0.0010439185,0.0
76,0.19609153,0.008599236,0.8240724,0.0010447587,0.0
77,0.19609445,0.008601496,0.8240685,0.0010449799,0.0
78,0.19609243,0.008608726,0.82405514,0.0010451252,0.0
79,0.19609377,0.008603039,0.8240579,0.0010458231,0.0
80,0.19610032,0.008608544,0.82405204,0.0010462467,0.0
81,0.19609797,0.008627283,0.82403874,0.0010471091,0.0
82,0.19609076,0.008671322,0.8240156,0.0010477732,0.0
83,0.19609092,0.0086999545,0.82400537,0.0010475111,0.0
84,0.19608751,0.008733263,0.82398725,0.0010491033,0.0
85,0.19609794,0.0087374365,0.82400113,0.0010486242,0.0
86,0.19609286,0.0087726535,0.8239779,0.0010486789,0.0
87,0.19608763,0.008786541,0.8239591,0.0010481314,0.0
88,0.19609068,0.008817748,0.82396245,0.0010481972,0.0
89,0.19608429,0.00884439,0.8239503,0.0010480151,0.0
90,0.19608408,0.008851505,0.82394594,0.0010480551,0.0
91,0.19607566,0.008870619,0.8239283,0.0010504457,0.0
92,0.19606881,0.008888802,0.82391125,0.001050321,0.0
93,0.19606972,0.00889169,0.82390517,0.0010516443,0.0
94,0.19606715,0.008903249,0.8238973,0.0010512274,0.0
95,0.19607572,0.008912031,0.8239002,0.0010514947,0.0
96,0.19607267,0.008931246,0.8238781,0.001051846,0.0
97,0.19606674,0.008943293,0.8238651,0.0010515138,0.0
98,0.19606912,0.008944529,0.8238697,0.0010515122,0.0
99,0.19605505,0.0089674685,0.82384855,0.0010521975,0.0
100,0.19604422,0.008995275,0.8238166,0.0010520113,0.0
101,0.19604233,0.009007382,0.8238015,0.0010517511,0.0
102,0.1960392,0.00902295,0.82378834,0.0010527055,0.0
103,0.19604315,0.00904435,0.8237863,0.0010530483,0.0
104,0.19603471,0.009063815,0.82376647,0.0010536392,0.0
105,0.19604076,0.009090814,0.8237594,0.0010535537,0.0
106,0.19604328,0.009101247,0.8237559,0.001053493,0.0
107,0.19604856,0.009102373,0.8237625,0.0010538603,0.0
108,0.1960474,0.009115442,0.8237364,0.0010544795,0.0
109,0.19605458,0.009125404,0.8237408,0.0010552859,0.0
110,0.19605896,0.009131534,0.8237527,0.0010545905,0.0
