epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19471395,0.014271369,0.8209612,0.001267565,0.0
1,0.19358,0.01575661,0.81272125,0.0009388163,0.0
2,0.19387342,0.020181714,0.8096998,0.00089199544,0.0
3,0.19405526,0.025108723,0.80869824,0.00085551856,0.0
4,0.19422488,0.029433273,0.807368,0.00088490924,0.0
5,0.19449832,0.03184126,0.80845314,0.00082893815,0.0
6,0.19418937,0.032821335,0.8077263,0.00082967983,0.0
7,0.19379601,0.033781886,0.80762845,0.00085086393,0.0
8,0.19427584,0.035052635,0.808398,0.0008353698,0.0
9,0.19420472,0.037817664,0.8079348,0.00082115986,0.0
10,0.19452009,0.041451305,0.80730575,0.000793389,0.0
11,0.19449411,0.04268086,0.8073203,0.0007920701,0.0
12,0.19463187,0.043089446,0.8075948,0.0007712731,0.0
13,0.19459432,0.044177838,0.80781156,0.0007727902,0.0
14,0.19466919,0.045453716,0.80830884,0.0007494508,0.0
15,0.19468041,0.04698661,0.8086705,0.00075134356,0.0
16,0.19470677,0.04864873,0.809165,0.00074681797,0.0
17,0.19472465,0.048944503,0.8093118,0.0007425872,0.0
18,0.19477715,0.04945713,0.80972487,0.0007356919,0.0
19,0.19465978,0.05062788,0.81001115,0.0007262183,0.0
20,0.19461142,0.04990409,0.8103654,0.00071450695,0.0
21,0.19480765,0.050304823,0.8103296,0.00071048643,0.0
22,0.19475363,0.051008474,0.81051475,0.00070432434,0.0
23,0.1948387,0.05120919,0.81065017,0.00071006146,0.0
24,0.19496922,0.05119113,0.81099916,0.0007041407,0.0
25,0.1950899,0.05123336,0.8112581,0.0007015979,0.0
26,0.19525546,0.051378354,0.81163573,0.00070078607,0.0
27,0.19530989,0.051396977,0.8118777,0.0006971799,0.0
28,0.19534202,0.051674925,0.81200975,0.0006964491,0.0
29,0.19533816,0.051699776,0.81236786,0.0006841824,0.0
30,0.19546585,0.05189819,0.8125789,0.0006718727,0.0
31,0.19545439,0.051768765,0.812757,0.0006699046,0.0
32,0.19547635,0.051960696,0.81294554,0.0006695883,0.0
33,0.19558132,0.052205086,0.8131115,0.0006739944,0.0
34,0.1954506,0.052504998,0.8130172,0.00068312866,0.0
35,0.19545846,0.052781764,0.813077,0.00068224146,0.0
36,0.19547121,0.053563356,0.8135627,0.0006655487,0.0
37,0.19553314,0.05401458,0.81407803,0.0006522586,0.23333334922790527
38,0.19554003,0.05467929,0.8144791,0.00066123746,0.016666666915019352
39,0.19564569,0.05501956,0.81483454,0.000664633,0.13333333532015482
40,0.19581972,0.05614166,0.8154307,0.0006743527,0.15000000596046448
41,0.19592856,0.05718735,0.81632894,0.00068900036,0.3166666825612386
42,0.19595212,0.05815191,0.81691957,0.0007135915,0.5166666507720947
43,0.1959996,0.059180535,0.8176212,0.0007200938,0.6500000158945719
44,0.1962065,0.06012031,0.818443,0.00073357817,0.5333333015441895
45,0.19622608,0.06112596,0.81906176,0.000742858,0.8333333333333334
46,0.19626296,0.062024865,0.819892,0.0007525873,0.7333333492279053
47,0.196445,0.06279263,0.82061785,0.00076707406,0.7166666984558105
48,0.19658509,0.06347399,0.82129025,0.000782765,0.8499999841054281
49,0.19668938,0.064107,0.82202595,0.00079432625,0.7833333015441895
50,0.19693275,0.06460895,0.8227713,0.0008050362,0.7833333015441895
51,0.19709404,0.065397546,0.82353544,0.000806163,0.9166666666666666
52,0.19738598,0.06587795,0.824454,0.00081605866,0.8333333333333334
53,0.19770603,0.06632516,0.82530516,0.0008318308,0.8666666348775228
54,0.19796605,0.06709546,0.82611537,0.0008363601,0.9833333492279053
55,0.19814919,0.06764474,0.82676905,0.0008432831,0.8000000317891439
56,0.1982962,0.06819852,0.82756275,0.0008522247,0.9666666984558105
57,0.1984516,0.068619125,0.8282788,0.0008582322,0.9833333492279053
58,0.19859335,0.06914893,0.8289991,0.00086389086,0.9333333174387614
59,0.19879322,0.06941861,0.8297394,0.0008682126,0.9666666984558105
60,0.1989473,0.06980769,0.8305213,0.00086924824,0.9499999682108561
61,0.19904245,0.07021757,0.8312082,0.00087428774,1.0
62,0.19916303,0.07072766,0.8318872,0.0008777135,1.0
63,0.1993146,0.07099587,0.83260554,0.0008787855,0.9833333492279053
64,0.19948433,0.07151155,0.8332186,0.00088411145,0.9833333492279053
65,0.19962299,0.0716881,0.83385205,0.0008899539,0.9833333492279053
66,0.1997475,0.072048366,0.8344512,0.00089296774,0.9666666984558105
67,0.19991577,0.07225873,0.8351031,0.00089870795,0.9833333492279053
68,0.20002739,0.07247422,0.8357482,0.0009037876,1.0
69,0.20016178,0.07295574,0.8362713,0.0008958145,1.0
70,0.2002372,0.07330529,0.83683467,0.00089920685,1.0
71,0.2004612,0.07365648,0.83738804,0.00089863065,1.0
72,0.20057009,0.07399961,0.8379633,0.00089963636,0.9833333492279053
73,0.20076595,0.07431725,0.8384982,0.0008983435,1.0
74,0.20087111,0.07449708,0.83904666,0.0009014642,0.9833333492279053
75,0.20104028,0.07469997,0.83955836,0.0009012094,1.0
76,0.20117363,0.07502228,0.8399809,0.0008958744,0.9499999682108561
77,0.20122127,0.075409666,0.8404834,0.0008909115,1.0
78,0.20136663,0.075674064,0.840981,0.0008899591,0.9666666984558105
79,0.20148529,0.075764716,0.84153265,0.00089046796,0.9833333492279053
80,0.20163943,0.07603066,0.8420529,0.00088727026,1.0
81,0.20179123,0.07629317,0.84249765,0.0008867791,1.0
82,0.20186277,0.07659587,0.8429253,0.00088500715,1.0
83,0.20194763,0.076898776,0.8433897,0.00088235707,0.9666666984558105
84,0.20204769,0.07707878,0.8438634,0.0008811299,1.0
85,0.20211916,0.0775296,0.84425926,0.0008758856,0.9666666984558105
86,0.20218986,0.07785901,0.8446703,0.0008733415,0.9833333492279053
87,0.20229858,0.07815336,0.8450017,0.00086493656,1.0
88,0.2024017,0.07849185,0.84544426,0.0008628255,0.9833333492279053
89,0.20250303,0.078688845,0.84583014,0.000858893,1.0
90,0.20261432,0.078994654,0.84623104,0.0008519416,0.9833333492279053
91,0.2026852,0.079129405,0.84661126,0.00084641686,1.0
92,0.20274916,0.07935268,0.84696436,0.0008430577,0.9833333492279053
93,0.2028272,0.07957173,0.8473294,0.0008380678,0.9833333492279053
94,0.20289896,0.079851635,0.8477011,0.0008365233,0.9833333492279053
95,0.20294073,0.08025584,0.84806055,0.00083299883,1.0
96,0.20302781,0.08043458,0.84839535,0.00082715973,1.0
97,0.20310745,0.08059566,0.84870625,0.0008222658,1.0
98,0.20318174,0.0808454,0.84904575,0.0008191904,1.0
99,0.20325431,0.08099272,0.84935266,0.0008171873,1.0
