epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19572686,0.0072156163,0.8211716,0.0011155418,0.0
1,0.19597611,0.008793163,0.8169802,0.0010281559,0.0
2,0.19589439,0.00811954,0.8165485,0.000966647,0.0
3,0.19529277,0.009858063,0.8145208,0.0009540494,0.0
4,0.19503342,0.011872011,0.81382465,0.0009272993,0.0
5,0.1955821,0.012750423,0.8147811,0.00091255055,0.0
6,0.19581155,0.014009196,0.81547767,0.0009157408,0.0
7,0.19573064,0.016147934,0.8159525,0.00092303025,0.0
8,0.1955221,0.017498132,0.8162816,0.0008908773,0.0
9,0.19554467,0.01882509,0.81668025,0.0008823637,0.0
10,0.19556044,0.020031327,0.8170662,0.0008724029,0.0
11,0.19554031,0.021347182,0.8172453,0.00086879643,0.0
12,0.19576906,0.02206857,0.81769866,0.0008867709,0.0
13,0.19608204,0.02254205,0.81794065,0.0008890691,0.0
14,0.19620536,0.023168284,0.8180354,0.00089163287,0.0
15,0.19621734,0.024764758,0.81737584,0.00087325583,0.016666666915019352
16,0.19614069,0.026623402,0.817368,0.0009049421,0.0
17,0.19615549,0.027637923,0.81801444,0.00092236605,0.10000000794728598
18,0.19641536,0.028200453,0.8191647,0.00094315736,0.0833333969116211
19,0.19647273,0.02879183,0.82043505,0.0009582404,0.2833333333333334
20,0.1965756,0.029600298,0.82234335,0.0009712895,0.4500000158945719
21,0.1968685,0.030148955,0.82447714,0.0009943271,0.666666348775228
22,0.19721512,0.030656055,0.8265596,0.0010170204,0.7333333174387614
23,0.19749486,0.031012602,0.8287974,0.0010368491,0.8833333651224772
24,0.19788218,0.031472433,0.8309358,0.0010516387,0.8333333969116211
25,0.19821043,0.03171216,0.83278626,0.0010651012,0.8500000635782877
26,0.19848734,0.03205482,0.83451146,0.0010734678,0.9000000158945719
27,0.19870773,0.03233098,0.83615845,0.0010775785,0.8500000635782877
28,0.19895399,0.0325239,0.83773804,0.0010867263,0.8000000317891439
29,0.19918476,0.032678902,0.83916444,0.0010917254,0.9833333492279053
30,0.19952391,0.032989115,0.8406117,0.0011038188,1.0
31,0.19980723,0.03314555,0.84192497,0.0011090524,0.9666666984558105
32,0.2000003,0.033501484,0.8431378,0.001111636,1.0
33,0.20010343,0.033809822,0.84411544,0.0011048956,0.9166666666666666
34,0.20017472,0.034083635,0.84505296,0.0010968009,0.9833333492279053
35,0.20030807,0.03440599,0.84595346,0.0010909279,0.9666666984558105
36,0.20046325,0.034576975,0.8467936,0.0010892757,1.0
37,0.20051809,0.03480997,0.84763163,0.001083471,1.0
38,0.2006435,0.035013355,0.8484933,0.0010793759,1.0
39,0.20066753,0.035273597,0.8491547,0.0010732819,0.9833333492279053
40,0.20083497,0.035639174,0.8499503,0.0010725346,0.9833333492279053
41,0.2009491,0.035866298,0.8506577,0.0010671061,0.9833333492279053
42,0.2010848,0.036140252,0.85139734,0.0010601977,1.0
43,0.20119594,0.036326136,0.85202676,0.0010537292,1.0
44,0.20125067,0.03661498,0.8525999,0.0010476658,1.0
45,0.20128089,0.036940333,0.853165,0.001039497,1.0
46,0.20132464,0.037042715,0.85371685,0.0010324329,0.9499999682108561
47,0.20141184,0.037305523,0.85426086,0.0010234276,1.0
48,0.20148095,0.03759603,0.85478497,0.0010158364,1.0
49,0.20151205,0.037833344,0.85519785,0.0010111734,0.9833333492279053
50,0.2015485,0.037997197,0.8556492,0.0010035877,1.0
51,0.20160621,0.038219795,0.85609895,0.0009982376,1.0
52,0.2016719,0.038360354,0.8564818,0.0009937006,1.0
53,0.20177417,0.038506225,0.8569003,0.0009862342,1.0
54,0.20183632,0.03868716,0.8573284,0.0009787768,1.0
