epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19684649,0.010050646,0.8224588,0.00091325893,0.0
1,0.19732636,0.0125546865,0.81867415,0.00093378435,0.0
2,0.19695829,0.013989146,0.81611985,0.00097281806,0.0
3,0.19697328,0.013381643,0.81758636,0.00094464095,0.0
4,0.19695412,0.01462057,0.818788,0.0009305156,0.0
5,0.19691734,0.01632156,0.8192687,0.00091320527,0.0
6,0.19694674,0.017991098,0.8191524,0.0008860076,0.0
7,0.19726576,0.019740324,0.8194241,0.0008721726,0.0
8,0.19751458,0.020635732,0.81965154,0.0008793515,0.0
9,0.19758448,0.021690438,0.8205399,0.0008789445,0.0
10,0.19773802,0.022842482,0.8209081,0.00086132094,0.0
11,0.19780827,0.023971854,0.82112265,0.00086424995,0.0
12,0.19784766,0.02464435,0.82148975,0.00086722634,0.0
13,0.198011,0.025442522,0.82191825,0.0008706322,0.0
14,0.19813563,0.025986576,0.82244724,0.0008873267,0.0
15,0.19812278,0.026602848,0.8224859,0.00089158426,0.0
16,0.19831406,0.027047692,0.8228852,0.0008804118,0.0
17,0.19841203,0.027078474,0.8232785,0.00088104076,0.0
18,0.19860888,0.027518734,0.8237982,0.000883739,0.0
19,0.1987107,0.027642658,0.8243285,0.0008885804,0.0
20,0.19884704,0.027978396,0.82479405,0.00089431304,0.0
21,0.1989941,0.0279889,0.8252365,0.0008936781,0.0
22,0.19909412,0.028076598,0.82552105,0.0008872032,0.0
23,0.19919668,0.027994337,0.8258372,0.0008834098,0.0
24,0.19929457,0.02828743,0.8261037,0.0008877699,0.0
25,0.19936523,0.0286533,0.82616776,0.00088612316,0.0
26,0.19944495,0.028881062,0.82639915,0.00088404864,0.0
27,0.1994426,0.029213982,0.82659274,0.00088737253,0.0
28,0.19949788,0.029270224,0.82680446,0.0008873048,0.0
29,0.19949605,0.030114027,0.8270898,0.0008824705,0.016666666915019352
30,0.19959347,0.03096355,0.8276605,0.0009000758,0.16666666666666666
31,0.19957699,0.031848162,0.82825017,0.00090658787,0.18333333730697632
32,0.19959146,0.03230942,0.82909137,0.00091119314,0.6000000238418579
33,0.19956873,0.032684766,0.82991964,0.000922312,0.4333333174387614
34,0.19959721,0.033014268,0.8306649,0.000931894,0.6166666746139526
35,0.19956909,0.033141103,0.8313332,0.00093934854,0.5833333333333334
36,0.1996414,0.033347685,0.8320961,0.0009511591,0.6499999761581421
37,0.19974615,0.033637792,0.83281684,0.0009554688,0.549999992052714
38,0.19979969,0.033960193,0.83331805,0.0009602157,0.9000000158945719
