epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19515182,0.00824167,0.8186973,0.0012473232,0.0
1,0.1953092,0.007870408,0.8192263,0.0012215761,0.0
2,0.19476093,0.007599937,0.8188348,0.0012421476,0.0
3,0.19465336,0.007294697,0.81913847,0.0012347616,0.0
4,0.19455038,0.0075058513,0.81924504,0.0012170913,0.0
5,0.19440141,0.007528823,0.8190231,0.0012038938,0.0
6,0.19437903,0.007496766,0.818898,0.0012130523,0.0
7,0.19453721,0.0077420073,0.8189099,0.001207258,0.0
8,0.19455563,0.0076411595,0.8188963,0.0012148296,0.0
9,0.19453742,0.007632651,0.8187155,0.0012121043,0.0
10,0.19459791,0.007594621,0.8187273,0.001217694,0.0
11,0.19457674,0.007537652,0.8187291,0.001213258,0.0
12,0.19455796,0.007455006,0.81880647,0.0012151259,0.0
13,0.1945278,0.0074101873,0.8188119,0.0012116447,0.0
14,0.19459453,0.0073981825,0.8188737,0.0012130305,0.0
15,0.1946067,0.007387775,0.818875,0.001212648,0.0
16,0.1946093,0.0073387856,0.8189142,0.0012146778,0.0
17,0.19463998,0.0073933275,0.81902426,0.0012119577,0.0
18,0.19464208,0.007410271,0.8190401,0.0012096522,0.0
19,0.19466157,0.0074195648,0.8190368,0.0012121111,0.0
20,0.19465967,0.007346244,0.8191347,0.0012134897,0.0
21,0.19463755,0.007316727,0.81911117,0.0012142578,0.0
22,0.19464034,0.0073374086,0.81915504,0.0012089916,0.0
23,0.19465607,0.007349215,0.81917423,0.0012092881,0.0
24,0.19464888,0.0073843612,0.81914353,0.0012081777,0.0
25,0.19464597,0.007374425,0.81911606,0.0012083726,0.0
26,0.19466084,0.0074213278,0.8191058,0.0012082859,0.0
27,0.1946463,0.007460766,0.8191256,0.001207922,0.0
28,0.19460475,0.007510887,0.81905013,0.0012078456,0.0
29,0.19459738,0.0075482517,0.8189909,0.0012044987,0.0
30,0.19460277,0.007528087,0.8190217,0.0012045145,0.0
31,0.19458075,0.007458086,0.8190128,0.001204583,0.0
32,0.19456911,0.0074941735,0.81894493,0.001200884,0.0
33,0.1945467,0.007439975,0.8189427,0.0012005327,0.0
34,0.19456439,0.007398361,0.8189872,0.001201375,0.0
35,0.19458227,0.0073702396,0.8189929,0.0012036929,0.0
36,0.19459797,0.0073228455,0.81904507,0.0012032437,0.0
37,0.19461133,0.007304596,0.81905025,0.0012016105,0.0
38,0.19461972,0.007286481,0.8190901,0.0012028567,0.0
39,0.19461748,0.007246792,0.8191493,0.001202784,0.0
40,0.19462442,0.007231789,0.81916094,0.0012006983,0.0
41,0.19462788,0.007239291,0.8191416,0.0012001357,0.0
42,0.19462995,0.0072452235,0.81914353,0.0012018125,0.0
43,0.19462234,0.0072300727,0.81911635,0.0012027259,0.0
44,0.19460791,0.0072044716,0.81907225,0.0012040802,0.0
45,0.19461885,0.0072130407,0.81905967,0.0012077733,0.0
46,0.19462022,0.007257726,0.81902045,0.0012096843,0.0
47,0.19460666,0.007277727,0.81898,0.0012105483,0.0
48,0.1945948,0.0072942553,0.81897515,0.0012112218,0.0
49,0.19458765,0.0073134215,0.81889886,0.0012127156,0.0
50,0.19457136,0.007356099,0.81878823,0.0012145665,0.0
51,0.1945851,0.00739237,0.81872827,0.0012152026,0.0
52,0.1945825,0.0074719097,0.8186423,0.0012170975,0.0
53,0.1945542,0.0075421208,0.81856984,0.0012203406,0.0
54,0.19455671,0.007642224,0.8184603,0.001222286,0.0
55,0.19454955,0.0077061234,0.8183972,0.0012231121,0.0
56,0.19454518,0.0077560623,0.81835335,0.001222257,0.0
57,0.19454385,0.007826518,0.81828374,0.0012244433,0.0
58,0.1945409,0.007877708,0.8182459,0.0012262105,0.0
59,0.1945269,0.007917492,0.8182265,0.0012278261,0.0
60,0.19452544,0.007937125,0.8182054,0.0012285808,0.0
61,0.19453365,0.007962876,0.8181879,0.0012295773,0.0
62,0.1945346,0.0080232145,0.81814843,0.0012287033,0.0
63,0.19451982,0.008063079,0.81810665,0.0012297217,0.0
64,0.1945153,0.008103761,0.8180911,0.0012299103,0.0
65,0.19451508,0.008136359,0.8180441,0.0012298478,0.0
66,0.19450836,0.008165314,0.81802416,0.001228854,0.0
67,0.19451648,0.008200759,0.81799966,0.001230582,0.0
68,0.1945191,0.008247366,0.8179926,0.0012296214,0.0
69,0.19452019,0.008255101,0.8179791,0.0012295515,0.0
70,0.19452551,0.00829385,0.8179755,0.0012298645,0.0
71,0.19453074,0.008330272,0.81796736,0.001229892,0.0
72,0.19455025,0.008359031,0.81798095,0.0012306984,0.0
73,0.19455616,0.00840766,0.81797093,0.0012308134,0.0
74,0.19456014,0.00849877,0.817926,0.0012328605,0.0
75,0.19455059,0.008578435,0.8178344,0.0012343323,0.0
76,0.1945422,0.008665035,0.81774,0.0012357397,0.0
77,0.19454366,0.0087446645,0.8176518,0.0012395137,0.0
78,0.19455044,0.0088258535,0.8175492,0.0012424741,0.0
79,0.19454554,0.008891447,0.8174396,0.0012466173,0.0
80,0.19455414,0.008974718,0.8173228,0.0012493205,0.0
81,0.19455646,0.009050832,0.81722903,0.0012520435,0.0
82,0.19455338,0.009110567,0.8171477,0.0012539168,0.0
83,0.1945448,0.009176753,0.8170685,0.0012554767,0.0
84,0.19453062,0.009212632,0.8169696,0.001258318,0.0
85,0.19451128,0.009264755,0.8168733,0.0012606386,0.0
86,0.19452178,0.009297701,0.8168371,0.001261968,0.0
87,0.19453274,0.009324775,0.81682056,0.0012630098,0.0
88,0.19454136,0.00937652,0.8167971,0.0012626112,0.0
89,0.19453785,0.009436002,0.81675386,0.0012644992,0.0
90,0.19453803,0.009495363,0.8166957,0.0012668008,0.0
91,0.19453199,0.009542831,0.81665784,0.0012681586,0.0
92,0.1945414,0.00956926,0.81662065,0.0012720982,0.0
93,0.19454692,0.009615926,0.8166004,0.001272966,0.0
94,0.1945544,0.009667574,0.81654257,0.0012750597,0.0
95,0.19454534,0.009707949,0.8165019,0.0012770871,0.0
96,0.1945471,0.009746443,0.816472,0.0012796099,0.0
97,0.19454998,0.00978226,0.81645465,0.0012801398,0.0
98,0.19455238,0.009820135,0.81641006,0.0012810732,0.0
99,0.19453865,0.009855028,0.81637126,0.0012820882,0.0
100,0.19453193,0.009871148,0.81635404,0.0012827506,0.0
101,0.19452667,0.009890687,0.81633353,0.001282676,0.0
102,0.19452733,0.009910285,0.81632185,0.001283214,0.0
103,0.19452046,0.009901814,0.8163205,0.0012820418,0.0
104,0.19452745,0.009893176,0.8163261,0.001282069,0.0
105,0.19452192,0.009885441,0.8163145,0.0012824553,0.0
106,0.19452451,0.009888733,0.8163254,0.0012825,0.0
107,0.19453312,0.009871816,0.8163369,0.0012831154,0.0
108,0.19453213,0.0098539265,0.8163517,0.001282943,0.0
109,0.19453615,0.009827656,0.81638366,0.0012823298,0.0
110,0.19453909,0.009831077,0.8164051,0.0012821434,0.0
111,0.19453482,0.009822667,0.81641626,0.0012820541,0.0
112,0.19453081,0.009821929,0.81643647,0.0012818832,0.0
113,0.19452849,0.009799239,0.8164544,0.0012814282,0.0
114,0.19453013,0.00979754,0.81646377,0.0012805494,0.0
115,0.19452812,0.009780338,0.81647563,0.001279681,0.0
116,0.19453697,0.009771275,0.8165016,0.0012789178,0.0
117,0.19452952,0.009762117,0.8164987,0.0012776001,0.0
118,0.19452724,0.009740181,0.8165061,0.0012771543,0.0
119,0.1945373,0.009718781,0.8165366,0.0012769018,0.0
120,0.19454022,0.009706867,0.8165638,0.001276745,0.0
