epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.1973924,0.012818997,0.82249945,0.0010125414,0.0
1,0.19766057,0.020807812,0.8144743,0.0009499683,0.0
2,0.19553083,0.028978007,0.8073917,0.0009647741,0.0
3,0.19494215,0.03267197,0.80682015,0.00089770457,0.0
4,0.19608028,0.03239181,0.8081682,0.00087418634,0.0
5,0.19560748,0.036082614,0.8066735,0.0008582368,0.0
6,0.19481207,0.039477214,0.8064394,0.00079281366,0.0
7,0.19488677,0.04007165,0.8068979,0.00076851714,0.0
8,0.19512421,0.040120307,0.80791754,0.00077290245,0.0
9,0.19512631,0.040569182,0.8086405,0.00077397143,0.0
10,0.19544424,0.04246863,0.8089108,0.00076689356,0.0
11,0.19609873,0.044579193,0.8092064,0.00074875285,0.0
12,0.1959319,0.046604782,0.8095825,0.0007334207,0.0
13,0.19580208,0.04884769,0.8095564,0.0007339019,0.0
14,0.19583613,0.04915384,0.8098841,0.00073037477,0.0
15,0.19578713,0.049269743,0.81008816,0.0007257005,0.0
16,0.1956727,0.050707355,0.8099694,0.00071649655,0.0
17,0.19556361,0.052107953,0.8100045,0.0007256241,0.0
18,0.19518545,0.05289003,0.81008595,0.00072703464,0.0
19,0.19516754,0.054067407,0.81040305,0.0007389073,0.0
20,0.19509968,0.056501582,0.8104319,0.0007737591,0.050000001986821495
21,0.19491924,0.059127495,0.8112328,0.0007858916,0.23333332935969034
22,0.19490944,0.061331324,0.81211525,0.00080754986,0.18333333730697632
23,0.19506623,0.06338957,0.81321234,0.0008128944,0.38333336512247723
24,0.19542177,0.064457074,0.81453395,0.0008422786,0.3333333333333333
25,0.19598973,0.06526818,0.8158516,0.0008648755,0.3166666825612386
26,0.19634365,0.06654318,0.81741446,0.0008970254,0.45000000794728595
27,0.19682096,0.06849776,0.8188591,0.00090072077,0.5500000317891439
28,0.19708654,0.070518285,0.82009965,0.0008840984,0.7333332697550455
29,0.19738483,0.07176134,0.8215709,0.00089479866,0.6500000635782877
30,0.1977736,0.07266305,0.8229894,0.00090827915,0.7166666030883789
31,0.19809292,0.07363315,0.82437795,0.0009188661,0.7333333174387614
32,0.19858292,0.074713334,0.82577795,0.0009269787,0.8333333174387614
33,0.19889541,0.07553067,0.8271354,0.00093070156,0.8666666984558105
34,0.19915791,0.076228075,0.8285477,0.00094222726,0.8499999682108561
35,0.19955239,0.07673831,0.8298767,0.0009418688,0.8666666984558105
36,0.19986244,0.077645235,0.8309831,0.00093187735,0.9399999682108561
37,0.19999321,0.07825569,0.8321193,0.0009271777,0.9366666984558105
38,0.20026724,0.079074465,0.83337206,0.00092595426,0.8933333492279053
39,0.20048566,0.07944078,0.8344191,0.00092852354,0.933333492279053
40,0.20076746,0.07981652,0.8353588,0.00092082727,0.933333492279053
41,0.20089824,0.08026606,0.83630514,0.00091236876,0.9266666984558105
42,0.20107889,0.08065306,0.8373361,0.0009180982,0.9166666984558105
43,0.20128912,0.08108354,0.83833057,0.00091757305,0.933333492279053
44,0.20141813,0.08147232,0.8391003,0.00091033167,0.9533333492279053
45,0.20156883,0.082074605,0.8398092,0.00091409247,0.9433333492279053
46,0.20187213,0.082490586,0.840652,0.00091612665,0.9499999682108561
47,0.20209382,0.08252986,0.8415267,0.00091046,0.933333492279053
48,0.20224395,0.08273695,0.84227896,0.0009014695,0.9666666984558105
49,0.20242672,0.083085336,0.8429575,0.0008981304,0.9499999682108561
50,0.2025427,0.08348717,0.8436063,0.0008953551,0.9499999682108561
51,0.20261668,0.0838932,0.84421206,0.0008916375,0.9533333492279053
52,0.20269825,0.08423404,0.8448221,0.0008894229,0.9633333492279053
53,0.20278719,0.08472358,0.8453932,0.00088501413,0.95
54,0.20288284,0.084886484,0.845895,0.0008771266,0.9499999682108561
55,0.2029965,0.085017234,0.8463807,0.00086992,0.9499999682108561
56,0.20304504,0.08539496,0.84672976,0.0008629923,0.9833333492279053
57,0.20310138,0.085846074,0.84707785,0.0008559713,1.0
58,0.20321105,0.08634639,0.8475406,0.00085102394,0.9533333492279053
59,0.2032165,0.08669982,0.8479546,0.000840561,0.9666666984558105
60,0.2032801,0.0868782,0.848274,0.00083520875,1.0
61,0.20324454,0.08726436,0.848651,0.00082551985,0.9833333492279053
62,0.20324,0.08730409,0.8489506,0.00082409085,1.0
63,0.2032805,0.08780206,0.8493192,0.0008172649,0.9666666984558105
64,0.20336473,0.0882123,0.8497083,0.0008082199,0.9666666984558105
65,0.2032811,0.08862016,0.8499398,0.0008034629,1.0
66,0.20326628,0.08885833,0.8501334,0.0007953546,0.9666666984558105
67,0.20327045,0.08914128,0.8503966,0.00078883086,0.95
68,0.20329523,0.08924458,0.8506388,0.0007860554,1.0
69,0.20330885,0.089431934,0.8508423,0.00078025676,0.95
70,0.20333095,0.089493684,0.85104233,0.0007737751,0.90
71,0.20344734,0.08986139,0.85130197,0.00076725846,0.9666666984558105
72,0.20354275,0.090118304,0.8515927,0.0007604128,1.0
73,0.20361944,0.09036396,0.85190886,0.0007525136,1.0
74,0.20363717,0.09042798,0.8521851,0.0007455826,0.9666666984558105
75,0.20374195,0.09060166,0.85244864,0.00073878,1.0
76,0.20374802,0.09071374,0.8525953,0.0007330922,0.9666666984558105
77,0.2037462,0.09099092,0.8528123,0.00072993245,0.9833333492279053
78,0.20372269,0.0910381,0.852964,0.00072718645,1.0
79,0.2037752,0.09123525,0.85312027,0.0007225894,0.95
80,0.20379478,0.09135814,0.8533575,0.0007188976,1.0
81,0.20389147,0.09162493,0.85353327,0.00071678543,0.9833333492279053
82,0.20397949,0.091746055,0.8537368,0.0007133682,0.9666666984558105
