epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.1966179,0.007840138,0.82339793,0.0010654359,0.0
1,0.19596602,0.0066605085,0.8189189,0.0009813806,0.0
2,0.19571373,0.007974497,0.81633884,0.0008681007,0.0
3,0.19570112,0.0086656995,0.8154965,0.0008926892,0.0
4,0.19548662,0.0093203895,0.8150235,0.0009036215,0.0
5,0.19514114,0.010385256,0.81445557,0.0009033797,0.0
6,0.19523275,0.011538807,0.8137164,0.00089197716,0.0
7,0.1953059,0.01309133,0.81361556,0.0008951923,0.0
8,0.19552264,0.014469571,0.813885,0.0008868235,0.0
9,0.19572325,0.01608778,0.8139921,0.00087830285,0.0
10,0.19585687,0.017325476,0.8142212,0.0008648488,0.0
11,0.19602396,0.01893099,0.8145702,0.00086915743,0.0
12,0.19619417,0.02028594,0.81505156,0.0008818158,0.0
13,0.19625992,0.021648478,0.8147668,0.00087709475,0.0
14,0.19637345,0.022862284,0.8150279,0.0008869902,0.0
15,0.1963915,0.023841022,0.8152134,0.00091251126,0.016666666915019352
16,0.1964919,0.025067262,0.8156441,0.00092781725,0.033333333830038704
17,0.19648951,0.026120236,0.8164297,0.0009325021,0.3333333333333333
18,0.1968037,0.027704347,0.8177667,0.00094777293,0.3166666825612386
19,0.1969629,0.028447459,0.81896806,0.0009561155,0.4166666666666667
20,0.19713081,0.029459916,0.8201928,0.0009817908,0.5999999841054281
21,0.19730268,0.029945185,0.8216222,0.0009900049,0.29999999205271405
22,0.19754694,0.030360349,0.8233328,0.00100132,0.5166666507720947
23,0.19775604,0.030768268,0.8251726,0.0010185341,0.7166666189829508
24,0.19795607,0.031301282,0.82674664,0.001040103,0.5833333333333334
25,0.19818641,0.031650282,0.82868403,0.0010576079,0.5333333412806193
26,0.19843471,0.032109227,0.8305318,0.0010827358,0.7833333015441895
27,0.1986722,0.03229328,0.83217764,0.0011047687,0.9499999682108561
28,0.19889349,0.032588433,0.83392304,0.0011152161,0.9333333174387614
29,0.1991453,0.032964215,0.8354327,0.0011297542,0.9333333174387614
30,0.19933644,0.033047654,0.83694476,0.0011391767,0.9499999682108561
31,0.19953959,0.0333378,0.83823824,0.0011475533,0.9499999682108561
32,0.19978563,0.033552486,0.83947915,0.0011509558,0.9499999682108561
33,0.20003325,0.033888046,0.8406084,0.0011512766,0.9166666666666666
34,0.20023598,0.034101807,0.84186286,0.0011490566,0.9833333492279053
35,0.20045868,0.03436953,0.84299135,0.0011501437,0.9499999682108561
36,0.2005955,0.034706607,0.8441265,0.0011486762,1.0
37,0.20065767,0.035069082,0.8451813,0.0011506015,0.8500000635782877
38,0.20081836,0.035369392,0.8462074,0.0011488588,0.9333333174387614
39,0.200937,0.03562403,0.8471639,0.0011452828,0.9833333492279053
40,0.201047,0.03591972,0.8481097,0.0011370953,0.9833333492279053
41,0.2011906,0.036104385,0.8489786,0.0011289639,1.0
42,0.20126697,0.036287356,0.84968096,0.0011213414,0.9166666666666666
43,0.20129219,0.036557797,0.85037994,0.0011168304,0.9666666984558105
44,0.201359,0.036755286,0.8511017,0.0011078621,0.9666666984558105
45,0.20141286,0.036956605,0.8517699,0.001103441,0.9666666984558105
46,0.20149563,0.03706242,0.85251695,0.0010966295,0.9666666984558105
47,0.20155022,0.037203144,0.8532148,0.0010888601,0.9499999682108561
48,0.2015951,0.037470497,0.85386753,0.0010852745,0.9166666666666666
49,0.20165703,0.03770534,0.8545041,0.0010819457,1.0
50,0.20170954,0.037890814,0.8550512,0.0010763258,0.9833333492279053
51,0.20174488,0.038188893,0.8555139,0.0010658082,1.0
52,0.20180182,0.038382273,0.8559892,0.001059035,0.9499999682108561
53,0.201871,0.038471222,0.8564388,0.0010533169,0.9833333492279053
54,0.20191051,0.03866991,0.8568301,0.0010478758,0.9666666984558105
55,0.20191228,0.038872432,0.8571482,0.001043471,0.9666666984558105
