epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19480938,0.0052437168,0.82272434,0.0010843604,0.0
1,0.19309846,0.013011614,0.81368,0.0009855618,0.0
2,0.19393201,0.018406844,0.8109469,0.0008607442,0.0
3,0.19434965,0.02303576,0.809285,0.0008869157,0.0
4,0.19466102,0.024361005,0.8088978,0.00083978235,0.0
5,0.19479813,0.0278337,0.8090053,0.00084639416,0.0
6,0.19499132,0.03121919,0.8087947,0.00081884133,0.0
7,0.19413947,0.03303182,0.80888087,0.0008118784,0.0
8,0.19493328,0.034370665,0.8093889,0.000809625,0.0
9,0.19490138,0.037635915,0.8094426,0.00080111437,0.0
10,0.1941974,0.0395123,0.808984,0.00079228455,0.0
11,0.19472526,0.0412029,0.8094533,0.0007862544,0.0
12,0.19491348,0.042863797,0.80965394,0.00076352945,0.0
13,0.19466037,0.044040702,0.8094587,0.00076298235,0.0
14,0.194302,0.04510409,0.80885106,0.00077689457,0.0
15,0.19427817,0.045474485,0.8095177,0.0007753328,0.0
16,0.19429415,0.04620622,0.8098852,0.00077752647,0.0
17,0.1943737,0.046661,0.81008506,0.0007696272,0.0
18,0.19441952,0.047549833,0.8102153,0.0007389754,0.0
19,0.19404471,0.049008556,0.81043094,0.0007387612,0.0
20,0.19418381,0.049807686,0.81067055,0.0007332422,0.0
21,0.19435768,0.05097592,0.8108441,0.00071515935,0.0
22,0.19455805,0.053652078,0.81064653,0.00069339504,0.0
23,0.19458146,0.055183962,0.8111214,0.00069353986,0.033333333830038704
24,0.19456367,0.056638945,0.8113577,0.00069063454,0.033333333830038704
25,0.19456343,0.05776809,0.81183267,0.0006994203,0.20000000794728598
26,0.19436564,0.059681125,0.81220454,0.00073107285,0.13333333532015482
27,0.1944096,0.061784506,0.8129026,0.000751647,0.30000001192092896
28,0.194292,0.063576505,0.81364566,0.0007808581,0.4166666666666667
29,0.1945943,0.0649684,0.81475204,0.00081089744,0.2166666587193807
30,0.19478199,0.06542045,0.81573486,0.0008199117,0.36666667461395264
31,0.19501732,0.06645021,0.8168161,0.000828481,0.5000000397364298
32,0.19541763,0.06718652,0.8181521,0.0008484056,0.5333333015441895
33,0.19573721,0.0682045,0.81948966,0.0008780006,0.6999999682108561
34,0.19595698,0.06866541,0.8206386,0.0008891974,0.75
35,0.19627905,0.0695805,0.8218959,0.0008964325,0.6666666666666666
36,0.19647236,0.07036963,0.82301396,0.00089233223,0.7500000635782877
37,0.19656281,0.07111111,0.82406896,0.0009088612,0.8166666666666666
38,0.19671363,0.07182822,0.82499963,0.00092093536,0.8166666666666666
39,0.19701828,0.07258448,0.82613283,0.00092182495,0.8499999682108561
40,0.19728693,0.07319904,0.8272286,0.0009310471,0.7499999682108561
41,0.19757015,0.07402635,0.82814914,0.0009440547,0.8166666666666666
42,0.19779743,0.074623846,0.82914394,0.0009463357,0.8833333492279053
43,0.1980698,0.075104706,0.83013076,0.00094836164,0.8499999682108561
44,0.19837333,0.07564887,0.83114654,0.0009521626,0.8833333492279053
45,0.19869159,0.07626224,0.83218366,0.000951157,0.9333333174387614
46,0.19887044,0.076860644,0.8330178,0.0009560694,0.8666666984558105
47,0.19909267,0.077492006,0.8339637,0.00095518684,0.9333333174387614
48,0.19939396,0.07817507,0.8348946,0.0009577023,0.9333333174387614
49,0.19947988,0.07876043,0.83569175,0.0009576256,0.9333333174387614
50,0.19969533,0.07914472,0.8363626,0.0009519642,0.9633333492279053
51,0.19976063,0.07964425,0.83697647,0.00094532734,1.0
52,0.19995087,0.07998587,0.83761734,0.00094608375,0.9333333174387614
53,0.20008823,0.08031246,0.83829814,0.00093983253,0.9533333492279053
54,0.20018286,0.08080844,0.8388594,0.0009348248,0.9633333492279053
55,0.20037037,0.08099123,0.8394203,0.00093029084,1.0
56,0.200433,0.081602715,0.84003013,0.00091856794,1.0
57,0.20053722,0.08190543,0.84058523,0.0009144989,1.0
58,0.20062476,0.08212048,0.84119797,0.000913643,1.0
59,0.2007748,0.08268933,0.8416233,0.0009070202,0.9666666984558105
60,0.20087843,0.08302392,0.8420508,0.000899397,1.0
61,0.20106171,0.08326206,0.84261304,0.00088827685,1.0
62,0.20107776,0.083634675,0.8429763,0.0008825916,1.0
63,0.2011334,0.08373802,0.84346265,0.0008828314,0.9499999682108561
64,0.20128034,0.08401673,0.8438391,0.0008809473,0.9833333492279053
65,0.20133372,0.08426129,0.84426457,0.00087176217,1.0
66,0.2013849,0.08448636,0.8446846,0.00086470606,1.0
67,0.20144728,0.08474182,0.8450229,0.0008589928,0.9833333492279053
68,0.20158385,0.085011266,0.84546876,0.00085316645,1.0
69,0.20163882,0.08536602,0.8458144,0.0008465675,0.9833333492279053
70,0.20162533,0.08550654,0.8461544,0.0008383211,1.0
71,0.20171413,0.08568628,0.8464796,0.00083526253,0.9666666984558105
72,0.20182745,0.08592865,0.8467323,0.0008324865,0.9833333492279053
73,0.20189789,0.086372636,0.8470578,0.0008324327,1.0
74,0.20194153,0.08666867,0.8473504,0.0008298722,0.9833333492279053
75,0.20194072,0.08681161,0.8476055,0.00082446804,0.9833333492279053
76,0.20195098,0.087096885,0.8478008,0.00081801903,1.0
77,0.20191118,0.087367445,0.84804004,0.000815979,1.0
78,0.2019111,0.08767121,0.8482073,0.0008108917,1.0
79,0.2019384,0.08792214,0.8484624,0.00080716726,0.9833333492279053
80,0.20197938,0.088055976,0.84865075,0.0008025805,1.0
81,0.20197657,0.08823462,0.8488284,0.00079843355,1.0
82,0.2020729,0.088397354,0.8490706,0.00079147035,1.0
83,0.20211048,0.088525206,0.8493681,0.00078879803,0.9666666984558105
84,0.20214714,0.088800065,0.8495653,0.000785676,1.0
85,0.20213924,0.08875323,0.8497942,0.0007836158,1.0
86,0.20221555,0.08900328,0.8500206,0.0007836835,0.9666666984558105
87,0.20233293,0.089099616,0.85027957,0.00077876705,1.0
88,0.20232335,0.08930864,0.85042316,0.0007724808,0.9833333492279053
89,0.20233509,0.08936183,0.850635,0.00076693826,1.0
90,0.20234393,0.08954355,0.8508037,0.0007608046,1.0
91,0.20237747,0.089707136,0.85097295,0.0007567263,1.0
92,0.20234217,0.0898384,0.85107285,0.000750925,1.0
93,0.20233944,0.09009859,0.851248,0.00074596907,0.9666666984558105
94,0.2023502,0.09024582,0.8514316,0.00074331154,1.0
95,0.20239471,0.09057647,0.851582,0.00074031664,1.0
96,0.20240635,0.09070451,0.8517726,0.0007375784,1.0
97,0.20249328,0.09077423,0.8520009,0.00073528755,1.0
98,0.20256574,0.09083931,0.85221577,0.00073229964,1.0
99,0.20254987,0.09094838,0.8523874,0.0007293316,1.0
