epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19603223,0.007687737,0.82112545,0.0013323816,0.0
1,0.19643003,0.008932281,0.8157816,0.0010931053,0.0
2,0.19556448,0.008116117,0.81446004,0.0010232186,0.0
3,0.19534187,0.008313104,0.8136599,0.0009975022,0.0
4,0.19526514,0.009195118,0.8134194,0.000958649,0.0
5,0.19487628,0.010273844,0.81369895,0.00094596023,0.0
6,0.19459859,0.010978511,0.8131704,0.0009201306,0.0
7,0.19465458,0.012245523,0.8136053,0.0009139129,0.0
8,0.19466312,0.013975538,0.813953,0.00090972084,0.0
9,0.19458722,0.015582854,0.814152,0.0009046202,0.0
10,0.1946487,0.016826466,0.8148288,0.00089376414,0.016666666915019352
11,0.19463272,0.0182481,0.81524485,0.0009057291,0.0
12,0.19467667,0.01978664,0.81568927,0.0009065158,0.0
13,0.1948641,0.021265404,0.81595916,0.0009024718,0.0
14,0.19503374,0.022809964,0.8161168,0.0009055596,0.0
15,0.1951862,0.023715768,0.816222,0.0009165861,0.0
16,0.19525294,0.024443695,0.8164058,0.00090483954,0.0
17,0.1954152,0.02552076,0.816328,0.0009093348,0.0
18,0.19555788,0.025832588,0.81616354,0.0009154252,0.0
19,0.19547111,0.02679882,0.8158005,0.0009249775,0.0
20,0.19558832,0.027866004,0.8158357,0.00092606776,0.0
21,0.19577192,0.028078293,0.8161238,0.00093103276,0.033333333830038704
22,0.1958261,0.028692685,0.81632644,0.0009257483,0.13333333532015482
23,0.19592689,0.029227728,0.81683683,0.0009222247,0.3333333333333333
24,0.1960479,0.029646315,0.81775254,0.00092302513,0.4333333571751912
25,0.19625898,0.030308122,0.81878406,0.00092791347,0.5666666825612386
26,0.19639976,0.030729337,0.8199771,0.00093770627,0.44999996821085614
27,0.1965706,0.031172466,0.82140034,0.00094084366,0.2833333412806193
28,0.19690059,0.031363893,0.82298976,0.0009456184,0.5333333492279053
29,0.197196,0.03163681,0.8247332,0.0009408694,0.666666507720947
30,0.19749327,0.03184587,0.8263006,0.0009590597,0.7166666825612386
31,0.19777516,0.031997155,0.82796115,0.0009687342,0.7666666984558105
32,0.19807786,0.03220778,0.82965153,0.0009862926,0.8333333174387614
33,0.19839363,0.03225705,0.8312785,0.0010057674,0.8333333174387614
34,0.19859281,0.032340873,0.83274174,0.0010137631,0.8624999761581421
35,0.19883147,0.032493986,0.83419704,0.0010220361,0.9333333969116211
36,0.19909762,0.03274106,0.83561975,0.0010311702,0.93666666984558105
37,0.19931623,0.032889202,0.8369949,0.0010359233,0.8500000635782877
38,0.199536,0.033050068,0.8381731,0.00105056,0.9333333174387614
39,0.19964577,0.03334956,0.8387537,0.001056523,0.9499999682108561
40,0.19978522,0.03347807,0.8398084,0.0010604754,0.933333492279053
41,0.19992433,0.033660162,0.84081405,0.0010652723,0.9166666666666666
42,0.2000278,0.03385803,0.8416405,0.0010673674,0.9166666666666666
43,0.2001327,0.034077376,0.8425019,0.0010648962,0.9499999682108561
44,0.20026739,0.034204304,0.84353876,0.0010554014,0.933333492279053
45,0.20037557,0.034348782,0.8444825,0.0010542044,0.9533333492279053
46,0.20043875,0.03451718,0.8452824,0.0010507134,0.9633333492279053
47,0.20056532,0.034714166,0.8460843,0.0010487642,0.9666666984558105
48,0.2007111,0.034875296,0.8468426,0.0010449201,0.9666666984558105
