epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20542872,0.0032790587,0.8568608,0.00030094874,0.0
1,0.20472215,0.0067625474,0.85226226,0.0004842785,0.0
2,0.20444024,0.0070271534,0.8505625,0.0005949098,0.0
3,0.2039786,0.007373252,0.8489148,0.0006657243,0.0
4,0.20375925,0.008302417,0.84747905,0.0006681089,0.0
5,0.203578,0.0087113,0.84706765,0.00070595555,0.0
6,0.20339675,0.008825446,0.84711236,0.00072401715,0.0
7,0.2035037,0.009171974,0.8475373,0.0007510322,0.0
8,0.20319992,0.009541942,0.8473628,0.0007652131,0.0
9,0.20320626,0.009553672,0.8474388,0.0007786029,0.0
10,0.20347294,0.010154884,0.847687,0.00078555377,0.0
11,0.20330864,0.010440102,0.8479313,0.00080614403,0.0
12,0.20338362,0.010735638,0.8481392,0.0008255996,0.0
13,0.20323029,0.010766891,0.8479634,0.00083489995,0.0
14,0.20349774,0.010948066,0.8480675,0.00082908385,0.0
15,0.20341328,0.011331693,0.8481986,0.00083593256,0.0
16,0.20347494,0.0119591225,0.8484254,0.00084395614,0.0
17,0.20351401,0.01269667,0.8488427,0.0008506989,0.0
18,0.20365672,0.013326662,0.8491054,0.00085209287,0.0
19,0.20367332,0.014239512,0.8489237,0.00086294784,0.0
20,0.20375477,0.015286501,0.8490555,0.00087641604,0.0
21,0.2036898,0.015848009,0.849066,0.00088670227,0.0
22,0.20389651,0.016349202,0.849411,0.00089500844,0.0
23,0.20385702,0.017089183,0.84933454,0.0009068525,0.0
24,0.20391871,0.017913507,0.84983474,0.00093301386,0.0
25,0.20394109,0.01899293,0.85007983,0.00095014524,0.0
26,0.20405872,0.019911109,0.8503189,0.0009607252,0.0
27,0.20417663,0.020793533,0.8507154,0.0009696923,0.0
28,0.20419918,0.021600852,0.8507776,0.00097497256,0.0
29,0.20405784,0.02271578,0.8511749,0.0009882873,0.0
30,0.20424831,0.023879113,0.85155004,0.0009912449,0.0
31,0.20428304,0.024980249,0.85187644,0.0009925944,0.0
32,0.20429756,0.025840826,0.85234183,0.0010017297,0.0
33,0.20438734,0.026648808,0.85271263,0.0010005865,0.0
34,0.20456006,0.027253514,0.85330963,0.0010086686,0.0
35,0.20462364,0.027925782,0.8535262,0.0010113245,0.0
36,0.20487492,0.028929776,0.85381657,0.0010102646,0.0
37,0.20501843,0.029859057,0.8541824,0.0010107594,0.0
38,0.20518862,0.030741548,0.8546922,0.0010093127,0.0
39,0.20542437,0.031561997,0.8550267,0.0010080053,0.0
40,0.20556955,0.03212904,0.85536784,0.001007923,0.0
41,0.20577034,0.03338267,0.8558583,0.0010095931,0.0
42,0.205998,0.03407065,0.85616225,0.0010130327,0.0
43,0.20620666,0.03530303,0.85616803,0.0010117932,0.0
44,0.2063011,0.0367503,0.85659546,0.0010014126,0.016666666915019352
45,0.20623514,0.038445,0.8565741,0.0009995581,0.016666666915019352
46,0.20624843,0.040141717,0.8566223,0.0009815606,0.016666666915019352
47,0.20641926,0.04157276,0.8569141,0.00096447085,0.38333332538604736
48,0.20663139,0.042688526,0.85768723,0.0009562828,0.36666667461395264
49,0.20679778,0.04359002,0.8582146,0.0009391944,0.8833333651224772
50,0.20698835,0.04444306,0.8588331,0.00091789133,0.6500000158945719
51,0.20712464,0.045115415,0.859317,0.00089732214,0.9666666984558105
52,0.20724005,0.045718905,0.85986805,0.00087145186,0.9166666666666666
53,0.20739894,0.046172544,0.8605723,0.00085343816,0.9833333492279053
54,0.20751783,0.04682648,0.86124367,0.0008391645,0.8333333333333334
55,0.20758657,0.04744162,0.8619017,0.00082187616,0.8333333333333334
56,0.20768814,0.04808207,0.86247474,0.00080372085,0.8166666030883789
57,0.20783316,0.04861336,0.86293465,0.0007882637,0.9000000158945719
58,0.20796126,0.049157545,0.8633434,0.0007714831,0.8833333651224772
59,0.20805037,0.049538806,0.86378604,0.0007511229,0.9166666666666666
60,0.20819616,0.05020368,0.8641737,0.00073582097,0.8833333651224772
61,0.20824206,0.050742198,0.8646095,0.00072287704,0.9499999682108561
62,0.20835114,0.051117096,0.86504215,0.00071071304,0.8999999364217123
63,0.20844352,0.05182515,0.8654451,0.0007027844,1.0
64,0.20853022,0.052349467,0.8657811,0.00069147564,0.8166666825612386
65,0.20869452,0.05288746,0.86613345,0.00068505044,1.0
66,0.20878641,0.05354353,0.8664434,0.0006774289,0.9333333174387614
67,0.2088988,0.05401874,0.86685234,0.0006728121,0.9666666984558105
68,0.20898037,0.05450114,0.867151,0.0006620742,0.9499999682108561
69,0.20899208,0.05508469,0.86739343,0.00065768865,1.0
70,0.2090583,0.055584002,0.8675559,0.00065141945,0.9833333492279053
71,0.20902942,0.055921115,0.8676901,0.00064445945,1.0
72,0.20912315,0.056327187,0.86802167,0.00064268877,1.0
73,0.20915529,0.05679669,0.8682994,0.0006379472,1.0
