epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19376981,0.012394749,0.8170738,0.0012517866,0.0
1,0.19423793,0.01243169,0.81775165,0.0012133174,0.0
2,0.19442195,0.0118633,0.8179334,0.0012228795,0.0
3,0.19458634,0.011689586,0.8178651,0.0012477506,0.0
4,0.19449884,0.011293718,0.8177414,0.001216944,0.0
5,0.19431618,0.011561782,0.8173732,0.0012253827,0.0
6,0.19437833,0.01151899,0.81744117,0.0012324172,0.0
7,0.19433288,0.011568164,0.81722856,0.0012270148,0.0
8,0.19436559,0.011672188,0.8172298,0.0012321017,0.0
9,0.19440451,0.011632548,0.81718963,0.0012312062,0.0
10,0.19439931,0.011516195,0.8170946,0.0012323227,0.0
11,0.19446212,0.01145025,0.8171718,0.0012381255,0.0
12,0.19444491,0.011422693,0.8170164,0.0012490193,0.0
13,0.19440468,0.011327314,0.81706405,0.001250181,0.0
14,0.1945074,0.011292684,0.8172962,0.001244274,0.0
15,0.19450822,0.011127126,0.81736726,0.0012426864,0.0
16,0.19451527,0.011125408,0.81736547,0.0012452182,0.0
17,0.19452086,0.011213467,0.81745774,0.0012377646,0.0
18,0.19448476,0.011215728,0.8173113,0.0012405622,0.0
19,0.19447523,0.01123954,0.81731415,0.0012407518,0.0
20,0.19450022,0.011263812,0.8173395,0.0012415001,0.0
21,0.19452387,0.011366072,0.81725883,0.001243615,0.0
22,0.19452886,0.011369936,0.81731623,0.0012413271,0.0
23,0.1945554,0.011393284,0.81733626,0.001239981,0.0
24,0.19453742,0.011425528,0.8173146,0.0012349695,0.0
25,0.19456688,0.011441256,0.8173881,0.0012336468,0.0
26,0.19454485,0.011478578,0.8173802,0.0012323139,0.0
27,0.19453628,0.011600802,0.81742984,0.0012315494,0.0
28,0.19450764,0.011739092,0.8173626,0.0012283894,0.0
29,0.19452628,0.011827098,0.81732076,0.0012249247,0.0
30,0.19453347,0.011966764,0.8172896,0.0012250672,0.0
31,0.19451244,0.012113476,0.8172071,0.0012263628,0.0
32,0.19449745,0.01221691,0.817127,0.0012259055,0.0
33,0.19451338,0.012304435,0.81717664,0.0012267984,0.0
34,0.19450139,0.01255691,0.81710243,0.0012250324,0.0
35,0.19444437,0.012940283,0.8169176,0.0012203044,0.0
36,0.19441427,0.013252976,0.8167644,0.0012164958,0.0
37,0.19434534,0.013555838,0.81653666,0.0012156944,0.0
38,0.19429098,0.013797053,0.8163697,0.0012151251,0.0
39,0.1942547,0.013951441,0.8162875,0.0012166173,0.0
40,0.19425468,0.014132955,0.81617445,0.0012136376,0.0
41,0.19420078,0.014283297,0.8160183,0.0012163509,0.0
42,0.1941991,0.014447102,0.8158962,0.0012212393,0.0
43,0.19418673,0.014639927,0.8157625,0.0012202961,0.010526315946328012
