epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19638696,0.0010835109,0.82808095,0.00092706335,0.0
1,0.19645247,0.001720926,0.8229998,0.0008543292,0.0
2,0.19619465,0.0022685141,0.8205061,0.0008234599,0.0
3,0.19636351,0.0025229144,0.8200176,0.00080496306,0.0
4,0.19643658,0.0028146496,0.8195558,0.00078745437,0.0
5,0.19641413,0.0030756565,0.81917435,0.0007785621,0.0
6,0.19648089,0.0034980632,0.81909543,0.0007635566,0.0
7,0.19653293,0.0036369013,0.81920034,0.00077605277,0.0
8,0.19667415,0.0041436153,0.81905866,0.00077620306,0.0
9,0.19658703,0.004659403,0.8190431,0.000784171,0.0
10,0.19648556,0.005786698,0.8191686,0.00079288986,0.0
11,0.19688068,0.007289438,0.8194335,0.0007868094,0.0
12,0.19702154,0.007996252,0.8197069,0.00079666224,0.0
13,0.19712387,0.009345431,0.82018614,0.00079273386,0.0
14,0.19729717,0.011465435,0.82046026,0.00076848053,0.0
15,0.19731326,0.013061769,0.82087046,0.000764339,0.0
16,0.19734485,0.01452761,0.82101893,0.0007522402,0.0
17,0.19744655,0.015863229,0.8213503,0.00073044986,0.0
18,0.19753629,0.01682537,0.8219715,0.00073149195,0.0
19,0.19764525,0.017498912,0.8225015,0.00072874763,0.0
20,0.19777319,0.018486045,0.82300925,0.0007330735,0.0
21,0.19785662,0.019283902,0.8235357,0.0007299112,0.0
22,0.1978479,0.020531086,0.8240419,0.00073192193,0.0
23,0.19796659,0.02153017,0.8245034,0.0007258142,0.0
24,0.19795576,0.021844296,0.8249729,0.0007287531,0.0
25,0.19807415,0.022732982,0.82545424,0.0007267489,0.0
26,0.19816834,0.023532461,0.8258521,0.0007179266,0.0
27,0.19827236,0.0242669,0.826212,0.0007200407,0.0
28,0.19829544,0.024617169,0.8265445,0.0007191279,0.0
29,0.19834265,0.025117815,0.8269096,0.000720114,0.0
30,0.19824809,0.02561289,0.82720333,0.00072207564,0.0
31,0.19823694,0.025983535,0.827499,0.00072015193,0.0
32,0.19819137,0.026383692,0.82772493,0.000720883,0.0
33,0.19815964,0.026673727,0.8279639,0.0007181607,0.0
34,0.19810545,0.02696142,0.8282094,0.00071851054,0.0
35,0.19804531,0.027401095,0.8284531,0.00071939843,0.0
36,0.19796601,0.027784849,0.828729,0.00072074326,0.0
37,0.1978934,0.027919304,0.82897216,0.0007217511,0.0
38,0.19789255,0.028215392,0.82912654,0.0007209549,0.0
39,0.19784527,0.028497493,0.8292653,0.0007175835,0.0
40,0.19777986,0.028683282,0.82942003,0.00071247155,0.0
41,0.19774853,0.029012933,0.82955647,0.000710656,0.0
42,0.19774748,0.029271502,0.82970595,0.0006990814,0.0
43,0.19784203,0.029719377,0.82988006,0.0006940805,0.0
44,0.19790345,0.03010552,0.83001584,0.00068497035,0.0
45,0.19799642,0.030522637,0.8300398,0.0006779288,0.0
46,0.19802245,0.030909589,0.83008504,0.00067851256,0.0
47,0.19812217,0.031098858,0.8301875,0.00067868206,0.0
48,0.19815089,0.031263355,0.830287,0.0006800064,0.0
49,0.19820638,0.03139802,0.83038,0.00067476975,0.0
50,0.19823274,0.0314205,0.8304386,0.000671814,0.0
51,0.19828865,0.03146982,0.83056706,0.0006723522,0.0
52,0.19834596,0.031534985,0.8307312,0.0006713122,0.0
53,0.1984203,0.03151673,0.83088547,0.0006704908,0.0
54,0.19848013,0.031539846,0.8310353,0.0006708072,0.0
55,0.19850151,0.031473044,0.83112675,0.0006705162,0.0
56,0.19856311,0.03145978,0.83124715,0.00067076186,0.0
57,0.19860576,0.03143471,0.83137965,0.0006699313,0.0
58,0.19864878,0.03139897,0.8314786,0.000669368,0.0
59,0.19867507,0.03136026,0.8315688,0.00066908385,0.0
60,0.19866733,0.031293064,0.8316652,0.0006690004,0.0
61,0.19871889,0.03129131,0.8317664,0.0006692934,0.0
62,0.1987975,0.031370852,0.8318139,0.00066460064,0.0
63,0.19885014,0.031365685,0.8319178,0.000662818,0.0
64,0.19891302,0.031371366,0.8319884,0.00066119694,0.0
65,0.19894768,0.0315008,0.83209753,0.0006589576,0.0
66,0.19897272,0.031613406,0.8322091,0.00065771287,0.0
67,0.19898638,0.031577412,0.8322919,0.0006553921,0.0
68,0.19899923,0.03147431,0.8323366,0.0006539575,0.0
69,0.19902053,0.031468336,0.8323421,0.00064957124,0.0
70,0.19900858,0.031680584,0.83227617,0.0006378551,0.0062500000931322575
71,0.1992936,0.037662443,0.83209664,0.0005348427,0.0062500000931322575
72,0.19933975,0.0385544,0.83241016,0.0005389058,0.012500000186264515
73,0.19949913,0.03918248,0.83293813,0.0005453237,0.0
74,0.19962254,0.039772805,0.8334873,0.00055607676,0.0
75,0.19978556,0.040338006,0.83397174,0.0005691068,0.48749998211860657
76,0.19986697,0.04093228,0.8342829,0.0005785628,0.41874998807907104
77,0.19998474,0.041519023,0.8345459,0.00058899884,0.35624998807907104
78,0.20001458,0.04211113,0.8348167,0.0005949591,0.26874998211860657
79,0.20004815,0.04272939,0.835015,0.0005960215,0.34375
80,0.2000579,0.04329065,0.835236,0.0005961445,0.5750000476837158
81,0.20011784,0.04392929,0.8355492,0.00059948274,0.6625000238418579
82,0.20016126,0.044671927,0.83598524,0.0006124874,0.8062499761581421
83,0.20026688,0.045386396,0.83643,0.00062245433,0.8812500238418579
84,0.20032474,0.04602902,0.83681494,0.00062759314,0.824999988079071
85,0.20041914,0.046713784,0.8372051,0.0006357985,0.9562499523162842
86,0.20051438,0.047353797,0.83760923,0.0006414929,0.96875
87,0.20062917,0.04795092,0.838008,0.00064736797,0.9812500476837158
88,0.2007415,0.048500355,0.8383777,0.00065339444,0.9937499761581421
89,0.2007851,0.04899999,0.8387061,0.0006585426,0.9937499761581421
90,0.20085678,0.049593583,0.83902794,0.0006652195,0.9937499761581421
91,0.20093857,0.050118648,0.8393919,0.00067170925,0.987500011920929
92,0.20102392,0.050640527,0.83975583,0.0006772646,0.987500011920929
93,0.20291828,0.0620075,0.8472163,0.0011276841,1.0
94,0.20298412,0.062294915,0.8475967,0.0011300204,1.0
95,0.20303957,0.06259678,0.84798986,0.0011313915,1.0
96,0.20309605,0.06290856,0.8483606,0.0011320609,0.9812500476837158
97,0.20315771,0.063170336,0.84874916,0.0011337152,1.0
98,0.20322388,0.063447945,0.84911376,0.0011365208,0.9937499761581421
99,0.20329055,0.063764066,0.8494704,0.0011374401,1.0
