epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19480611,0.011435705,0.8167613,0.0012399772,0.0
1,0.19480076,0.011967471,0.8171596,0.0012261946,0.0
2,0.19491673,0.011242672,0.8174761,0.0011997019,0.0
3,0.19490536,0.011104408,0.81759137,0.0012026936,0.0
4,0.19481578,0.0106966235,0.8178863,0.0011962309,0.0
5,0.19460447,0.010450551,0.8179739,0.0011857459,0.0
6,0.194635,0.010242793,0.8182516,0.0011949524,0.0
7,0.1946712,0.010082888,0.8181834,0.0012008211,0.0
8,0.1946956,0.00998809,0.81830925,0.0012034733,0.0
9,0.19469172,0.010006823,0.81828743,0.0012089316,0.0
10,0.19468667,0.009835563,0.81846625,0.0012075083,0.0
11,0.19470856,0.009710732,0.818544,0.0012074861,0.0
12,0.19470304,0.009640322,0.81853056,0.0012074491,0.0
13,0.19465476,0.009550034,0.81856346,0.0012042635,0.0
14,0.19475725,0.009497002,0.81873494,0.0012062999,0.0
15,0.19471125,0.00958082,0.8187042,0.001209295,0.0
16,0.19469078,0.009589689,0.8186013,0.0012106347,0.0
17,0.19466753,0.009753175,0.8185695,0.0012119041,0.0
18,0.19460775,0.0097765345,0.81847614,0.0012125489,0.0
19,0.19457188,0.009772179,0.8183916,0.0012121481,0.0
20,0.19458206,0.009779772,0.81839126,0.0012118901,0.0
21,0.19457185,0.009943991,0.8182747,0.0012148693,0.0
22,0.19456045,0.010052391,0.8182368,0.0012143155,0.0
23,0.19453818,0.010138162,0.81813025,0.001215207,0.0
24,0.19453526,0.010227084,0.81809187,0.0012116153,0.0
25,0.19451366,0.010257819,0.8181136,0.0012127648,0.0
26,0.19451311,0.010340705,0.81813985,0.0012118904,0.0
27,0.19451742,0.010451469,0.81818527,0.001207828,0.0
28,0.19454557,0.010556767,0.81816894,0.0012063427,0.0
29,0.19454046,0.010608797,0.81813765,0.001203624,0.0
30,0.19457912,0.010611271,0.8181839,0.0012037907,0.0
31,0.19454093,0.010659485,0.8181358,0.00120549,0.0
32,0.1945199,0.010659652,0.81808716,0.0012036461,0.0
33,0.19455042,0.010695147,0.8181142,0.0012033872,0.0
34,0.1945629,0.0107526565,0.8180785,0.0012033753,0.0
35,0.19458179,0.010815547,0.8180898,0.0012041884,0.0
36,0.1945974,0.010828065,0.81813955,0.0012028649,0.0
37,0.19458416,0.010813453,0.8181205,0.0012034643,0.0
38,0.19460171,0.010825086,0.8181409,0.0012026281,0.0
39,0.19460522,0.010794276,0.8181429,0.0012065177,0.0
40,0.19458316,0.010817021,0.8181456,0.0012046719,0.0
41,0.1945672,0.010826559,0.8180955,0.0012059374,0.0
42,0.1945867,0.010851646,0.81810373,0.0012077615,0.0
43,0.19457817,0.010845811,0.8180836,0.0012084666,0.0
44,0.19457708,0.010845606,0.8180936,0.0012084536,0.0
45,0.19458108,0.010840892,0.8181265,0.0012091565,0.0
46,0.1945877,0.01084413,0.81813127,0.0012108926,0.0
47,0.19458115,0.01084131,0.8181048,0.0012095788,0.0
48,0.19458254,0.010827238,0.81813437,0.0012106085,0.0
49,0.1945871,0.0108509585,0.8181296,0.0012110926,0.0
50,0.19457754,0.010852404,0.8180866,0.0012140014,0.0
51,0.19457191,0.010868176,0.81807137,0.0012127622,0.0
52,0.19455917,0.010867536,0.8180279,0.0012144956,0.0
53,0.19457754,0.010865561,0.81805784,0.0012141146,0.0
54,0.19457115,0.010883305,0.818029,0.001215513,0.0
55,0.19456652,0.010895571,0.81802064,0.0012144075,0.0
56,0.19456,0.010883613,0.81803113,0.0012141106,0.0
57,0.19455904,0.01089621,0.818058,0.0012143092,0.0
58,0.19455208,0.010894869,0.81803936,0.0012137434,0.0
59,0.19455108,0.010906126,0.8180554,0.0012129137,0.0
60,0.19455938,0.010919891,0.8180323,0.0012144558,0.0
61,0.19455649,0.010904626,0.8180267,0.0012147116,0.0
62,0.19456352,0.01087847,0.81802344,0.0012160047,0.0
63,0.19456096,0.010886226,0.8180217,0.0012138995,0.0
64,0.19455862,0.0108764805,0.8180292,0.0012132446,0.0
65,0.19455479,0.010889489,0.81803876,0.001213557,0.0
66,0.19454846,0.010883296,0.8180411,0.0012143912,0.0
67,0.19455104,0.010894059,0.8180396,0.0012158643,0.0
68,0.19452913,0.010973305,0.8180249,0.0012145303,0.0
69,0.19444609,0.011320196,0.81789845,0.001215034,0.0
70,0.19430174,0.01189019,0.8177233,0.001208356,0.0
71,0.19425201,0.0125282025,0.81763434,0.0011951254,0.005263157973164006
72,0.19421333,0.013482423,0.8175562,0.0011713364,0.021052631892656024
73,0.19427946,0.014721806,0.8176257,0.0011623431,0.005263157973164006
74,0.19432594,0.015665514,0.81769055,0.0011599608,0.0
