epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19376981,0.012394749,0.8170738,0.0012517866,0.0
1,0.1942262,0.012422357,0.81655663,0.0012197065,0.0
2,0.19441667,0.011737083,0.8166825,0.0012559373,0.0
3,0.1944576,0.011927967,0.8167801,0.0012332216,0.0
4,0.1944016,0.011755935,0.8170941,0.0012138713,0.0
5,0.19424874,0.011999449,0.8169225,0.0012086374,0.0
6,0.19434403,0.011453062,0.81710553,0.0012133919,0.0
7,0.19430828,0.011303888,0.8171486,0.0012137893,0.0
8,0.19435528,0.0113301575,0.8173283,0.0012133443,0.0
9,0.19444266,0.011200546,0.81738585,0.0012081332,0.0
10,0.19448462,0.011275605,0.81747794,0.0012030908,0.0
11,0.1945258,0.011409386,0.8177142,0.0011996992,0.0
12,0.19452178,0.011813073,0.8178258,0.0011979169,0.005263157973164006
13,0.19445337,0.012073538,0.8178723,0.0011984897,0.0
14,0.19446959,0.012502531,0.81793547,0.0011963379,0.0
15,0.19443472,0.012719015,0.81795126,0.0011960625,0.0
16,0.19442853,0.01293051,0.81796736,0.0011997992,0.0
17,0.1944176,0.013418798,0.81802005,0.0011924003,0.0
18,0.194326,0.0138605265,0.8177648,0.001187257,0.0
19,0.1943245,0.014549501,0.81760615,0.0011837701,0.0
20,0.19427837,0.016231382,0.8174329,0.0011396107,0.0
21,0.19436167,0.019621855,0.81755376,0.0010531676,0.010526315946328012
22,0.19450493,0.023843085,0.8180483,0.000983899,0.14210526566756398
23,0.19454904,0.028130814,0.8189233,0.00096480345,0.23684210526315788
24,0.19460917,0.032267157,0.81980973,0.0009725928,0.05789473809693989
25,0.19486232,0.035713367,0.82128876,0.0010045948,0.18947369173953407
26,0.19506477,0.03763672,0.8222489,0.0010208403,0.1000000050193385
27,0.19517219,0.039292555,0.82301146,0.0010351661,0.25789471676475123
28,0.19528931,0.040685896,0.8237007,0.0010503697,0.39473684210526316
29,0.19557086,0.041894946,0.82482785,0.001066892,0.6789473985370836
30,0.19582148,0.04288322,0.8258495,0.0010833028,0.7105263157894737
31,0.19596203,0.04396973,0.8268504,0.0011006095,0.6894737042878804
32,0.19611871,0.045258943,0.8279113,0.001115352,0.7999999899613229
33,0.19627441,0.04671154,0.82893723,0.0011292895,0.8631578746594881
34,0.19646275,0.04786487,0.82987505,0.0011407101,0.7789474286531147
35,0.19665308,0.049035992,0.8308688,0.0011448729,0.868421052631579
36,0.196935,0.050370775,0.83198565,0.001149925,0.9789473884984067
37,0.19720379,0.051664986,0.8330977,0.0011484491,1.0
38,0.19745637,0.052948207,0.8341791,0.0011403806,1.0
39,0.19766179,0.05415871,0.83521724,0.0011372293,1.0
40,0.19787814,0.055376086,0.8362694,0.001132079,1.0
41,0.19805104,0.056657806,0.8372434,0.0011248196,1.0
42,0.19824377,0.0577921,0.83814883,0.0011197707,1.0
43,0.19843131,0.05886301,0.83904094,0.0011110863,1.0
44,0.19860926,0.05984902,0.83982307,0.0011007037,0.9947368220279091
45,0.19877027,0.06082785,0.84066683,0.0010940694,1.0
46,0.19892168,0.061652374,0.8414821,0.0010872312,1.0
47,0.19907963,0.062474273,0.8422299,0.0010777357,1.0
48,0.19918141,0.06329556,0.84294605,0.0010691374,1.0
49,0.19927645,0.06404084,0.8435647,0.0010591374,1.0
50,0.1993749,0.06479689,0.84415513,0.0010478684,1.0
51,0.19952174,0.06547877,0.844778,0.0010392417,1.0
52,0.19960457,0.0662273,0.8453181,0.0010290155,1.0
53,0.19969673,0.06691128,0.8457813,0.0010174791,1.0
54,0.19972755,0.06756105,0.84623533,0.0010093608,1.0
55,0.19981165,0.0681813,0.84674245,0.0009981674,1.0
56,0.20076133,0.07994149,0.8544903,0.00072619814,1.0
57,0.20082054,0.08038163,0.8547284,0.00071918435,1.0
58,0.20083702,0.080809616,0.85498214,0.00071171805,1.0
59,0.20087442,0.08121096,0.8552575,0.00070430245,1.0
60,0.20090218,0.08162405,0.85547084,0.00069723657,1.0
61,0.20090212,0.082017414,0.8557189,0.0006891556,1.0
62,0.20092282,0.082436845,0.85593325,0.00068242336,1.0
63,0.20095798,0.0828435,0.8561623,0.000676567,1.0
64,0.2009964,0.083146766,0.85640687,0.0006702319,1.0
65,0.20104659,0.083436415,0.8566277,0.00066392735,1.0
66,0.20106113,0.08373209,0.85684377,0.0006577002,1.0
67,0.20107418,0.08403774,0.85705954,0.0006532998,0.9947368220279091
68,0.20108679,0.08441001,0.85722613,0.00064694224,1.0
69,0.20110205,0.08472252,0.85744095,0.0006418252,1.0
70,0.20113152,0.08503421,0.8576861,0.00063761475,1.0
71,0.20116659,0.08528133,0.85791713,0.0006320464,1.0
72,0.20120704,0.08553499,0.8581185,0.000626255,1.0
73,0.20122778,0.08578467,0.8583095,0.0006217247,1.0
74,0.20127258,0.08602232,0.85852736,0.0006158759,1.0
75,0.2012944,0.08624497,0.85871667,0.0006116333,0.9947368220279091
76,0.2013235,0.08652845,0.85892195,0.00060663006,1.0
77,0.20135385,0.086764425,0.8590958,0.0006018091,0.9947368220279091
