epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.21251877,0.0030243122,0.86082405,0.0037045355,0.0
1,0.21246324,0.0037437787,0.86630297,0.0029518327,0.0
2,0.21267898,0.0047911685,0.86880904,0.002598991,0.0
3,0.2126248,0.0043100263,0.8696795,0.0023889411,0.0
4,0.21266207,0.0041669323,0.8701336,0.0022756895,0.0
5,0.21260881,0.0044452865,0.87061936,0.0022055323,0.0
6,0.21258438,0.0045617176,0.87095946,0.002196786,0.0
7,0.2125719,0.0047197402,0.8711529,0.002203441,0.0
8,0.21258849,0.004632375,0.87136537,0.0021992035,0.0
9,0.21253972,0.004559296,0.87154335,0.002189971,0.0
10,0.21253733,0.004700406,0.87166095,0.002187391,0.0
11,0.21253593,0.0046200426,0.8717522,0.002181996,0.0
12,0.21247277,0.004638298,0.8718543,0.0021744163,0.0
13,0.2124452,0.004518535,0.8718943,0.002181693,0.0
14,0.21247444,0.004447548,0.871948,0.002156759,0.0
15,0.21250112,0.0045311837,0.87201875,0.0021342516,0.0
16,0.2125154,0.004483528,0.87202954,0.0021396696,0.0
17,0.21252446,0.004392814,0.8720644,0.0021162275,0.0
18,0.21252231,0.004278556,0.8720746,0.0021089378,0.0
19,0.2125667,0.004263479,0.8720792,0.0020702109,0.0
20,0.21254344,0.0042508934,0.8721349,0.002067506,0.0
21,0.21247266,0.004206577,0.8721569,0.0020586613,0.0
22,0.21245672,0.004220718,0.87216854,0.0020427227,0.0
23,0.21249874,0.0042859297,0.87218547,0.0020450382,0.0
24,0.21242453,0.0043660607,0.872183,0.002043671,0.0
25,0.21242552,0.0043093176,0.8721861,0.0020476412,0.0
26,0.21244198,0.004297222,0.87220603,0.002046318,0.0
27,0.21243544,0.004241583,0.872216,0.0020473057,0.0
28,0.21247087,0.004211074,0.8721985,0.0020522738,0.0
29,0.21245822,0.004340663,0.87222034,0.0020515295,0.0
30,0.21240535,0.0044683195,0.87219954,0.0020214538,0.0
31,0.21244581,0.0045426716,0.8722053,0.002019469,0.0
32,0.21248253,0.004562986,0.87221545,0.0020210661,0.0
33,0.21245433,0.00454056,0.8722299,0.0019947623,0.0
34,0.21245304,0.0045069177,0.8722608,0.0019925458,0.0
35,0.2124449,0.004587418,0.872282,0.0019914953,0.0
36,0.21245354,0.004544282,0.87231666,0.0019928108,0.0
37,0.21252789,0.0046268613,0.87231237,0.0019955945,0.0
38,0.21253347,0.004578226,0.8723331,0.0019971952,0.0
39,0.21250948,0.0045648054,0.8723257,0.0020026017,0.0
40,0.21252646,0.004557272,0.8723242,0.0020011386,0.0
41,0.21251568,0.0045482484,0.8723378,0.0019983018,0.0
42,0.21251799,0.0045672827,0.8723275,0.0019878864,0.0
43,0.2125166,0.004561733,0.87233543,0.0019885744,0.0
44,0.21247801,0.004745864,0.8723163,0.001929645,0.0
45,0.21241482,0.0048333025,0.8723033,0.0019297581,0.0
46,0.21242093,0.00476681,0.8723192,0.0019332776,0.0
47,0.2123994,0.00478198,0.87229866,0.0019309464,0.0
48,0.21237232,0.0048483047,0.87231684,0.0019260938,0.0
49,0.21239725,0.004849202,0.8723216,0.0019232634,0.0
50,0.21241002,0.004851361,0.87232256,0.0019174339,0.0
51,0.21238588,0.004937064,0.87228364,0.0018777968,0.0
52,0.21237378,0.0050980486,0.87224525,0.0018611308,0.0
53,0.21241085,0.005242452,0.8722005,0.0018515548,0.0
54,0.21240546,0.0052763983,0.87217593,0.0018363222,0.0
55,0.21238247,0.005255707,0.8721852,0.0018375631,0.0
56,0.2123778,0.0052586985,0.8721935,0.001839824,0.0
57,0.21236527,0.0053328616,0.8721519,0.0018258154,0.0
58,0.21235283,0.005464315,0.87212014,0.0017973185,0.0
59,0.2123798,0.0056035463,0.8721158,0.0017926657,0.0
60,0.21237391,0.0056801056,0.87211514,0.0017801664,0.0
61,0.2123975,0.005711055,0.87210757,0.0017820025,0.0
62,0.21237044,0.0057789837,0.872112,0.0017806124,0.0
63,0.21236664,0.005837671,0.8720811,0.0017754411,0.0
64,0.2123855,0.0058583063,0.8720886,0.0017766487,0.0
65,0.21238127,0.0058877636,0.87206775,0.0017684674,0.0
66,0.21240352,0.00599196,0.8720164,0.001760113,0.0
67,0.21236749,0.0061096493,0.8719906,0.0017555166,0.0
68,0.21234275,0.0061927764,0.8719776,0.0017523663,0.0
69,0.2123385,0.0062544704,0.8719401,0.0017411445,0.0
70,0.21234196,0.006282762,0.8718848,0.0017177672,0.0
71,0.21232232,0.0063365395,0.8718632,0.0017180153,0.0
72,0.21231897,0.006474021,0.8718383,0.0017083279,0.0
73,0.21232352,0.0066291727,0.8718105,0.0016987548,0.0
74,0.21233207,0.006616016,0.8718125,0.001701105,0.0
75,0.21232742,0.0066401293,0.8718063,0.0017003602,0.0
76,0.21236885,0.0068059205,0.87178946,0.0016961776,0.0
77,0.21238118,0.007000308,0.87174696,0.0016869516,0.0
78,0.21238357,0.007301356,0.87167495,0.0016610658,0.0
79,0.21236254,0.007620767,0.87158155,0.001644182,0.0
80,0.21234876,0.007713421,0.87149256,0.0016241727,0.0
81,0.2123407,0.007843696,0.8714244,0.0016028717,0.0
82,0.21227905,0.008085842,0.8714047,0.0015980644,0.0
83,0.21225716,0.008329915,0.8714027,0.0015873448,0.0
84,0.2122597,0.008469182,0.8713816,0.0015817665,0.0
85,0.21225117,0.0085269455,0.87134355,0.0015798522,0.0
86,0.21225771,0.008602443,0.871336,0.0015702061,0.0
87,0.21224158,0.008813201,0.871361,0.0015640535,0.0
88,0.21222652,0.009180198,0.8713753,0.0015468906,0.0
89,0.21218473,0.009714341,0.8713372,0.0015119709,0.0
90,0.21214156,0.010679897,0.8711958,0.0014656511,0.0
91,0.21214636,0.011236552,0.87113667,0.0014355449,0.0
92,0.212059,0.0120451525,0.87104124,0.0013941083,0.0
93,0.2120117,0.012822106,0.8709782,0.0013645655,0.0
94,0.21204568,0.0129700815,0.8709611,0.0013540763,0.0
95,0.21207747,0.013139015,0.870907,0.001328081,0.0
