epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.21227346,0.0014197152,0.85776013,0.003998,0.0
1,0.21232718,0.0028597768,0.8655453,0.002953239,0.0
2,0.21232519,0.0028337976,0.8718417,0.0020190983,0.0
3,0.21229833,0.0030279886,0.8750376,0.0015112519,0.0
4,0.2123664,0.0034221902,0.87690157,0.0011458504,0.0
5,0.2123583,0.0037741938,0.8781813,0.00092564774,0.0
6,0.21242101,0.0038713294,0.87912273,0.0007614139,0.0
7,0.21249153,0.004077094,0.87964535,0.0006385219,0.0
8,0.21244001,0.004245981,0.8800809,0.0005553327,0.0
9,0.21250968,0.0047421427,0.88039494,0.0004906115,0.0
10,0.21251449,0.005052744,0.880572,0.00043278348,0.0
11,0.21264414,0.0055457633,0.8806028,0.00037849098,0.0
12,0.21275342,0.006842968,0.88049084,0.00030678106,0.0
13,0.21282814,0.007974268,0.8804951,0.00025520215,0.0
14,0.21308066,0.009591666,0.88031507,0.00020580452,0.0
15,0.21338415,0.01123511,0.8800792,0.0001769393,0.0
16,0.2137234,0.012817561,0.87990636,0.00016084626,0.0
17,0.21401073,0.014687267,0.8796534,0.00014685273,0.0
18,0.2140819,0.015898256,0.8794393,0.00013921273,0.0
19,0.21402773,0.016493963,0.8791514,0.00013322778,0.0
20,0.21398988,0.017040757,0.87882787,0.00013007333,0.0
21,0.21391419,0.018087287,0.8785179,0.00012924717,0.0
22,0.21379596,0.01916166,0.8781031,0.00012665476,0.0
23,0.21348591,0.019866629,0.8776705,0.00012664228,0.0
24,0.21326013,0.020685261,0.87720805,0.00012629275,0.0
25,0.21317188,0.021301782,0.87657064,0.00012869806,0.0
26,0.21309504,0.022217529,0.87573606,0.00013435852,0.0
27,0.21289906,0.02295049,0.8745231,0.0001419687,0.0
28,0.21264464,0.023477599,0.87304854,0.00015794275,0.0
29,0.21235569,0.024350459,0.87103945,0.00017868959,0.0
30,0.21205854,0.025361596,0.8686762,0.0002080897,0.016666666915019352
31,0.21171016,0.02638988,0.866172,0.00025409952,0.0
32,0.21139395,0.027381558,0.86379725,0.0003052442,0.0
33,0.21100016,0.028551789,0.8615535,0.00036163698,0.0
34,0.21091406,0.029620776,0.8594815,0.00042792925,0.033333333830038704
35,0.2108292,0.030556194,0.85746974,0.0005025277,0.26666667064030963
36,0.21086913,0.031702973,0.8555657,0.00057363586,0.08333333333333333
37,0.21085489,0.03252975,0.8537395,0.0006577959,0.1333333452542623
38,0.21075648,0.033526495,0.85197407,0.00075973134,0.16666666666666666
39,0.21068491,0.034438487,0.85024863,0.0008728754,0.34999998410542804
40,0.21052414,0.035406925,0.8485252,0.0009808379,0.3333333333333333
41,0.21028166,0.03656844,0.8467482,0.0011030674,0.5833333333333334
42,0.2099281,0.037786882,0.8449138,0.0012386781,0.75
43,0.20964989,0.038905725,0.84312963,0.0013827855,0.9000000158945719
44,0.20932636,0.0398013,0.84129995,0.0015196049,0.7666667302449545
45,0.20905147,0.040514857,0.8396062,0.0016531246,0.8333333333333334
46,0.2087591,0.041265097,0.8379076,0.0017787232,0.8833333651224772
47,0.20852782,0.0420125,0.83634526,0.0019089048,0.9666666984558105
48,0.20833002,0.04278325,0.8347878,0.0020198792,0.9499999682108561
49,0.20812389,0.04354939,0.8332223,0.0021160124,0.6500000158945719
50,0.20794964,0.044319082,0.8317626,0.0022022692,0.9666666984558105
51,0.20769025,0.044975314,0.83033705,0.0022835042,0.8833333651224772
52,0.20749561,0.045810312,0.8290236,0.0023589174,0.9166666666666666
53,0.20726183,0.0464937,0.82774305,0.0024268336,0.9666666984558105
54,0.20707111,0.046911046,0.8264713,0.0024919037,0.9333333174387614
55,0.20688745,0.047442533,0.8252055,0.002550754,0.9499999682108561
56,0.20674637,0.04787299,0.8239712,0.0026083312,0.9166666666666666
57,0.20665039,0.048319828,0.82281846,0.0026642287,0.9499999682108561
58,0.20651667,0.048709903,0.82169527,0.00271146,1.0
59,0.20637485,0.04906399,0.8205517,0.0027479192,0.9000000158945719
60,0.20626599,0.04956085,0.8194602,0.002783045,0.9333333174387614
61,0.206139,0.04991322,0.81840235,0.002812273,1.0
62,0.20603375,0.05022414,0.8173804,0.0028398929,0.9666666984558105
63,0.20599632,0.050504792,0.8164429,0.0028663848,0.9833333492279053
64,0.20591621,0.050879207,0.8154705,0.0028915524,0.9499999682108561
65,0.20582512,0.051160645,0.81457597,0.0029110564,1.0
66,0.20573597,0.05134264,0.81369275,0.0029259452,0.9666666984558105
67,0.2056799,0.05161105,0.8128229,0.002942781,0.9833333492279053
68,0.2056346,0.05186159,0.8119729,0.0029509028,1.0
69,0.20554678,0.052138142,0.8111914,0.0029628433,1.0
70,0.20543876,0.05229093,0.8104375,0.002972386,1.0
71,0.20534508,0.052566364,0.8096106,0.0029785559,0.9833333492279053
72,0.20524524,0.052808948,0.8088503,0.0029864667,1.0
73,0.20519385,0.052990295,0.8081271,0.0029948165,0.9833333492279053
74,0.20516548,0.05318315,0.8073962,0.0030021092,0.9666666984558105
75,0.20504545,0.053357534,0.8066969,0.0030054012,1.0
76,0.20498303,0.053517185,0.80603355,0.0030051924,1.0
77,0.20495932,0.053626224,0.80538034,0.0030007192,0.9833333492279053
78,0.20485762,0.053701364,0.80474615,0.0030004894,0.9833333492279053
79,0.20478986,0.05382968,0.8041366,0.0029978678,1.0
80,0.20473948,0.053951897,0.8035452,0.0029972615,1.0
81,0.20467883,0.054095075,0.8029766,0.0029940533,0.9833333492279053
82,0.2046155,0.05423638,0.8024091,0.0029906856,0.9499999682108561
