epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.21152845,0.0038019863,0.86080474,0.0036312307,0.0
1,0.21142726,0.0045030173,0.86653733,0.0027016143,0.0
2,0.21172163,0.0037012673,0.86877614,0.0024059433,0.0
3,0.21190724,0.0037678776,0.8696296,0.0022086387,0.0
4,0.21233846,0.0048789578,0.870373,0.0019953314,0.0
5,0.21235968,0.0051916693,0.8707048,0.001891577,0.0
6,0.2121841,0.005192367,0.8709493,0.00170875,0.0
7,0.21225478,0.005049129,0.8710814,0.0016994593,0.0
8,0.21233714,0.0054361196,0.87139463,0.0016872442,0.0
9,0.21211183,0.00556029,0.8714289,0.0016031795,0.0
10,0.21229814,0.0057718437,0.871547,0.001582629,0.0
11,0.21235467,0.00578865,0.871665,0.0015965683,0.0
12,0.21237814,0.006057575,0.87187964,0.001593532,0.0
13,0.21246026,0.0057938825,0.871959,0.0016005514,0.0
14,0.21237998,0.005681795,0.8719838,0.0016026277,0.0
15,0.21237957,0.005850517,0.87205225,0.0015921794,0.0
16,0.21235833,0.005806357,0.8721266,0.0015769057,0.0
17,0.2124031,0.0057125115,0.87216926,0.0015705097,0.0
18,0.21245535,0.0059548086,0.8722122,0.0015669111,0.0
19,0.21248655,0.005984143,0.87228626,0.001558085,0.0
20,0.21245678,0.005994125,0.87226635,0.001548454,0.0
21,0.21256322,0.0061268257,0.8723076,0.0015375585,0.0
22,0.21247932,0.006403131,0.8721927,0.0014821031,0.0
23,0.2125342,0.006429138,0.87223315,0.001482322,0.0
24,0.21243986,0.006526368,0.87227845,0.0014735764,0.0
25,0.21247804,0.006664768,0.8723778,0.0014659659,0.0
26,0.21249868,0.00715031,0.8724384,0.001451509,0.0
27,0.21241282,0.0072487085,0.872375,0.001439145,0.0
28,0.21244314,0.007326586,0.8723493,0.0014199335,0.0
29,0.21241514,0.007313607,0.87236875,0.0014191394,0.0
30,0.21251282,0.007469533,0.87238306,0.001418504,0.0
31,0.21254654,0.0076729935,0.87240416,0.0014042921,0.0
32,0.21254207,0.007912661,0.8723946,0.0013784069,0.0
33,0.21263734,0.008317086,0.87241274,0.0013623397,0.0
34,0.21272475,0.008749782,0.8723791,0.0013509091,0.0
35,0.21274728,0.009023425,0.87239957,0.0013501719,0.0
36,0.2127451,0.009130436,0.87242585,0.0013429249,0.0
37,0.21276854,0.009253228,0.8724467,0.0013438886,0.0
38,0.21277189,0.009210747,0.87245893,0.001345193,0.0
39,0.21276663,0.009431165,0.87246984,0.0013298049,0.0
40,0.21272954,0.009867763,0.87253016,0.0013212288,0.0
41,0.2127255,0.010104375,0.8725054,0.0013038378,0.0
42,0.21276915,0.010532278,0.87254,0.0012929301,0.0
43,0.21280307,0.01071682,0.8725402,0.0012880749,0.0
44,0.21280025,0.011100606,0.8725009,0.0012765598,0.0
45,0.21278499,0.011331214,0.87248135,0.001269055,0.0
46,0.21285151,0.011710652,0.87243193,0.0012453794,0.0
47,0.21281312,0.012032981,0.87242514,0.0012418943,0.0
48,0.21280152,0.012288269,0.87237096,0.0012300884,0.0
49,0.21274489,0.012547734,0.8723908,0.0012269812,0.0
50,0.21273082,0.012803817,0.8723962,0.0012083121,0.0
51,0.21272065,0.012849957,0.87237114,0.0012028826,0.0
52,0.21281733,0.01316484,0.8723498,0.0011996172,0.0
53,0.21285702,0.013425873,0.8723593,0.0011921814,0.0
54,0.2129061,0.013668733,0.8723833,0.0011865662,0.0
55,0.21292381,0.013977127,0.8723696,0.0011765786,0.0
56,0.21294641,0.014205414,0.8723507,0.0011677515,0.0
57,0.21294159,0.014485422,0.8722625,0.0011568158,0.0
58,0.2129306,0.0148914615,0.87228554,0.001151657,0.0
59,0.21293081,0.015139257,0.8722563,0.0011460109,0.0
60,0.21294416,0.015372088,0.8722374,0.0011471444,0.0
61,0.21304192,0.015554685,0.87223667,0.0011447979,0.0
62,0.21298525,0.015792048,0.8721594,0.0011373924,0.0
63,0.21300873,0.016021783,0.8721709,0.0011322027,0.0
64,0.2129796,0.016322874,0.87218076,0.0011289002,0.0
65,0.21294405,0.016682941,0.87211293,0.0011107026,0.0
66,0.21290003,0.01729429,0.8719514,0.0010916997,0.0
67,0.2126931,0.018458905,0.87186843,0.0010668641,0.0
68,0.2125618,0.019603174,0.8717157,0.0010373882,0.0
69,0.21239401,0.020967597,0.87138146,0.0010056295,0.0
70,0.2124672,0.021798244,0.8712494,0.00098993,0.0
71,0.21250945,0.02225512,0.87117046,0.00097246544,0.0
72,0.21257284,0.022514516,0.8710756,0.000963368,0.0
73,0.21245486,0.023516979,0.8707404,0.0009455148,0.0
74,0.21243224,0.025037372,0.8703622,0.0009152394,0.0
75,0.2123928,0.026461842,0.87021327,0.0008930631,0.0
76,0.21231379,0.028057342,0.86991256,0.0008658629,0.0
77,0.21229064,0.028897233,0.86969876,0.0008517771,0.0
78,0.2122738,0.029725946,0.8695578,0.0008438018,0.0
79,0.21227062,0.031149285,0.86932,0.00082722603,0.0
80,0.21205008,0.03238589,0.8683984,0.00079984264,0.0
