epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19979422,0.0030695605,0.8122185,0.0026752232,0.0
1,0.2002393,0.0060471483,0.81213516,0.0023061198,0.0
2,0.20054856,0.008297442,0.81265354,0.0022666461,0.0
3,0.2003446,0.0093388045,0.8122248,0.0020152116,0.0
4,0.20048462,0.009039042,0.8123493,0.0020662304,0.0
5,0.20051304,0.009388258,0.81267405,0.0020397743,0.0
6,0.20001988,0.014656651,0.81247276,0.0020418037,0.0
7,0.20036201,0.015537117,0.8124432,0.0020643675,0.0
8,0.20051596,0.01447239,0.81281686,0.0021149078,0.0
9,0.20059478,0.013185581,0.8131149,0.002155618,0.0
10,0.2006443,0.013602198,0.81366056,0.0021909766,0.0
11,0.2005075,0.014951151,0.81419164,0.0022229732,0.0
12,0.2005265,0.015335172,0.81450003,0.0022587443,0.0
13,0.20056105,0.014712099,0.81456137,0.0022802576,0.0
14,0.2005933,0.013943935,0.81464344,0.0023016322,0.0
15,0.20060223,0.013520078,0.8146417,0.0022985584,0.0
16,0.20061976,0.012811094,0.81465524,0.0023118125,0.0
17,0.20066868,0.012133796,0.8146902,0.0023347642,0.0
18,0.20070274,0.011733583,0.8146985,0.0023472297,0.0
19,0.20064437,0.011625347,0.81456035,0.002347296,0.0
20,0.20061211,0.0113274595,0.8145652,0.002359852,0.0
21,0.20033781,0.012082496,0.8141644,0.0022730692,0.0
22,0.1997183,0.013122214,0.8137334,0.0022055341,0.0
23,0.1994201,0.013564782,0.8135794,0.0021978477,0.0
24,0.19939244,0.013234621,0.8135917,0.002209068,0.0
25,0.19942541,0.013300748,0.81372005,0.002208342,0.0
26,0.19920096,0.014263041,0.81403285,0.002170206,0.0
27,0.19927336,0.013793362,0.8140707,0.0021884518,0.0
28,0.1993242,0.0136651425,0.8140339,0.0021877938,0.0
29,0.1994006,0.014041806,0.81416804,0.0021732545,0.0
30,0.19925374,0.015330298,0.814445,0.0021736685,0.0
