epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.005
24,0.005
25,0.115
26,0.10500000000000001
27,0.22499999999999998
28,0.125
29,0.31
30,0.455
31,0.565
32,0.6100000000000001
33,0.52
34,0.43
35,0.45999999999999996
36,0.5
37,0.49
38,0.435
39,0.62
40,0.8
41,0.635
42,0.64
43,0.5800000000000001
44,0.655
45,0.625
46,0.675
47,0.74
48,0.735
49,0.66
50,0.595
51,0.65
52,0.64
53,0.685
54,0.61
55,0.69
56,0.61
57,0.655
58,0.725
59,0.635
60,0.655
61,0.725
62,0.64
63,0.545
64,0.705
65,0.6
66,0.5800000000000001
67,0.73
68,0.705
69,0.655
70,0.7
71,0.6599999999999999
72,0.6499999999999999
73,0.705
74,0.615
75,0.64
76,0.735
77,0.735
78,0.745
79,0.6799999999999999
80,0.7350000000000001
81,0.605
82,0.62
83,0.45999999999999996
84,0.5449999999999999
85,0.51
86,0.585
87,0.71
88,0.75
89,0.635
90,0.655
91,0.675
92,0.71
93,0.73
94,0.7
95,0.48
96,0.6
97,0.48
98,0.5700000000000001
99,0.52
