epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20077047,0.0037463214,0.8137972,0.0026091735,0.0
1,0.20054474,0.0057971813,0.81624013,0.00199528,0.0
2,0.20025055,0.012382883,0.8178939,0.0016075423,0.0
3,0.19991377,0.015503321,0.8179422,0.0014261509,0.0
4,0.19952181,0.01730327,0.81722194,0.001255103,0.0
5,0.19891651,0.018082274,0.8167022,0.0011807565,0.0
6,0.19877924,0.018361827,0.8164703,0.0011126505,0.0
7,0.19875231,0.018118672,0.81623125,0.0010658125,0.0
8,0.19875228,0.017742325,0.81599444,0.0010381542,0.0
9,0.19858101,0.017469384,0.8159582,0.0010235407,0.0
10,0.19860364,0.017191872,0.81589746,0.0010127482,0.0
11,0.19860269,0.016872799,0.8159252,0.0010101869,0.0
12,0.19841982,0.017461468,0.81560844,0.0009499357,0.0
13,0.19845098,0.017572932,0.8155553,0.00093529344,0.0
14,0.19842596,0.01737465,0.8155882,0.00094209093,0.0
15,0.19838245,0.017260116,0.8155995,0.000934521,0.0
16,0.19836205,0.017152198,0.8156862,0.00093051343,0.0
17,0.19829494,0.017169738,0.8155549,0.00090857066,0.0
18,0.19820808,0.017248835,0.81547827,0.00089481595,0.0
19,0.19798288,0.017976133,0.8150292,0.0008175361,0.0
20,0.19796883,0.018205201,0.81499535,0.0007904425,0.0
21,0.19792007,0.018636575,0.81506866,0.00078704534,0.0
22,0.19778213,0.019306539,0.81509805,0.00076847145,0.0
23,0.19773549,0.019703178,0.81516695,0.0007591062,0.0
24,0.19756901,0.02022859,0.81519336,0.00075796497,0.050000001986821495
25,0.19741344,0.02116697,0.8152576,0.00076530577,0.08333333333333333
26,0.19705334,0.022353383,0.81511325,0.0007891296,0.11666667461395264
27,0.19665363,0.023795968,0.81480163,0.0008344778,0.18333333730697632
28,0.19623525,0.025059216,0.8142317,0.0009053592,0.0
29,0.1957574,0.026508296,0.81349015,0.000991342,0.5999999841054281
30,0.19522606,0.028224891,0.8124693,0.0010918527,0.46666669845581055
31,0.19461183,0.02950425,0.8113672,0.0011942578,0.6499999761581421
32,0.19402686,0.030664878,0.81029373,0.0012929566,0.5333333412806193
33,0.19338088,0.031937346,0.80917245,0.0013848302,0.5999999841054281
34,0.19283736,0.033121515,0.8081136,0.0014686547,0.6999999682108561
35,0.19230367,0.034431368,0.80700827,0.0015487069,0.5666666825612386
36,0.19176887,0.03557385,0.8059563,0.0016212709,0.5833333333333334
37,0.19127053,0.03670248,0.8049373,0.0016861396,0.46666661898295086
38,0.19079047,0.03787348,0.8039618,0.0017438823,0.7166666984558105
39,0.19026643,0.03891131,0.8031013,0.0017943798,0.6166666348775228
40,0.18978181,0.039935768,0.80220217,0.0018427015,0.9166666666666666
41,0.18933377,0.040719427,0.80128723,0.0018881134,0.9166666666666666
42,0.1889842,0.041486107,0.8005032,0.0019242015,0.8666666348775228
43,0.18856956,0.042266697,0.7996924,0.0019583497,0.8666666348775228
44,0.18817692,0.043087468,0.79890734,0.001992076,0.9166666666666666
45,0.18779871,0.043786068,0.7981507,0.0020200682,0.8999999364217123
46,0.18745239,0.04436626,0.79737884,0.0020493872,0.8833333651224772
47,0.18710192,0.045006663,0.7966369,0.0020746666,0.9666666984558105
48,0.1867941,0.045575753,0.7959461,0.0020935398,0.9166666666666666
49,0.1864795,0.046154078,0.795264,0.0021137102,0.9333333174387614
50,0.18617944,0.046695527,0.7946319,0.0021300586,0.9333333174387614
51,0.18586798,0.04726669,0.79396373,0.002148594,0.9166666666666666
