epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20038435,0.003971827,0.81543875,0.002161952,0.0
1,0.20109142,0.010614403,0.8192447,0.0013783029,0.0
2,0.20145494,0.013091257,0.82150406,0.0011834971,0.0
3,0.20158099,0.015166312,0.8223539,0.0011022195,0.0
4,0.20120628,0.015488513,0.8228298,0.0009993988,0.0
5,0.2009962,0.016023012,0.8232078,0.0009496429,0.0
6,0.20052435,0.017635651,0.82300204,0.00086454814,0.0
7,0.2003483,0.018514851,0.82338077,0.0008361369,0.0
8,0.20024307,0.020057313,0.8237788,0.0007827335,0.0
9,0.20029797,0.020566845,0.82437825,0.0008053174,0.0
10,0.20030378,0.021500543,0.82510257,0.0008330983,0.0
11,0.20014404,0.021989245,0.8250082,0.0007838329,0.0
12,0.19971113,0.02329895,0.82563657,0.00078306155,0.0
13,0.19981194,0.02319778,0.82576567,0.00078313815,0.0
14,0.1999612,0.023796514,0.8266129,0.0008190448,0.0
15,0.19999422,0.024224155,0.8273945,0.0008479191,0.016666666915019352
16,0.19985248,0.024715066,0.82806975,0.0008841877,0.016666666915019352
17,0.19955449,0.025304675,0.82860774,0.0009401439,0.10000000397364299
18,0.19940597,0.02621334,0.8291988,0.000998484,0.06666666766007741
19,0.19916001,0.026884936,0.8290095,0.0010526766,0.13333333532015482
20,0.19890137,0.02786164,0.82885575,0.001108183,0.30000001192092896
21,0.19854717,0.028869687,0.82844526,0.0011770264,0.40000001589457196
22,0.19792105,0.029791066,0.8277634,0.0012324012,0.5
23,0.19746774,0.030458976,0.8272372,0.0012943324,0.40000001589457196
24,0.19714335,0.03121215,0.8267844,0.0013481602,0.38333332538604736
25,0.19672395,0.031964056,0.8261588,0.0014072028,0.4833333492279053
26,0.19630434,0.032924734,0.8256151,0.0014370639,0.6833333174387614
27,0.19569418,0.033835176,0.8246889,0.001484776,0.7999999523162842
28,0.19504477,0.03488794,0.8237533,0.0015410533,0.7666666348775228
29,0.19461265,0.035662554,0.8230321,0.00158866,0.7833333015441895
30,0.19432063,0.036337957,0.82245,0.0016075866,0.7333333333333334
31,0.19386184,0.037096396,0.8217921,0.0016458575,0.7666666348775228
32,0.19349658,0.037908003,0.8212685,0.0016742855,0.7666666984558105
33,0.19310993,0.0384968,0.82067394,0.0017047776,0.8666666348775228
