epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2002343,0.005790993,0.81531554,0.002349694,0.0
1,0.19960484,0.011503904,0.8182455,0.0014304892,0.0
2,0.1987242,0.01499403,0.8189111,0.0012153183,0.0
3,0.19877034,0.017463546,0.819406,0.0011508322,0.0
4,0.19915569,0.017821182,0.8202482,0.0011567905,0.0
5,0.19876839,0.018766606,0.82125735,0.0010978858,0.0
6,0.19896299,0.019620428,0.8223674,0.0010783182,0.0
7,0.19906133,0.020986287,0.8226342,0.0010267269,0.0
8,0.19937181,0.02169726,0.8229342,0.00097181875,0.0
9,0.19961935,0.02204669,0.82410187,0.0009687946,0.0
10,0.19962215,0.022660308,0.8251648,0.00094073155,0.0
11,0.19968185,0.02271482,0.8258443,0.0009351436,0.0
12,0.19955875,0.023301926,0.8266611,0.0009536065,0.016666666915019352
13,0.19945267,0.02440431,0.82746917,0.000954856,0.0
14,0.19949949,0.025738299,0.8282034,0.00096099597,0.0
15,0.19935274,0.026613753,0.82875234,0.000982649,0.0
16,0.19914994,0.028368082,0.8289857,0.0009994444,0.08333333333333333
17,0.19892964,0.029922502,0.82928103,0.0010402658,0.033333333830038704
18,0.19896924,0.030341636,0.829586,0.0010650208,0.033333333830038704
19,0.19886583,0.03057025,0.82992864,0.0010872321,0.15000000596046448
20,0.19868742,0.03130967,0.83009714,0.0011112612,0.050000001986821495
21,0.19848192,0.032650124,0.8300994,0.0011580896,0.10000000397364299
22,0.19817404,0.03426276,0.829863,0.0012020931,0.34999998410542804
23,0.19789279,0.035248235,0.82974714,0.001257528,0.2666666905085246
24,0.19759437,0.035962977,0.82949376,0.0013229414,0.45000000794728595
25,0.19737841,0.036582116,0.8295234,0.0013687881,0.5
26,0.19730829,0.037260152,0.829308,0.0014126814,0.34999998410542804
27,0.19711325,0.03788373,0.8288874,0.0014322599,0.5
28,0.19681564,0.03844676,0.8286776,0.0014474163,0.6333333253860474
29,0.19659571,0.038958527,0.8282716,0.0014850706,0.6333333253860474
30,0.19631617,0.0394383,0.8278988,0.0015087546,0.6333333253860474
31,0.19594477,0.040174957,0.82744867,0.0015305007,0.5166666507720947
32,0.19556694,0.040776562,0.8267626,0.001554059,0.6666666666666666
33,0.19524054,0.04127326,0.8262258,0.001575976,0.8166666825612386
34,0.19493213,0.041533116,0.82557327,0.0015970723,0.7833333810170492
35,0.19465712,0.041737195,0.82521397,0.0016170304,0.45000000794728595
36,0.19434853,0.04215221,0.82467884,0.001631902,0.8666666348775228
37,0.19403656,0.04244377,0.82414037,0.0016531959,0.7166666984558105
38,0.19365588,0.042722918,0.8235631,0.001667841,0.75
