epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20134251,0.0059796064,0.8152445,0.002114836,0.0
1,0.20032044,0.011543687,0.81844634,0.0014755878,0.0
2,0.20063597,0.013255604,0.8213771,0.0012830413,0.0
3,0.20020895,0.015555728,0.8238434,0.0012002395,0.0
4,0.20017143,0.01690243,0.8263202,0.0011875196,0.0
5,0.19980606,0.019178536,0.8287949,0.0011354948,0.0
6,0.20030534,0.020664752,0.83144623,0.0011670513,0.0
7,0.20045301,0.023828965,0.83380204,0.0011695583,0.0
8,0.20010753,0.02651608,0.8354936,0.001166426,0.0
9,0.2001371,0.027895091,0.83671314,0.0011346401,0.0
10,0.1999171,0.02970681,0.837421,0.0011833459,0.0
11,0.1997534,0.030705016,0.83813363,0.0012205438,0.0
12,0.20010737,0.030981118,0.8388416,0.0012575049,0.0
13,0.20020023,0.03264453,0.83963376,0.0012589439,0.0
14,0.20037398,0.033529833,0.8405383,0.0012584785,0.0
15,0.2003229,0.034965392,0.841242,0.001247797,0.0
16,0.19997802,0.036634937,0.84142107,0.001253361,0.06666666666666666
17,0.1999812,0.037382904,0.8417221,0.0012682618,0.14999998410542804
18,0.20004736,0.03854091,0.8420517,0.0012731726,0.11666666467984517
19,0.20020097,0.039331112,0.84276575,0.0012734764,0.10000000397364299
20,0.2001156,0.04017935,0.8430194,0.0012568926,0.16666666666666666
21,0.2000176,0.041023403,0.843288,0.0012526372,0.4666666587193807
22,0.1999471,0.04202599,0.8437436,0.0012659578,0.5
23,0.1999334,0.042703047,0.84387666,0.0012739137,0.0
24,0.19995716,0.043027304,0.8443432,0.0012758324,0.23333332935969034
25,0.19969162,0.04411687,0.84440494,0.0012668968,0.6000000238418579
26,0.19946921,0.04483715,0.84399813,0.0012816828,0.6500000158945719
27,0.19927445,0.0455559,0.8438597,0.0012979396,0.8000000317891439
28,0.19893762,0.045933757,0.84326345,0.0013146037,0.6500000158945719
29,0.19858338,0.046434596,0.8423045,0.0013366967,0.75
30,0.19829538,0.046956435,0.84154683,0.0013506771,0.6833333174387614
31,0.1979075,0.047286846,0.8408785,0.0013660729,0.5666666428248087
32,0.19782773,0.047651064,0.84076977,0.0013740197,0.6500000158945719
33,0.19770813,0.04810911,0.8403247,0.0013854774,0.7666666507720947
34,0.19743423,0.04865187,0.8398375,0.0014012596,0.8166666825612386
35,0.19718526,0.04917317,0.8393298,0.0014116769,0.6666666666666666
36,0.19708511,0.049628247,0.8392945,0.0014223717,0.6000000238418579
37,0.19703886,0.050115228,0.8390105,0.00143492,0.5999999841054281
38,0.19684476,0.050358426,0.8384826,0.0014518491,0.8166666030883789
39,0.19656667,0.050603777,0.83787566,0.0014675204,0.7833333015441895
40,0.19635502,0.050762106,0.83744544,0.0014758516,0.5666666825612386
41,0.1961021,0.05106963,0.8370049,0.0014828065,0.8833332856496176
42,0.1959839,0.051171042,0.83682483,0.0014943205,0.8666666348775228
43,0.19595107,0.051550638,0.83677053,0.0014874968,0.8000000317891439
44,0.19588178,0.05182406,0.8366181,0.0014918261,0.8500000635782877
45,0.19582035,0.052005924,0.8363816,0.0015036549,0.8833333651224772
46,0.19573073,0.052204132,0.8360006,0.0015122049,0.8833332856496176
47,0.19563192,0.05233877,0.83574563,0.0015202524,0.8999999364217123
48,0.19551603,0.05244293,0.8353052,0.0015281976,0.9000000158945719
49,0.1952973,0.052689467,0.834733,0.0015390114,0.9166666666666666
50,0.1951871,0.05299294,0.8345415,0.0015398534,0.9833333492279053
51,0.1950702,0.053160593,0.8343973,0.00154483,0.9166666666666666
52,0.1950679,0.05349766,0.8344128,0.0015493883,0.9166666666666666
53,0.19506419,0.053718373,0.8343899,0.0015514934,0.9666666984558105
54,0.19497322,0.053904325,0.83417296,0.001556412,0.8499999841054281
55,0.19487798,0.054184474,0.83387464,0.0015633252,0.9166666666666666
56,0.1948068,0.054371174,0.83374316,0.0015711604,0.9166666666666666
57,0.19475146,0.054458056,0.83356255,0.0015854988,0.9666666984558105
58,0.19461437,0.054634906,0.8332464,0.0015897732,0.9166666666666666
59,0.19441572,0.054759096,0.83279127,0.0016023391,0.9166666666666666
60,0.19431181,0.054802824,0.83260185,0.001608929,0.9666666984558105
61,0.19418988,0.054903127,0.83222955,0.0016165279,0.8833333651224772
62,0.19406766,0.05496502,0.8320265,0.0016228625,1.0
63,0.19394214,0.05505912,0.8319238,0.0016306249,0.9499999682108561
