epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.19974743,0.0052726143,0.816098,0.0020416316,0.0
1,0.1996599,0.011740659,0.82265854,0.0010738441,0.0
2,0.19904503,0.023722334,0.8228311,0.00051993615,0.0
3,0.1979676,0.028588872,0.8232048,0.00037006172,0.0
4,0.1977318,0.032457594,0.8229995,0.0003165477,0.0
5,0.1972201,0.03455144,0.8226091,0.00027903062,0.0
6,0.19736914,0.035656977,0.82241416,0.00025854234,0.0
7,0.19745977,0.036218196,0.8224109,0.00025627582,0.0
8,0.19757923,0.03786192,0.8230028,0.00027207684,0.0
9,0.19756049,0.039331965,0.8240773,0.00032566537,0.033333333830038704
10,0.19741435,0.04061511,0.82524157,0.00039050388,0.016666666915019352
11,0.19727238,0.042393886,0.8262468,0.00044106654,0.016666666915019352
12,0.19742426,0.04409462,0.8275085,0.00051401946,0.0
13,0.19747633,0.04426971,0.8287265,0.00058289006,0.0
14,0.19751172,0.045639887,0.8297467,0.0006444273,0.033333333830038704
15,0.1976584,0.046198692,0.8310826,0.0007121137,0.08333333333333333
16,0.1974762,0.04688183,0.8313985,0.0007490138,0.2166666587193807
17,0.19704878,0.047718752,0.83193356,0.0007959285,0.4833333492279053
18,0.19683482,0.048270665,0.8321578,0.0008267529,0.40000001589457196
19,0.19651735,0.049058035,0.83256435,0.00086010486,0.25
20,0.19628778,0.04940559,0.8328075,0.0008912347,0.45000000794728595
21,0.19606912,0.04988616,0.8327851,0.0009036997,0.6000000238418579
22,0.19570918,0.050193667,0.83279055,0.0009208803,0.549999992052714
23,0.1953692,0.05062201,0.83288735,0.0009321778,0.5
24,0.19515376,0.051286675,0.83275574,0.00096186664,0.6999999682108561
25,0.19479817,0.051866878,0.83247036,0.0009967998,0.6666666269302368
26,0.19455834,0.05224471,0.83224154,0.0010200659,0.6833333969116211
27,0.19428657,0.052324962,0.83216137,0.0010379954,0.5333333412806193
28,0.19414651,0.052527167,0.8321764,0.001052139,0.4666666587193807
29,0.19391745,0.05252181,0.8318448,0.0010559303,0.7166666984558105
30,0.19364205,0.05260468,0.8316123,0.0010671822,0.8000000317891439
31,0.19334392,0.05279371,0.8312753,0.0010793001,0.5
32,0.19303201,0.052863218,0.8309436,0.0010914266,0.6833333174387614
33,0.19282848,0.05296653,0.8309888,0.0010983492,0.8500000635782877
34,0.19264862,0.05323786,0.8308161,0.0011038937,0.8333333333333334
35,0.192417,0.053426705,0.8304312,0.0011143695,0.7166666984558105
36,0.19221315,0.053442474,0.8302505,0.0011273571,0.8999999364217123
37,0.19208324,0.053629212,0.83015585,0.0011317456,0.8333333333333334
38,0.19191682,0.053682007,0.8299465,0.0011466508,0.8499999841054281
39,0.1917525,0.053812373,0.82992464,0.0011511754,0.8999999364217123
40,0.19160143,0.053857878,0.82971215,0.0011633894,0.8166666825612386
41,0.19137016,0.053838894,0.8295681,0.0011698201,0.8666666348775228
42,0.19117002,0.05383655,0.8293322,0.0011730742,0.8833333651224772
43,0.19100708,0.053839594,0.829066,0.0011801809,0.8166666825612386
44,0.19083765,0.053754147,0.82894987,0.0011902907,0.9333333174387614
45,0.1906579,0.053765994,0.82871705,0.0012044227,0.8500000635782877
46,0.1904696,0.05386526,0.8284426,0.0012076395,0.8333333333333334
47,0.19033344,0.053887367,0.82824093,0.0012164087,0.9000000158945719
48,0.19019502,0.053923097,0.827964,0.0012274383,0.9499999682108561
49,0.1901038,0.053856462,0.8278417,0.0012335308,0.9499999682108561
50,0.18999405,0.053865105,0.82778484,0.001238627,0.9833333492279053
51,0.18988918,0.053888246,0.8275924,0.0012396466,0.9666666984558105
52,0.189711,0.053900816,0.827447,0.0012454911,0.8000000317891439
