epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2014945,0.005991346,0.8159917,0.002376273,0.0
1,0.20007595,0.014568156,0.8218356,0.0016350792,0.0
2,0.19953713,0.015321348,0.82295066,0.0015265465,0.0
3,0.19901489,0.018538198,0.82317686,0.0012440466,0.0
4,0.19877565,0.01804613,0.82370764,0.0012770771,0.0
5,0.19888297,0.0195671,0.82406145,0.0011310346,0.0
6,0.1989789,0.021162715,0.82445663,0.0010846533,0.0
7,0.19917448,0.022582496,0.8243895,0.0010437815,0.0
8,0.19934464,0.023718704,0.82459664,0.0010125359,0.0
9,0.19945674,0.02478191,0.8247649,0.0009759663,0.0
10,0.19923523,0.02544755,0.8244732,0.0008923007,0.0
11,0.19946246,0.026475549,0.82469827,0.00086215604,0.0
12,0.19940867,0.026468739,0.82480127,0.00086953165,0.0
13,0.19930498,0.026902584,0.82530075,0.0008824928,0.0
14,0.19920382,0.027924716,0.8258942,0.0008756698,0.0
15,0.1991569,0.029380165,0.82656175,0.00086610526,0.0
16,0.19911548,0.029284561,0.8268108,0.0008631468,0.0
17,0.19922183,0.029697666,0.827241,0.00083436706,0.0
18,0.19926031,0.02921182,0.82710963,0.00084207597,0.0
19,0.19921352,0.029927623,0.8271232,0.0008297802,0.016666666915019352
20,0.198946,0.030824153,0.82627803,0.0007341453,0.0
21,0.19895202,0.031347528,0.8257479,0.0006970526,0.0
22,0.19884439,0.031956702,0.8253195,0.0006595774,0.0
23,0.19880354,0.032256737,0.82519937,0.00064019416,0.0
24,0.19877347,0.032070376,0.8252039,0.0006413283,0.0
25,0.19884786,0.032066528,0.82530046,0.0006467887,0.0
26,0.19870204,0.032756984,0.8242278,0.00056403835,0.0
27,0.19839635,0.033805206,0.8255654,0.000690596,0.11666666467984517
28,0.19826649,0.03380832,0.8256764,0.00070511363,0.0
29,0.19812952,0.034071673,0.82565695,0.0007334608,0.06666666766007741
30,0.19805,0.034382932,0.8258261,0.00075715734,0.0
31,0.19799457,0.034596205,0.8259422,0.0007799724,0.10000000397364299
32,0.1979299,0.034734286,0.82612723,0.0007991213,0.08333333333333333
33,0.1978095,0.03484361,0.8261178,0.0008227302,0.08333333333333333
34,0.19774418,0.034833893,0.8261083,0.0008452991,0.050000001986821495
35,0.1976492,0.034972437,0.8260703,0.00087143685,0.11666667461395264
36,0.1975849,0.03495723,0.82603407,0.0008991578,0.2833333412806193
37,0.19746572,0.035124317,0.82601976,0.0009258026,0.30000001192092896
38,0.19734636,0.035211977,0.8258285,0.0009574075,0.3333333333333333
39,0.19725357,0.03519702,0.82566243,0.0009853382,0.4333333174387614
40,0.19707003,0.03542354,0.8253383,0.0010341007,0.5
41,0.1969322,0.035515808,0.8251067,0.001070051,0.45000000794728595
42,0.19676329,0.035719264,0.8248401,0.0011043656,0.5833333333333334
43,0.19664314,0.03594059,0.8246012,0.0011355594,0.6666666666666666
44,0.19650649,0.036109794,0.82427454,0.0011741052,0.6166666348775228
45,0.19633077,0.036364574,0.82406473,0.0012091836,0.7666666507720947
46,0.19620466,0.036602817,0.8237729,0.001245222,0.8666666348775228
47,0.19599615,0.03679575,0.8235004,0.0012803659,0.5999999841054281
48,0.19584914,0.037089035,0.8233039,0.0013036566,0.6333333253860474
49,0.19569214,0.037346173,0.8231375,0.0013339943,0.7166666984558105
50,0.1955181,0.03761936,0.8229087,0.0013627149,0.8666666348775228
51,0.19531752,0.03781353,0.8226457,0.0013957964,0.6999999682108561
52,0.19518228,0.037995752,0.8223941,0.0014266685,0.7333333492279053
53,0.19503666,0.03813126,0.8221469,0.0014555352,0.7833333015441895
54,0.19485821,0.03834383,0.82188576,0.0014844412,0.9000000158945719
55,0.1947494,0.038529698,0.82164437,0.0015087542,0.7666666507720947
56,0.19459938,0.038769875,0.82143354,0.0015349103,0.8499999841054281
57,0.19446845,0.03896969,0.82124144,0.0015567687,0.8833333651224772
58,0.19433026,0.039143875,0.8209813,0.0015836725,0.9333333969116211
59,0.1941667,0.03936244,0.82070494,0.00160458,0.9499999682108561
60,0.19402029,0.03963931,0.82049036,0.0016244877,0.8500000635782877
61,0.1938793,0.03975164,0.82026887,0.0016435551,0.8999999364217123
62,0.19376788,0.039929558,0.8200868,0.0016637234,0.8000000317891439
63,0.19365054,0.040125445,0.8198828,0.0016851579,0.9333333174387614
64,0.19354418,0.040277716,0.819694,0.0017069528,0.9166666666666666
65,0.19342278,0.040493127,0.8194764,0.0017257076,0.9333333174387614
66,0.19330753,0.04062892,0.81928825,0.0017434234,0.9833333492279053
67,0.19316529,0.040753465,0.81907946,0.00175643,0.8999999364217123
68,0.19308715,0.04088225,0.8188694,0.0017714909,0.93333331743876146
69,0.19296512,0.040951032,0.8187085,0.0017849527,0.9166666666666666
70,0.19288263,0.04109752,0.81847715,0.0018049628,0.9166666666666666
71,0.19275033,0.04131489,0.8182711,0.0018160298,0.9333333174387614
72,0.19264808,0.041413415,0.81803197,0.001832718,0.9333333174387614
73,0.19256952,0.041555177,0.81785935,0.0018458577,0.9166666666666666
74,0.1924476,0.041677564,0.81762695,0.0018634163,0.9499999682108561
75,0.19234829,0.041801896,0.8174782,0.0018747095,0.9499999682108561
76,0.19223851,0.041946772,0.8173423,0.0018879765,0.9333333174387614
77,0.19217673,0.042191762,0.817233,0.0018996974,0.9333333174387614
78,0.19209357,0.0423555,0.81709796,0.0019113397,0.9499999682108561
79,0.19200338,0.042547777,0.8169735,0.0019215363,1.0
80,0.19193746,0.04274704,0.8168547,0.0019336719,0.9833333492279053
81,0.19185036,0.04283585,0.8167405,0.0019461705,0.9499999682108561
82,0.19176301,0.04296199,0.8165657,0.0019584491,0.9666666984558105
83,0.19167636,0.043073583,0.8163969,0.001972581,0.9499999682108561
84,0.1917333,0.042939376,0.8165086,0.0019753135,0.9833333492279053
85,0.19162636,0.043111943,0.8163455,0.0019866668,0.9666666984558105
86,0.191534,0.043276444,0.8161933,0.0019981132,0.9666666984558105
87,0.19146629,0.04342945,0.8160928,0.0020067662,0.9833333492279053
88,0.191402,0.043588404,0.8159751,0.0020200028,0.9666666984558105
89,0.19133893,0.043727435,0.8158514,0.0020302506,0.9499999682108561
90,0.19193746,0.04274704,0.8168547,0.0019336719,0.9833333492279053
91,0.19185036,0.04283585,0.8167405,0.0019461705,0.9499999682108561
92,0.19176301,0.04296199,0.8165657,0.0019584491,0.9666666984558105
93,0.19167636,0.043073583,0.8163969,0.001972581,0.9499999682108561
94,0.1917333,0.042939376,0.8165086,0.0019753135,0.9833333492279053
95,0.19162636,0.043111943,0.8163455,0.0019866668,0.9666666984558105
96,0.191534,0.043276444,0.8161933,0.0019981132,0.9666666984558105
97,0.19146629,0.04342945,0.8160928,0.0020067662,0.9833333492279053
98,0.191402,0.043588404,0.8159751,0.0020200028,0.9666666984558105
99,0.19133893,0.043727435,0.8158514,0.0020302506,0.9499999682108561
