epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20825215,0.004573294,0.8482764,0.0018493393,0.0
1,0.20813118,0.003862339,0.847905,0.0019322325,0.0
2,0.20792465,0.0037712224,0.847208,0.0018820926,0.0
3,0.20763724,0.0037813962,0.84660023,0.0019152261,0.0
4,0.20759943,0.0036201512,0.84662586,0.0019862866,0.0
5,0.20759957,0.0036718578,0.84642005,0.0019725596,0.0
6,0.20760506,0.0038179674,0.8463681,0.001970914,0.0
7,0.20760463,0.0040084994,0.84633017,0.0019414177,0.0
8,0.20765598,0.0040930253,0.84644574,0.0019263889,0.0
9,0.20768853,0.004266997,0.84631246,0.0018847687,0.0
10,0.20763466,0.00439298,0.8463238,0.0018268017,0.0
11,0.20767468,0.004412103,0.8463437,0.0018257207,0.0
12,0.20767151,0.004397195,0.8463908,0.0018329279,0.0
13,0.20767197,0.004379745,0.8464742,0.0018448095,0.0
14,0.20770572,0.004453317,0.8464697,0.0018301057,0.0
15,0.20773219,0.004430337,0.8465355,0.0018487126,0.0
16,0.2077548,0.004448436,0.8465974,0.0018313517,0.0
17,0.20776074,0.004478909,0.8466029,0.0018202988,0.0
18,0.20773867,0.0044758357,0.8465791,0.0018099943,0.0
19,0.20771754,0.004534593,0.8465144,0.0018051192,0.0
20,0.20768246,0.0045233914,0.8464485,0.0018048935,0.0
21,0.20767294,0.0045634275,0.84642774,0.0017913176,0.0
22,0.20765814,0.0045422832,0.8464059,0.0017906645,0.0
23,0.20763133,0.004592927,0.8463695,0.0017803482,0.0
24,0.20762016,0.0046008993,0.846348,0.0017806384,0.0
25,0.20762986,0.004635876,0.84631306,0.0017767182,0.0
26,0.20764118,0.004626282,0.84638554,0.001777843,0.0
27,0.20764984,0.0046232217,0.846361,0.0017794756,0.0
28,0.2076426,0.004613255,0.8463418,0.0017817141,0.0
29,0.20763735,0.0046259807,0.84631014,0.0017804593,0.0
30,0.20763059,0.0046200557,0.8463125,0.0017729342,0.0
31,0.20764673,0.004631897,0.84634256,0.0017628694,0.0
32,0.20765504,0.0046592783,0.8463221,0.0017507029,0.0
33,0.20764393,0.0046789353,0.8462829,0.0017434251,0.0
34,0.2076551,0.00469692,0.8463202,0.0017369785,0.0
35,0.20765793,0.004745862,0.84632087,0.0017298954,0.0
36,0.20765407,0.004759279,0.84630656,0.001717467,0.0
37,0.20765081,0.004792382,0.8463089,0.0017157147,0.0
38,0.20765686,0.004819732,0.84633,0.0017094862,0.0
39,0.20767108,0.004829229,0.8463452,0.0017043987,0.0
40,0.20772734,0.0051667704,0.84630257,0.0016404643,0.0
41,0.20782144,0.005608037,0.8462474,0.0015165139,0.0
42,0.20791458,0.006332625,0.84600383,0.0013495083,0.0
43,0.20829412,0.008723693,0.8454743,0.00097090146,0.0
44,0.20866448,0.0118672885,0.84494996,0.0007258582,0.0
45,0.20880242,0.014420517,0.84455895,0.0006248978,0.0
46,0.20890322,0.016206412,0.84427434,0.0005418597,0.0
47,0.20918192,0.018568603,0.84370226,0.0004342444,0.0
48,0.20944053,0.021163756,0.84296554,0.00035436646,0.0
49,0.20975482,0.023564572,0.8422702,0.0002937971,0.0
50,0.21015367,0.025581954,0.84184057,0.0002443589,0.0
51,0.21024513,0.026280247,0.84185266,0.00023244001,0.0
52,0.21027444,0.026422348,0.8418811,0.0002338791,0.0
53,0.21027792,0.026412115,0.84199333,0.00023759436,0.0
54,0.21029222,0.026336731,0.8421545,0.00024136959,0.0
55,0.21028288,0.026242403,0.842254,0.00024484456,0.0
56,0.21026862,0.026089646,0.842351,0.00024908906,0.0
57,0.2102293,0.02587993,0.8424616,0.00025356552,0.0
58,0.21019836,0.025693096,0.8425417,0.0002579266,0.0
