epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20801441,0.0024455206,0.8474922,0.0020544443,0.0
1,0.20789656,0.002403557,0.84743375,0.002075605,0.0
2,0.20774956,0.0023160477,0.8468697,0.0021418044,0.0
3,0.20751175,0.0024232944,0.8462104,0.002155503,0.0
4,0.20759003,0.0023684774,0.846327,0.0022193352,0.0
5,0.20759182,0.0023951554,0.8461818,0.0022135742,0.0
6,0.20761287,0.0025278586,0.8460934,0.0021618984,0.0
7,0.2075655,0.0026462912,0.8460471,0.002134255,0.0
8,0.2075636,0.0027086912,0.8462789,0.0021129728,0.0
9,0.20751485,0.0027983254,0.8461481,0.002093371,0.0
10,0.20751163,0.0027978006,0.8461583,0.002091211,0.0
11,0.2075008,0.0028549351,0.84618926,0.002110373,0.0
12,0.207492,0.0028985462,0.84625673,0.0020952513,0.0
13,0.20751108,0.002992377,0.8463294,0.0020990253,0.0
14,0.2074706,0.0031308923,0.8463657,0.002048055,0.0
15,0.2074845,0.003220897,0.846397,0.0020229109,0.0
16,0.20753957,0.0033752709,0.8463998,0.0019706106,0.0
17,0.20755003,0.0034674343,0.84640026,0.0019505644,0.0
18,0.20754635,0.0035575351,0.84637374,0.0019274153,0.0
19,0.2075546,0.003683775,0.84632796,0.0018988376,0.0
20,0.2075642,0.003736921,0.846288,0.0018888507,0.0
21,0.20757721,0.003794931,0.84623986,0.0018569088,0.0
22,0.2075702,0.003776828,0.84620124,0.0018647993,0.0
23,0.20756374,0.0037947136,0.8461671,0.0018641724,0.0
24,0.20756899,0.0038021635,0.8461533,0.0018569216,0.0
25,0.20755856,0.0038018385,0.8461406,0.0018557395,0.0
26,0.2075675,0.003818705,0.8461971,0.0018571591,0.0
27,0.20757934,0.0038121098,0.8462128,0.001862561,0.0
28,0.20757124,0.0038136689,0.8461992,0.001867049,0.0
29,0.2075532,0.0038513772,0.8461979,0.001863697,0.0
30,0.20755321,0.0038311372,0.84620565,0.0018631617,0.0
31,0.2075624,0.0038165497,0.8462468,0.0018658843,0.0
32,0.20754814,0.003818613,0.8462544,0.0018670433,0.0
33,0.20753159,0.0038355303,0.8462152,0.0018692012,0.0
34,0.207525,0.0038439692,0.8462553,0.0018753599,0.0
35,0.20751339,0.0038565006,0.8462513,0.001883143,0.0
36,0.20751822,0.0038800733,0.84623235,0.0018860098,0.0
37,0.20752507,0.0039065424,0.8462162,0.0018865523,0.0
38,0.20753056,0.0039171143,0.8462386,0.0018883155,0.0
39,0.20753779,0.0038955624,0.84623367,0.0018942252,0.0
40,0.20753536,0.003872355,0.8462264,0.0019031531,0.0
