epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20848985,0.00329362,0.8496354,0.0020922974,0.0
1,0.20840482,0.0044673793,0.85264915,0.0018136067,0.0
2,0.20825455,0.0058166063,0.85212606,0.0014112348,0.0
3,0.20846522,0.0070370184,0.8525694,0.0012887417,0.0
4,0.20837194,0.007726148,0.8525067,0.0012414256,0.0
5,0.20864555,0.00899614,0.8531713,0.001123134,0.0
6,0.20858479,0.010060051,0.8535087,0.0010977053,0.0
7,0.20849775,0.011371049,0.85312814,0.0011325731,0.0
8,0.20852894,0.013322579,0.8534376,0.0011576437,0.0
9,0.20845659,0.015154376,0.8529362,0.0012007611,0.13333333532015482
10,0.20849466,0.017295435,0.8527038,0.0012445743,0.20000000794728598
11,0.20861061,0.019498885,0.8516132,0.0012805384,0.26666667064030963
12,0.20835817,0.022853846,0.8495369,0.0013106304,0.36666667461395264
13,0.20828897,0.026300201,0.84776974,0.0013229366,0.30000001192092896
14,0.20822851,0.028443277,0.8467646,0.0013686372,0.3333333333333333
15,0.20808132,0.030621035,0.84570473,0.0013981921,0.36666663487752277
16,0.20791034,0.03237633,0.84488744,0.0014271556,0.5500000317891439
17,0.20758267,0.034001563,0.84342843,0.0014439323,0.6499999761581421
18,0.20727092,0.03522455,0.84228677,0.0014624759,0.5500000317891439
19,0.20711859,0.03646519,0.841309,0.0014836475,0.6500000158945719
20,0.2070779,0.03814431,0.84031457,0.0015034843,0.5333333412806193
21,0.20694262,0.039707705,0.8394311,0.0015191442,0.5833333333333334
22,0.20687619,0.040729657,0.83857304,0.0015564455,0.6333333253860474
23,0.20678778,0.041756142,0.8375408,0.0015570234,0.7666667302449545
24,0.20676361,0.042788677,0.83664274,0.0015611802,0.7333333492279053
25,0.20672049,0.0440417,0.83577067,0.0015731192,0.8500000635782877
26,0.20667443,0.045255724,0.83468956,0.0015817197,0.8000000317891439
27,0.20669997,0.04616591,0.8338043,0.0015860231,0.8166666030883789
28,0.20661846,0.046935674,0.8333214,0.0015826207,0.6333333253860474
29,0.20661634,0.04762486,0.8328602,0.0015820381,0.8166666825612386
30,0.2065739,0.0484581,0.8323757,0.0015864167,0.7833333015441895
31,0.20649418,0.04935812,0.8320415,0.001588157,0.8166666030883789
32,0.20646802,0.04983989,0.8320213,0.001586096,0.8666666348775228
33,0.20641114,0.050193194,0.8320708,0.0015930114,0.7666667302449545
34,0.20640855,0.050499335,0.83197623,0.0015949757,0.8499999841054281
35,0.20634916,0.050815538,0.83209753,0.0016069803,0.8166666825612386
36,0.20636211,0.051155094,0.8323501,0.001616228,0.8499999841054281
37,0.20625767,0.051528264,0.8323805,0.0016307273,0.8999999364217123
38,0.20625544,0.05178198,0.8323405,0.0016437354,0.9166666666666666
39,0.20619848,0.05200864,0.8324425,0.0016445898,0.8666666348775228
40,0.20614609,0.0523011,0.8325909,0.0016508078,0.8499999841054281
41,0.20607296,0.052621488,0.8324282,0.0016548143,0.9333333969116211
