epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2075715,0.003771886,0.8472145,0.0017715538,0.0
1,0.20765378,0.0059358585,0.85117906,0.0013911217,0.0
2,0.20813201,0.007830836,0.8529999,0.0011382403,0.0
3,0.20809135,0.008035925,0.85420614,0.0012407294,0.0
4,0.20799635,0.007965174,0.8543375,0.0013066367,0.0
5,0.207851,0.007840827,0.854405,0.0013972436,0.0
6,0.20763855,0.007943616,0.8551238,0.0014077121,0.0
7,0.20790073,0.008326911,0.85663193,0.0013894594,0.0
8,0.20806824,0.008677733,0.8575905,0.0013812305,0.0
9,0.20836912,0.009885651,0.85802907,0.001322054,0.0
10,0.20853314,0.010462267,0.85778856,0.0012989765,0.0
11,0.20853622,0.011242482,0.8574629,0.0013205241,0.016666666915019352
12,0.20861998,0.011829275,0.8578331,0.0013681063,0.08333333333333333
13,0.20866682,0.012435299,0.85762525,0.0013887192,0.033333333830038704
14,0.20864314,0.013369339,0.8574369,0.0014039342,0.08333333333333333
15,0.2085482,0.014531843,0.8573027,0.0014203539,0.16666666666666666
16,0.2086345,0.015416065,0.8572407,0.0014388262,0.14999999602635702
17,0.20846702,0.016524855,0.85659295,0.0014436072,0.25
18,0.20833942,0.017849619,0.85554343,0.0014698185,0.18333333730697632
19,0.20807506,0.019266663,0.8545813,0.0014600459,0.40000001589457196
20,0.20795687,0.020658303,0.85387486,0.0014755484,0.38333332538604736
21,0.20788105,0.022059213,0.853136,0.0014834563,0.38333332538604736
22,0.20780024,0.023549486,0.8525302,0.0014974978,0.44999996821085614
23,0.20778397,0.02486299,0.85208744,0.0015003067,0.4833333492279053
24,0.20762318,0.025917996,0.85134214,0.0015129568,0.5999999841054281
25,0.20752569,0.027193978,0.85059094,0.001521573,0.40000001589457196
26,0.20743811,0.0283448,0.84979486,0.0015128084,0.5833333333333334
27,0.20736939,0.029331913,0.8492799,0.0015004803,0.5666666825612386
28,0.20723297,0.030320575,0.84872705,0.0015025731,0.4833333492279053
29,0.20715903,0.031090628,0.848471,0.0015267633,0.6500000158945719
30,0.20712027,0.031758767,0.84829855,0.0015324941,0.6499999761581421
31,0.20703241,0.032481335,0.84785146,0.0015460732,0.6666666269302368
32,0.20706993,0.033147648,0.8476615,0.0015634536,0.6999999682108561
33,0.20697269,0.033981122,0.8471799,0.0015750035,0.5
34,0.20695357,0.03464237,0.8469092,0.0015877081,0.6333333253860474
35,0.20683573,0.03550116,0.84631044,0.0015993696,0.7333332697550455
36,0.20670536,0.036027648,0.8460459,0.0016106991,0.6666666666666666
37,0.20667128,0.036635134,0.8458484,0.0016235806,0.7666666507720947
38,0.2066281,0.037207518,0.8458288,0.0016433803,0.8166666030883789
39,0.20652515,0.037823033,0.8455021,0.0016422343,0.6999999682108561
40,0.20646776,0.03838159,0.84520817,0.0016491116,0.8666666348775228
41,0.20645624,0.038993515,0.84479284,0.0016545017,0.6833333174387614
42,0.20638226,0.039640434,0.8443332,0.0016563791,0.4166666666666667
43,0.2063218,0.040178675,0.84383535,0.0016606805,0.6500000158945719
44,0.20627601,0.040558916,0.8436177,0.0016673122,0.8666666348775228
45,0.20617852,0.040992033,0.84337586,0.001669957,0.8833332856496176
