epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20790665,0.0035988826,0.8486487,0.0019723438,0.0
1,0.2087651,0.006027992,0.85308075,0.0011672878,0.0
2,0.2087281,0.00693591,0.8534185,0.0012487193,0.0
3,0.20862615,0.0077936524,0.8537199,0.001200357,0.0
4,0.20859484,0.008488971,0.85397625,0.0010961471,0.0
5,0.20857273,0.00926636,0.8548627,0.0011013405,0.0
6,0.20852551,0.009801102,0.8551641,0.001105587,0.0
7,0.2087413,0.010619045,0.8556277,0.0011015289,0.016666666915019352
8,0.20871767,0.011847485,0.8553198,0.0011292683,0.050000001986821495
9,0.2083093,0.013615829,0.85446215,0.0011865046,0.11666667461395264
10,0.2078202,0.015387572,0.8524279,0.0012499093,0.20000000794728598
11,0.2077373,0.017118804,0.85066706,0.0012865312,0.3333333333333333
12,0.20734031,0.01956025,0.84882545,0.0013052089,0.3333333333333333
13,0.20686409,0.0218859,0.8465819,0.0013228487,0.4333333174387614
14,0.2064377,0.023898667,0.84439355,0.0013507764,0.5833333333333334
15,0.20593569,0.025910651,0.8418855,0.0013894947,0.5
16,0.20567846,0.028116765,0.8396723,0.0013956126,0.549999992052714
17,0.20547241,0.029984448,0.8375718,0.0014027226,0.75
18,0.20509797,0.031875588,0.83541626,0.0014123335,0.6666666666666666
19,0.20481521,0.03368921,0.8334666,0.0014501332,0.7666667302449545
20,0.20451799,0.035430893,0.83136606,0.0014619409,0.7666666507720947
21,0.20411295,0.03703932,0.8295104,0.0014692721,0.8500000635782877
22,0.20385261,0.038419794,0.82771856,0.0014805772,0.7833333015441895
23,0.20359856,0.040072918,0.8260109,0.0014860602,0.8166666825612386
24,0.20330247,0.041586176,0.82430524,0.0014918195,0.8000000317891439
25,0.20313032,0.043172717,0.8228822,0.0014864843,0.8499999841054281
26,0.20283093,0.04427208,0.8214469,0.001477268,0.8833332856496176
27,0.2025697,0.045326594,0.82018787,0.0014742594,0.9000000158945719
28,0.2023235,0.04649729,0.8189073,0.0014665475,0.9000000158945719
29,0.2020974,0.04747592,0.81768274,0.0014646327,0.9499999682108561
30,0.201929,0.04838673,0.8165557,0.0014427447,0.8000000317891439
31,0.20187025,0.04928178,0.8157317,0.0014460265,0.8666666348775228
32,0.20178208,0.050278507,0.81490326,0.0014397353,0.9166666666666666
33,0.20154744,0.051011343,0.8143241,0.001429034,0.9166666666666666
34,0.20144662,0.05174357,0.8136454,0.0014236063,0.8166666825612386
35,0.20132548,0.0524574,0.81287295,0.0014160004,0.9333333174387614
36,0.20124468,0.053264074,0.8121844,0.0014067166,0.9499999682108561
