epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2088074,0.0031992379,0.85013276,0.0015507126,0.0
1,0.20883392,0.0052206726,0.853226,0.0011702444,0.0
2,0.20899236,0.006925429,0.8538758,0.00093125226,0.0
3,0.20908746,0.007364667,0.85496,0.0009712248,0.0
4,0.20914888,0.007998797,0.8555487,0.0010007861,0.0
5,0.20910387,0.008135722,0.85637933,0.0010298948,0.0
6,0.20908792,0.008649282,0.8558758,0.0010234079,0.0
7,0.20895046,0.009669514,0.855995,0.0010722456,0.050000001986821495
8,0.20869248,0.010444907,0.8557117,0.0011028426,0.0
9,0.208511,0.011364873,0.85518485,0.0011321207,0.050000001986821495
10,0.20830673,0.012562039,0.8550218,0.0011982417,0.16666666666666666
11,0.20827504,0.014508936,0.8537841,0.0012746815,0.26666667064030963
12,0.20786814,0.01612119,0.8522075,0.0013262624,0.4333333571751912
13,0.2076317,0.018116033,0.8516665,0.0013643485,0.4833333492279053
14,0.2073717,0.02019604,0.85029525,0.0014142614,0.18333333730697632
15,0.20699556,0.021834325,0.8484214,0.001461509,0.3333333333333333
16,0.20690662,0.024364546,0.84666085,0.0014971872,0.44999996821085614
17,0.20668644,0.026178045,0.8452341,0.0015160558,0.5166666905085245
18,0.20655788,0.02797121,0.8437922,0.0015416633,0.5166666905085245
19,0.20643836,0.029769052,0.842515,0.0015568061,0.5666666825612386
20,0.2062784,0.031213136,0.84140414,0.0015795763,0.5833333333333334
21,0.20622253,0.03337644,0.84006506,0.0015978656,0.5833333333333334
22,0.20615852,0.035041735,0.83872527,0.0016140388,0.5500000317891439
23,0.20615916,0.03668856,0.83754295,0.0016355015,0.7333333492279053
24,0.20608813,0.038471036,0.83611256,0.0016518765,0.5000000397364298
25,0.20589828,0.039941445,0.83474445,0.0016580313,0.6166666746139526
26,0.20582117,0.041563835,0.83333325,0.0016629113,0.6833333174387614
27,0.20568025,0.04291317,0.83233076,0.0016546488,0.7166666984558105
28,0.20559378,0.044075903,0.8314515,0.0016594768,0.7166666984558105
