epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20756826,0.004547845,0.846138,0.001704785,0.0
1,0.20844781,0.0068314224,0.8513585,0.0011641732,0.0
2,0.20825051,0.008514591,0.8520976,0.0010104805,0.0
3,0.20815754,0.007889574,0.85239816,0.0011434999,0.0
4,0.20807093,0.008475837,0.8533481,0.0011994903,0.0
5,0.2081246,0.008408796,0.85374993,0.0012484671,0.0
6,0.20784491,0.008320175,0.85342294,0.0013544209,0.0
7,0.20773159,0.008222688,0.8532667,0.0013814378,0.0
8,0.20744033,0.008292312,0.8525731,0.0014747399,0.0
9,0.20728497,0.008928056,0.8520799,0.0014747562,0.0
10,0.2070182,0.009927065,0.85114676,0.0014775908,0.0
11,0.2068826,0.010401414,0.8501609,0.001527777,0.0
12,0.20664346,0.010755671,0.8491121,0.0015770141,0.0
13,0.2063776,0.0114787575,0.8480067,0.001661453,0.0
14,0.20629649,0.012256917,0.84695053,0.001708793,0.0
15,0.20598839,0.013310981,0.8451772,0.0017695297,0.0
16,0.20580828,0.014512535,0.8441164,0.001809413,0.0
17,0.20557113,0.015731152,0.84258485,0.001850057,0.0
18,0.20538191,0.016937427,0.84117717,0.0018912371,0.04999998410542804
19,0.2051912,0.01832528,0.83963346,0.0019206436,0.0666666507720947
20,0.20497599,0.019899582,0.83838624,0.0019417546,0.16666669845581055
21,0.20497078,0.021519216,0.8371429,0.0019753347,0.18333332538604736
22,0.20489174,0.02310476,0.83609766,0.0019953905,0.25
23,0.20483798,0.024672069,0.83505005,0.0020129795,0.25
24,0.20466493,0.026044218,0.8340393,0.0020463017,0.3333333571751912
25,0.20462604,0.027273312,0.83307815,0.0020683978,0.3833333094914754
26,0.20453502,0.02831341,0.8320311,0.0020915552,0.35
27,0.20440565,0.02906763,0.83125824,0.0021168215,0.449999992052714
28,0.20437014,0.02991253,0.8304155,0.0021269356,0.4833333174387614
29,0.20419872,0.030873306,0.8295858,0.0021276427,0.4999999841054281
30,0.20405994,0.031859525,0.8287535,0.0021304789,0.5666667302449545
31,0.20391637,0.032591227,0.8280208,0.0021311853,0.5833333969116211
32,0.20381783,0.033176046,0.8273466,0.002143549,0.5833333174387614
33,0.20374848,0.033579435,0.82664734,0.0021463183,0.633333174387614
34,0.20369154,0.03413448,0.82597923,0.002156949,0.7166666825612386
35,0.20359823,0.034952737,0.82526326,0.0021525312,0.6166666030883789
36,0.20348619,0.035489775,0.8245611,0.0021537382,0.6666666348775228
37,0.2033771,0.036064036,0.82369304,0.0021487453,0.6333333492279053
38,0.20336701,0.036784455,0.8230119,0.0021502564,0.7333333492279053
39,0.20326655,0.03743909,0.82235867,0.0021496613,0.8333333333333334
40,0.2032034,0.03788389,0.82172626,0.0021414764,0.8000000317891439
41,0.20312902,0.038537648,0.8209503,0.0021393634,0.7833333015441895
42,0.20303084,0.039111216,0.8202653,0.002135881,0.7500000635782877
43,0.20288971,0.039585944,0.8195789,0.0021323662,0.75
44,0.2028213,0.039952468,0.8189276,0.0021300446,0.733333015441895
45,0.20275944,0.040381674,0.8184025,0.002130691,0.8000000317891439
46,0.20269197,0.040757123,0.81788415,0.0021344458,0.6333333253860474
47,0.20261118,0.041079268,0.81744313,0.0021394843,0.8000000317891439
48,0.20254667,0.041559916,0.8170336,0.00213683,0.8333333333333334
49,0.20249423,0.042035244,0.81658155,0.002145039,0.8333333333333334
50,0.20235921,0.04235165,0.8162392,0.0021483197,0.8166666030883789
51,0.20227455,0.042742558,0.8157911,0.0021454596,0.8166666825612386
52,0.202232,0.04304569,0.8154628,0.002153081,0.8166666825612386
53,0.20217961,0.04343736,0.8151708,0.002151829,0.8166666666666666
54,0.20211619,0.043778982,0.8148527,0.002154463,0.866666666666666
55,0.20201117,0.044040605,0.814578,0.0021527682,0.8666666348775228
56,0.20192696,0.04430692,0.81423753,0.0021583645,0.8000000158945719
57,0.20189951,0.044510216,0.81394935,0.002167808,0.8333333333333334
58,0.20179148,0.044779193,0.81359696,0.0021645946,0.8666666348775228
59,0.20173597,0.045035616,0.81340855,0.002166887,0.8000000317891439
60,0.20164238,0.04530419,0.81311107,0.0021729,0.8666666984558105
61,0.20158598,0.045557205,0.8128329,0.0021780955,0.9333333174387614
62,0.20154433,0.045805845,0.8125432,0.002178362,0.8333333333333334
63,0.20154294,0.046055775,0.8123236,0.0021843538,0.8666666348775228
64,0.20151317,0.04629792,0.8121233,0.0021916435,0.7999999523162842
65,0.20148909,0.046530943,0.81193036,0.0021952016,0.9333333174387614
66,0.20144953,0.04671444,0.8117855,0.0022023788,0.8499999841054281
67,0.20137928,0.04684124,0.8116457,0.0022104771,0.9000000158945719
68,0.20133296,0.047124535,0.81143314,0.0022124348,0.8999999364217123
69,0.20127201,0.047376856,0.8112692,0.0022124604,0.9333333174387614
70,0.201213,0.047595777,0.81118196,0.0022118806,0.8499999841054281
71,0.2011756,0.04782905,0.811009,0.0022141184,0.9166666666666666
72,0.20110914,0.04804131,0.8108139,0.0022169203,0.9499999682108561
73,0.20106949,0.04827127,0.81060094,0.0022180546,0.8999999364217123
