epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20738849,0.007363945,0.8413101,0.0016307061,0.0
1,0.20952244,0.011964765,0.84724253,0.00086520804,0.0
2,0.20788266,0.017388484,0.84544355,0.0007098605,0.0
3,0.20787829,0.018437127,0.8464219,0.0006599051,0.0
4,0.20816535,0.018384429,0.84816647,0.0006634667,0.0
5,0.20857812,0.020564912,0.8486264,0.0005851852,0.0
6,0.20866899,0.020907132,0.84869456,0.0005964252,0.0
7,0.20835344,0.023201475,0.8493703,0.0006298506,0.0
8,0.20878758,0.025399081,0.8492274,0.0006505652,0.0
9,0.20790327,0.029179294,0.8486781,0.00067413115,0.033333333830038704
10,0.20785195,0.033692516,0.8476972,0.0006898699,0.03333333532015482
11,0.20707823,0.0384075,0.8457572,0.0006789337,0.1166666587193807
12,0.20632978,0.0439314,0.8431683,0.00070046337,0.166666587193807
13,0.2052737,0.050131537,0.84048647,0.00072944973,0.26666667461395264
14,0.20392157,0.056121007,0.8377228,0.00074640365,0.3166666507720947
15,0.2034372,0.061226152,0.8355651,0.0007713795,0.3999999841054281
16,0.20292625,0.06515009,0.8335428,0.0007935784,0.5166666905085245
17,0.20249753,0.06863111,0.83166075,0.00081195217,0.65
18,0.20230286,0.07235664,0.82985973,0.00082691835,0.6833333730697632
19,0.20218962,0.075647704,0.8281825,0.0008267193,0.7666666666666666
20,0.20209143,0.07907607,0.82679063,0.000845513,0.7500000158945719
21,0.20209578,0.08142147,0.8254783,0.0008575378,0.75
22,0.20219536,0.082837015,0.8242171,0.00086896843,0.7333333253860474
23,0.20203194,0.08419817,0.82321817,0.00087964995,0.7533332697550455
24,0.20172091,0.08585206,0.82201725,0.0008845266,0.7866666984558105
25,0.20189653,0.08751915,0.82096857,0.000877451,0.7833333174387614
26,0.20183212,0.089082204,0.8201104,0.00088593137,0.75
27,0.20151307,0.090734474,0.8192623,0.00087876245,0.833333810170492
28,0.20139349,0.09250355,0.81850654,0.00087538635,0.8500000317891439
29,0.20133244,0.09436659,0.8175661,0.0008643786,0.7833333015441895
30,0.20113556,0.09558967,0.81693506,0.0008611418,0.8333332697550455
31,0.20094565,0.09700318,0.81633157,0.0008641452,0.8833333333333334
32,0.20088707,0.0983098,0.8157652,0.0008698674,0.8499999364217123
33,0.20091863,0.09936881,0.81513023,0.00085817167,0.8499999841054281
34,0.2009449,0.10037149,0.8145798,0.0008576105,0.8599999364217123
35,0.20082383,0.10130451,0.81402963,0.00084563904,0.8499999682108561
36,0.20081076,0.10259557,0.81349975,0.0008421115,0.866666666666666
37,0.2007924,0.10341838,0.8129823,0.0008311705,0.863333651224772
38,0.20089659,0.1045488,0.8126076,0.00082862703,0.8666666030883789
39,0.20078307,0.10540377,0.8121751,0.0008236035,0.8500000158945719
40,0.20057209,0.10663849,0.8116587,0.000813318,0.8633333174387614
41,0.20047612,0.10753103,0.8110663,0.00079550577,0.83333651224772
42,0.20034102,0.108270146,0.8107026,0.0007961679,0.9166666984558105
43,0.2002077,0.10903242,0.81016845,0.00078367983,0.9199999364217123
44,0.20004798,0.10980159,0.80977947,0.00077640504,0.9299999682108561
45,0.19996329,0.110720135,0.8094836,0.00077330135,0.9233333174387614
46,0.19984911,0.11113737,0.8091669,0.00077451736,0.933333651224772
47,0.19975875,0.111924,0.8088687,0.0007716713,0.933333174387614
48,0.1996327,0.11232922,0.8085148,0.0007636819,0.900000158945719
49,0.19959146,0.1129735,0.8082846,0.00076102914,0.916666666666666
50,0.19947629,0.11355138,0.80790377,0.0007514211,0.9500000158945719
51,0.1994391,0.11420073,0.8076419,0.0007502564,0.9299999682108561
52,0.19946489,0.11461895,0.8073395,0.00074261165,0.9366666666666666
53,0.199296,0.11512039,0.80694586,0.0007350876,0.9799999682108561
54,0.1992635,0.11551009,0.8067227,0.00073402794,0.9833333492279053
55,0.19927254,0.11579507,0.80654716,0.00072288635,0.9666666984558105
56,0.19924884,0.11625519,0.8063429,0.0007162979,0.9666666984558105
57,0.19936644,0.11671587,0.8061467,0.0007096166,0.9699999682108561
58,0.1992572,0.11681254,0.8059428,0.0007083877,0.933333174387614
59,0.19929115,0.11709582,0.8057034,0.00070715154,0.9666666984558105
60,0.19921564,0.11742917,0.8056242,0.0007111747,0.9766666666666666
61,0.1992195,0.117923595,0.80543685,0.0007065595,0.9633333492279053
62,0.19919527,0.118151516,0.8053139,0.0007099022,0.9599999364217123
63,0.19908144,0.118441656,0.8050661,0.0007048284,1.0
64,0.19908081,0.11866665,0.80489,0.0007060489,1.0
65,0.19902714,0.11874151,0.80466294,0.00070008513,0.9499999682108561
66,0.19900772,0.11893255,0.8045961,0.00070662034,0.9833333492279053
67,0.19888857,0.11921948,0.8044238,0.00070422614,0.9333333969116211
68,0.19878277,0.11947348,0.80424786,0.0007030079,0.9833333492279053
69,0.19881976,0.11973048,0.8041641,0.0007087209,0.9833333492279053
70,0.19870436,0.119897105,0.80402875,0.00070666225,0.9799999682108561
71,0.19866359,0.12032414,0.8038449,0.0007011539,1.0
72,0.19867548,0.12047253,0.80372,0.0007027546,0.9833333174387614
73,0.1986278,0.12056149,0.8036058,0.00070334197,0.983333492279053
74,0.19867024,0.12073861,0.8034691,0.0007014689,0.98666666984558105
75,0.19863093,0.12082897,0.8034351,0.0007043798,0.9833333174387614
76,0.19858778,0.12098943,0.8032984,0.00070647994,1.0
77,0.1984866,0.12134175,0.80320567,0.0007035026,0.9833333174387614
78,0.1984494,0.12157767,0.8030923,0.0007027195,1.0
79,0.19837184,0.121862374,0.8030034,0.0007055498,0.9499999682108561
80,0.19832931,0.12202621,0.8029208,0.0007051276,0.9833333492279053
81,0.19833164,0.12224447,0.8028415,0.00070563034,0.9899999682108561
82,0.19827476,0.12226239,0.8027549,0.0007047211,0.9833333492279053
83,0.1982196,0.12232078,0.8026352,0.00070224825,0.9899999682108561
84,0.19820589,0.12254777,0.8024459,0.0006988354,0.9833333492279053
85,0.19820309,0.122620784,0.80234855,0.00070145726,1.0
86,0.19811152,0.12280196,0.80223876,0.0007008736,0.9499999682108561
87,0.19809368,0.12290879,0.8021064,0.0006949794,0.9499999364217123
88,0.19804996,0.12301057,0.80198884,0.0006920953,0.9666666984558105
89,0.19800082,0.1230863,0.8019077,0.00069301977,0.9833333492279053
90,0.19800729,0.12324709,0.80174994,0.00068930775,0.9666666984558105
91,0.19794033,0.12332534,0.80166554,0.0006896979,0.9599999682108561
92,0.19788505,0.12347393,0.8016031,0.0006917681,0.963333492279053
93,0.19784833,0.12348071,0.8015061,0.00068991625,1.0
94,0.19781095,0.12353077,0.8014284,0.00069090276,0.9666666984558105
95,0.19780052,0.123643786,0.8013819,0.000690273,0.9666666984558105
96,0.19777201,0.12362674,0.8013341,0.00069152185,0.9499999682108561
97,0.19774872,0.12373932,0.8012524,0.00069205667,0.9666666984558105
98,0.19772953,0.12399281,0.80119425,0.0006921659,0.966666666666666
99,0.19772409,0.12407851,0.8011527,0.0006920051,0.9833333492279053
