epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2073047,0.0056515606,0.84689015,0.0017050974,0.0
1,0.20840262,0.013415904,0.8451493,0.000935594,0.0
2,0.20797776,0.013401954,0.84488803,0.0011423227,0.0
3,0.20797478,0.013038294,0.8443191,0.001260029,0.0
4,0.20861049,0.013347026,0.8464288,0.0010376676,0.0
5,0.20834349,0.0127231,0.8455012,0.0010993212,0.0
6,0.2077824,0.0124475695,0.8422825,0.0011602654,0.0
7,0.20762268,0.011959152,0.84160036,0.0012241757,0.0
8,0.20715381,0.011491685,0.8411806,0.0012508369,0.0
9,0.20679356,0.011013283,0.8410383,0.001293548,0.0
10,0.20614344,0.011427665,0.83991915,0.0013159998,0.0
11,0.20868927,0.015046826,0.8454997,0.0006890106,0.0
12,0.20813528,0.013166476,0.8455582,0.0008739885,0.0
13,0.20822504,0.013516213,0.8459449,0.00089198723,0.0
14,0.20762676,0.017493736,0.8428176,0.001349085,0.0
15,0.20783758,0.019834047,0.84119374,0.0013603801,0.01
16,0.20725998,0.022238579,0.838955,0.0013958617,0.0
17,0.20697841,0.025538504,0.83628553,0.0014148004,0.05000000596046448
18,0.20634912,0.026903467,0.83335775,0.0014472418,0.13333334922790527
19,0.20565292,0.027997527,0.8311067,0.0014824412,0.1833333412806193
20,0.20481431,0.029756892,0.8285351,0.0014940585,0.2166666666666667
21,0.2041294,0.030555021,0.82582194,0.0015218868,0.2333333174387614
22,0.20343821,0.031025093,0.82342523,0.0015476629,0.4333333174387614
23,0.20278399,0.031443764,0.8212786,0.0015464207,0.4333333015441895
24,0.2022585,0.032020386,0.8193445,0.0015489009,0.45
25,0.20174097,0.03250327,0.8176467,0.0015468105,0.56333333253860474
26,0.2013132,0.033148106,0.81607586,0.0015327659,0.56666666666666666
27,0.2008741,0.03382075,0.8146312,0.0015138182,0.6666666666666666
28,0.20057869,0.034387276,0.8133714,0.001509856,0.6299999682108561
29,0.20028868,0.035225857,0.8122818,0.0014992462,0.6666666666666666
30,0.1999453,0.03558795,0.81130385,0.0015024137,0.6833333174387614
31,0.19967104,0.03619344,0.8103611,0.0015021482,0.7333332697550455
32,0.19942574,0.036813468,0.80953115,0.0014980185,0.75
33,0.19917136,0.03725858,0.80871254,0.0014876105,0.6833333969116211
34,0.19892256,0.03767698,0.8080308,0.001480942,0.6500000158945719
35,0.19868393,0.038048197,0.80723333,0.0014662538,0.7333333492279053
36,0.19849834,0.038442016,0.8065421,0.0014673835,0.7833333015441895
37,0.19834165,0.038705867,0.805922,0.0014634392,0.75
38,0.19818981,0.0390968,0.80528927,0.0014511021,0.7166666984558105
39,0.1980883,0.03930196,0.8047423,0.001439951,0.8333333333333334
40,0.19793934,0.039671473,0.8041892,0.0014338329,0.8166666825612386
41,0.19780827,0.039932963,0.803732,0.0014329326,0.8500000635782877
42,0.19761606,0.04018178,0.8033139,0.0014253207,0.8833333651224772
43,0.1974522,0.04041534,0.80285186,0.0014204882,0.6999999682108561
44,0.19732463,0.040875092,0.80231285,0.0014091792,0.7333333492279053
45,0.19717877,0.041204195,0.80199486,0.0014142735,0.8499999841054281
46,0.19703908,0.041619655,0.80158705,0.0014075004,0.8833333651224772
47,0.19692555,0.04195325,0.8012269,0.0014054287,0.8999999364217123
48,0.19675402,0.042355996,0.8008978,0.0013995186,0.8499999841054281
49,0.19666214,0.042751897,0.8005562,0.0013973046,0.8499999841054281
50,0.19653343,0.043034974,0.80025584,0.0013937871,0.8666666348775228
51,0.19644995,0.04334209,0.7999292,0.0013933253,0.9499999682108561
52,0.19637962,0.043669928,0.7996406,0.0013913944,0.8333333333333334
53,0.19631451,0.043999504,0.7993894,0.0013918009,0.8833333651224772
54,0.19623151,0.04434731,0.7990907,0.0013880864,0.8166666825612386
55,0.19618444,0.04458702,0.79885465,0.0013858862,0.8999999364217123
56,0.19608486,0.04493151,0.79858345,0.0013764482,0.8666667143503824
57,0.19599916,0.04527702,0.7983184,0.0013745629,0.9666666984558105
58,0.19593915,0.0455447,0.79809076,0.0013691895,0.9000000158945719
59,0.19586067,0.045817524,0.7978356,0.0013663332,0.8833333651224772
60,0.19582467,0.046094608,0.79761934,0.001367379,0.8999999364217123
61,0.19578762,0.046333395,0.79741305,0.0013677293,0.8499999841054281
62,0.19576195,0.046654325,0.7972161,0.0013699479,0.9499999682108561
63,0.19571173,0.046906453,0.7970422,0.0013721002,0.9000000158945719
64,0.19566026,0.04723151,0.7968595,0.0013711822,0.8833333651224772
65,0.19562747,0.047484588,0.79667693,0.0013723398,0.9166666666666666
66,0.19561371,0.047796417,0.79653025,0.0013715061,0.9666666984558105
67,0.19560425,0.048179932,0.796374,0.0013694149,0.9166666666666666
68,0.19558752,0.048495185,0.7962299,0.0013706313,0.9499999682108561
69,0.19557337,0.048710894,0.79607683,0.0013690208,0.8833333651224772
70,0.19555391,0.048985194,0.7959106,0.0013699731,0.9333333174387614
71,0.195526,0.04923274,0.79577017,0.0013668352,0.9333333174387614
72,0.19551975,0.049509708,0.79561114,0.0013669528,0.8333333333333334
73,0.19550973,0.049703646,0.79546684,0.0013688229,0.9333333174387614
74,0.19548659,0.04994781,0.7953532,0.0013713102,0.9499999682108561
75,0.19549872,0.05022256,0.79520756,0.0013710465,0.9666666984558105
