epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2079688,0.007737791,0.8470867,0.0012910302,0.0
1,0.20741406,0.012034586,0.8507733,0.0012159888,0.0
2,0.20911026,0.018047515,0.8495708,0.000816351,0.0
3,0.20862988,0.021978114,0.8503472,0.0006924277,0.0
4,0.2088061,0.021731136,0.84993106,0.0007355895,0.0
5,0.20829526,0.020345239,0.85033995,0.0007967099,0.0
6,0.20805794,0.022061,0.85116744,0.00077990256,0.0
7,0.20800075,0.022394229,0.8514567,0.00077709305,0.0
8,0.20813872,0.022157041,0.85151005,0.00077936775,0.0
9,0.20839377,0.022888744,0.8516672,0.00077759655,0.0
10,0.20780347,0.025527718,0.85100555,0.0007769205,0.0
11,0.20779486,0.027352579,0.8505273,0.00078859116,0.0
12,0.20814501,0.031338055,0.8499574,0.0007859271,0.0
13,0.20736359,0.036144145,0.84808534,0.0008078404,0.025
14,0.20687866,0.041231774,0.8451454,0.00078231865,0.0000001788139343
15,0.20624897,0.04683486,0.84228164,0.00077628857,0.2125
16,0.20568696,0.0514142,0.839644,0.0007942277,0.249999761581421
17,0.20527573,0.055800255,0.8372348,0.00082516234,0.32500001192092896
18,0.20469984,0.060174808,0.8351899,0.0008506733,0.4624999761581421
19,0.20431818,0.06391976,0.83333784,0.00088072167,0.5375000476837158
20,0.20407471,0.067281,0.8317874,0.0009046339,0.575000011920929
21,0.20392337,0.070210904,0.8300689,0.00091935805,0.562499988079071
22,0.2037712,0.073605396,0.8286111,0.0009293491,0.6624999284744263
23,0.20358953,0.07685707,0.827194,0.0009380011,0.699999988079071
24,0.20330063,0.07942351,0.8260219,0.0009416978,0.6874999642372131
25,0.20318563,0.08196764,0.8246758,0.00093828066,0.7374999523162842
26,0.20323439,0.08506569,0.8232793,0.00092811603,0.824999988079071
27,0.20283774,0.08757499,0.8221505,0.0009115595,0.775
28,0.20283562,0.08950487,0.82131046,0.00092322327,0.800000011920929
29,0.20261088,0.091502026,0.8204606,0.00092610955,0.8375000357627869
30,0.20259672,0.09340903,0.8196083,0.0009134957,0.800000011920929
31,0.20255893,0.094977185,0.8189268,0.0009155078,0.800000011920929
32,0.20250994,0.09671238,0.81812125,0.0009091324,0.875
33,0.2023164,0.09828902,0.817352,0.0009056793,0.887499988079071
34,0.20218647,0.100086756,0.81671494,0.00089469296,0.75
35,0.20223293,0.101349875,0.81618494,0.0008945566,0.8500000238418579
36,0.20208856,0.10261468,0.8155888,0.00088143797,0.8624999523162842
37,0.20198134,0.10402314,0.81502897,0.0008722039,0.7749999761581421
38,0.20185302,0.10506184,0.8145427,0.0008749974,0.9375
39,0.20180763,0.10597988,0.81417036,0.00087910664,0.8999999761581421
40,0.2018242,0.107045576,0.8138206,0.0008829387,0.9249999523162842
41,0.2017017,0.10805245,0.81344455,0.00088075903,0.8374999761581421
42,0.20171608,0.10897169,0.8130477,0.0008806971,0.9124999642372131
43,0.20156276,0.10972785,0.81267244,0.0008773743,0.8250000476837158
44,0.20142958,0.11060889,0.8123698,0.0008753804,0.9125000238418579
45,0.20129825,0.11145815,0.8120708,0.00087656156,0.8999999761581421
46,0.20121887,0.11232235,0.8116744,0.0008763687,0.9124999642372131
47,0.20129013,0.112933815,0.81145906,0.00088477315,0.9249999523162842
