epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20747833,0.0012284821,0.8466177,0.0026282202,0.0
1,0.20761134,0.0015709891,0.8485032,0.0024299633,0.0
2,0.20759583,0.001655163,0.84908724,0.0023793632,0.0
3,0.20737055,0.0017476337,0.8491251,0.0023329477,0.0
4,0.20738645,0.0018991436,0.8494862,0.002224138,0.0
5,0.20747922,0.0020347508,0.8494327,0.0022023604,0.0
6,0.20737517,0.0020103375,0.8492358,0.0021713704,0.0
7,0.20740548,0.0021831682,0.8494237,0.0020876585,0.0
8,0.20741476,0.0022657337,0.8494103,0.0020761322,0.0
9,0.20734338,0.0026031968,0.8493183,0.0020176964,0.0
10,0.20738892,0.0027491692,0.84951335,0.002009755,0.0
11,0.20740326,0.0028229496,0.84951264,0.0019818314,0.0
12,0.20746729,0.003154276,0.8496049,0.001916366,0.0
13,0.20743178,0.0033990424,0.84952164,0.001896581,0.0
14,0.20747021,0.0036417786,0.84952015,0.0018878459,0.0
15,0.20743263,0.0039301263,0.8494354,0.0018792842,0.0
16,0.20736378,0.00447569,0.84927577,0.0018572514,0.012500000186264515
17,0.20728512,0.0049869902,0.8490176,0.001849201,0.0
18,0.20723282,0.0055405623,0.8487561,0.0018398748,0.012500000186264515
19,0.20718123,0.0061350446,0.84843856,0.0018087103,0.01875000074505806
20,0.20704895,0.006974757,0.8479316,0.0017912308,0.03750000149011612
21,0.20689262,0.008564261,0.8470972,0.0017750919,0.125
22,0.20662124,0.011231074,0.8457355,0.0017127307,0.10625000298023224
23,0.20639971,0.014477156,0.8442399,0.0016793209,0.08749999850988388
24,0.20625383,0.01806266,0.8425997,0.0016790469,0.1875
25,0.20619707,0.021589158,0.84111065,0.0016958475,0.15625
26,0.2063013,0.024726646,0.83971924,0.0017005047,0.18125000596046448
27,0.2064683,0.027654327,0.83842754,0.0016987943,0.2562499940395355
28,0.20658739,0.030255513,0.83721644,0.0016867974,0.29374998807907104
29,0.2066051,0.032536037,0.836155,0.0016962687,0.2875000238418579
30,0.2066702,0.034683306,0.8350622,0.0016987642,0.375
31,0.20666935,0.036528427,0.83414656,0.0017058629,0.3687500059604645
32,0.2067627,0.038291268,0.8333642,0.0017121598,0.5687500238418579
33,0.20677198,0.04020209,0.832475,0.0017095666,0.49375003576278687
34,0.20677298,0.042216655,0.8315835,0.0017031054,0.5
35,0.20676258,0.044101544,0.83063245,0.0017057034,0.5812500715255737
36,0.20674948,0.04602104,0.8296178,0.0017133475,0.6375000476837158
37,0.20666404,0.047981296,0.82844275,0.0017124335,0.6875
38,0.20656034,0.049977817,0.82735044,0.0017160525,0.7562500238418579
39,0.20652051,0.05185243,0.82629937,0.0017211783,0.65625
40,0.20644218,0.05365756,0.8253544,0.0017251825,0.793749988079071
41,0.20639805,0.055287942,0.8243877,0.0017257975,0.731249988079071
42,0.20634729,0.056849323,0.8234989,0.0017344832,0.7937500476837158
43,0.20626515,0.05838898,0.82263345,0.0017337222,0.8187499642372131
44,0.20621641,0.059737362,0.82180953,0.0017356751,0.8624999523162842
45,0.20620221,0.06113779,0.8210636,0.001730875,0.84375
46,0.20617837,0.06252612,0.8202698,0.0017243498,0.90625
47,0.20617637,0.06377441,0.81956905,0.0017217329,0.84375
48,0.20611611,0.06504314,0.8188815,0.001722084,0.8624999523162842
49,0.20610324,0.066239506,0.81822705,0.0017171093,0.8875000476837158
50,0.20610328,0.0674431,0.81755346,0.0017123654,0.9562499523162842
51,0.20602612,0.06846366,0.8169074,0.0017063487,0.9125000238418579
52,0.20596564,0.06956282,0.816279,0.0016975476,0.918749988079071
53,0.20592383,0.070440434,0.81568146,0.0016918132,0.90625
54,0.20587099,0.07140214,0.81513786,0.0016905438,0.9437500238418579
55,0.20579106,0.07221708,0.81460804,0.0016832552,0.9624999761581421
56,0.20575204,0.07299641,0.8140695,0.0016775727,0.9249999523162842
57,0.20569591,0.07377321,0.81355053,0.001669608,0.925000011920929
58,0.20561655,0.07446659,0.8130918,0.0016683489,0.9624999761581421
59,0.2055339,0.07517753,0.81258434,0.0016584685,0.9750000238418579
60,0.2054688,0.07589912,0.8121307,0.001655037,0.9312499761581421
61,0.20541042,0.07654174,0.8116849,0.001651207,0.9437500238418579
62,0.20535557,0.07699021,0.81126255,0.001646587,0.9562499523162842
63,0.20528807,0.07749,0.8108659,0.0016446062,0.987500011920929
64,0.20519125,0.07801132,0.81045216,0.001636337,0.9624999761581421
65,0.20508195,0.07851632,0.8100779,0.0016292739,0.9812500476837158
66,0.20500313,0.07897141,0.8097361,0.0016228639,0.9624999761581421
67,0.2049196,0.07939885,0.8093979,0.0016164294,0.9750000238418579
68,0.20485342,0.07977458,0.80906177,0.0016105011,0.9624999761581421
69,0.20477444,0.08012558,0.80870724,0.0016039014,0.9812500476837158
70,0.20470242,0.08046331,0.8083634,0.0015982088,0.9624999761581421
71,0.20461981,0.080747545,0.80801755,0.0015941141,0.9937499761581421
72,0.20455235,0.08105054,0.8077192,0.001590558,0.9437499642372131
73,0.20447166,0.0813713,0.80743116,0.0015877056,0.981249988079071
74,0.20438871,0.081669815,0.8071298,0.001585614,0.9437499642372131
75,0.20428473,0.08201833,0.8068597,0.0015823548,0.9624999761581421
76,0.204213,0.08235774,0.8065936,0.0015795012,0.987500011920929
77,0.20416582,0.08267582,0.8063379,0.0015777737,0.9562499523162842
78,0.20408365,0.08290659,0.8060631,0.0015722358,0.987500011920929
79,0.20401947,0.083126776,0.80578643,0.0015676984,0.956250011920929
80,0.20397447,0.08337068,0.8055256,0.0015657082,0.987500011920929
81,0.20389044,0.08359838,0.805263,0.001562283,0.9750000238418579
82,0.2037983,0.08385802,0.8050146,0.0015578355,0.981249988079071
83,0.20372005,0.084000155,0.8047618,0.0015548508,0.9812500476837158
84,0.20365696,0.08427585,0.8045287,0.0015524885,0.9812500476837158
85,0.20361118,0.084459074,0.804302,0.0015502746,0.981249988079071
86,0.20354784,0.08462535,0.8040655,0.0015465553,0.9624999761581421
87,0.20347153,0.084750764,0.80385953,0.0015453057,0.987500011920929
88,0.20342638,0.08487934,0.80363685,0.0015399532,0.987500011920929
89,0.20337345,0.08499551,0.80340624,0.0015366258,0.9812500476837158
90,0.20331092,0.08511976,0.80319506,0.0015326167,0.9812500476837158
91,0.20324163,0.085248634,0.8029825,0.0015307589,0.9750000238418579
92,0.20319387,0.08542847,0.80277985,0.0015280294,0.9812500476837158
93,0.2031455,0.08552023,0.80260247,0.0015263358,0.9624999761581421
94,0.20309034,0.085662715,0.8024046,0.0015240504,0.9562499523162842
95,0.20303208,0.08575092,0.8022426,0.0015213545,0.987500011920929
96,0.20297508,0.08586975,0.80206233,0.0015195236,0.9750000238418579
97,0.2029278,0.08602459,0.80189484,0.0015182268,0.987500011920929
98,0.20287281,0.08610885,0.8017066,0.0015100404,0.9624999761581421
99,0.20283556,0.08620136,0.801549,0.0015057471,0.9437499642372131
