epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20867224,0.005604046,0.8477376,0.0013292966,0.0
1,0.2089115,0.00833633,0.85372305,0.00094244676,0.0
2,0.20835434,0.0083649075,0.855027,0.0009841797,0.0
3,0.2081535,0.008406789,0.85607904,0.00096908864,0.0
4,0.20789686,0.008252771,0.8569328,0.0010263656,0.0
5,0.20753404,0.008583616,0.85644317,0.0010936687,0.0
6,0.20718491,0.010212826,0.8549423,0.0010817837,0.0
7,0.20726456,0.013291229,0.85316986,0.0011543253,0.016666666915019352
8,0.2073282,0.016588418,0.851517,0.0011650888,0.11666667461395264
9,0.20701842,0.020115066,0.8499662,0.0012017571,0.2166666587193807
10,0.20732099,0.024575738,0.84816307,0.0012719153,0.3333333333333333
11,0.20741251,0.029168215,0.8467097,0.0013098336,0.40000001589457196
12,0.20728214,0.032967612,0.84504014,0.0013056183,0.3166666626930237
13,0.20729847,0.037039623,0.84368426,0.0013277506,0.3166666825612386
14,0.20736593,0.039873797,0.84264684,0.0013656918,0.4833333492279053
15,0.20745769,0.042509213,0.8418966,0.0013900987,0.549999992052714
16,0.20755161,0.044625506,0.8414972,0.0014116182,0.5
17,0.2074173,0.046502575,0.8405431,0.001437711,0.5500000317891439
18,0.20737988,0.048462715,0.8396592,0.0014502559,0.6500000158945719
19,0.20734298,0.049929965,0.83905154,0.0014611129,0.6166666746139526
20,0.20736079,0.05135335,0.83846086,0.0014717047,0.7333333492279053
21,0.20732601,0.052643638,0.83799815,0.0014765466,0.6999999682108561
22,0.20740561,0.05409837,0.83737975,0.0014774529,0.6833333174387614
23,0.2073683,0.0556399,0.83679104,0.0014906093,0.6833333969116211
24,0.2074201,0.057238232,0.8362221,0.0014980702,0.6500000158945719
25,0.2073949,0.058304396,0.8357466,0.001501517,0.6833333174387614
26,0.20737615,0.059711948,0.8349731,0.001498932,0.6500000158945719
27,0.20727755,0.06079118,0.83434516,0.0015065297,0.8000000317891439
28,0.20722316,0.06211696,0.8336924,0.0015116524,0.7666666507720947
29,0.20708692,0.063275486,0.8330357,0.0015033021,0.7666666507720947
30,0.20698123,0.06421452,0.8324824,0.0014992215,0.8166666030883789
31,0.20696005,0.065208666,0.83192134,0.0014841758,0.7666666507720947
32,0.20683984,0.0659412,0.8314912,0.0014979831,0.75
33,0.20684017,0.06658336,0.83123714,0.0015098643,0.9000000158945719
34,0.20686157,0.06732046,0.8310852,0.0015191982,0.75
35,0.20687151,0.06776054,0.8308766,0.0015183855,0.7833333015441895
36,0.2068119,0.06813007,0.83063716,0.0015185815,0.8000000317891439
37,0.20678248,0.06852749,0.8303931,0.0015178868,0.7666667302449545
38,0.20680979,0.0691252,0.83011335,0.001523604,0.7666666507720947
39,0.20671608,0.0697198,0.82964426,0.0015240206,0.75
40,0.20658731,0.070124485,0.8292577,0.0015207647,0.8833333651224772
41,0.20649134,0.070586644,0.8288479,0.0015239125,0.8166666030883789
42,0.20640732,0.07098414,0.8286999,0.0015232554,0.8333333333333334
43,0.20637463,0.07140772,0.82843524,0.0015238583,0.8166666825612386
44,0.20630485,0.072041884,0.82812506,0.0015263316,0.8666666348775228
