epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20740479,0.0031847558,0.84688336,0.0017009466,0.0
1,0.20735197,0.0044851033,0.8507485,0.0013723805,0.0
2,0.20789142,0.0068134894,0.8518348,0.0010793518,0.0
3,0.20799747,0.0076303305,0.85284805,0.0011009182,0.0
4,0.20820612,0.008493001,0.8540957,0.0010722338,0.0
5,0.20821276,0.008481604,0.8545041,0.0010864851,0.0
6,0.20830068,0.008952171,0.85431623,0.0010571311,0.0
7,0.20836127,0.009589094,0.85456806,0.0010552689,0.0
8,0.2085127,0.010288295,0.8555336,0.0010600068,0.0
9,0.20874025,0.011113047,0.8562224,0.0010513902,0.0
10,0.20889078,0.011656145,0.8563636,0.0010459375,0.0
11,0.20907861,0.012426739,0.8565104,0.0010410304,0.016666666915019352
12,0.20887141,0.013932631,0.8559323,0.0010647135,0.050000001986821495
13,0.20880713,0.015474623,0.8553004,0.0010620563,0.14999999602635702
14,0.20835888,0.016902631,0.8538982,0.0010935409,0.2166666785875956
15,0.20806484,0.018332487,0.85286623,0.0011162487,0.16666666666666666
16,0.20806865,0.020193297,0.85184526,0.0011300951,0.3166666825612386
17,0.20789908,0.022036308,0.8507078,0.0011281426,0.3333333333333333
18,0.2078003,0.0239328,0.85000914,0.0011300163,0.3333333333333333
19,0.20787342,0.02547303,0.8492904,0.00112796,0.40000001589457196
20,0.20792282,0.027417611,0.84868675,0.0011463831,0.38333332538604736
21,0.20778553,0.029085865,0.8479497,0.0011597028,0.34999998410542804
22,0.20771976,0.030542389,0.84712976,0.0011679372,0.38333336512247723
23,0.20769458,0.032156926,0.84626436,0.0011683119,0.5666666825612386
24,0.20777354,0.033100974,0.8457706,0.0011871648,0.5333333412806193
25,0.20794912,0.03444763,0.84531873,0.0011922711,0.549999992052714
26,0.20801345,0.035882365,0.84482193,0.0012021111,0.5666666825612386
27,0.20804757,0.037073743,0.8442976,0.001214616,0.6333333651224772
28,0.20817609,0.037931737,0.8440745,0.001226639,0.45000000794728595
29,0.20822302,0.03886115,0.84369636,0.0012312997,0.549999992052714
30,0.20831141,0.039658874,0.84343505,0.001239219,0.6166666746139526
31,0.20830196,0.04054652,0.8429346,0.0012390629,0.6500000158945719
32,0.20824319,0.041252345,0.8426342,0.0012463089,0.75
33,0.20821165,0.042145025,0.84228253,0.0012500045,0.6500000158945719
34,0.20820326,0.04288045,0.8420624,0.0012608813,0.6333333253860474
35,0.20820297,0.04364163,0.84185654,0.0012614568,0.6999999682108561
36,0.20816444,0.044456244,0.8414218,0.0012602038,0.5666666428248087
37,0.20815796,0.045112323,0.84109384,0.0012699823,0.7166666189829508
38,0.20819603,0.04593809,0.8406897,0.0012843207,0.7833333015441895
39,0.20813525,0.046597697,0.8403289,0.0012910349,0.7833333015441895
40,0.20804778,0.047148097,0.8399541,0.0013058931,0.8166666825612386
41,0.20810924,0.047763675,0.8397532,0.001313571,0.7666666507720947
42,0.20806351,0.048085745,0.8395121,0.0013236351,0.7666667302449545
43,0.2079674,0.048593912,0.83925503,0.0013322681,0.8000000317891439
44,0.20784144,0.049006507,0.8388491,0.0013457029,0.8666666348775228
45,0.20778126,0.049450383,0.8386493,0.0013525762,0.7666667302449545
46,0.20770578,0.049694993,0.8384809,0.0013641504,0.8666666348775228
47,0.20766816,0.05018232,0.83825475,0.0013703774,0.9000000158945719
48,0.20761675,0.05052872,0.83795696,0.0013741882,0.9333333174387614
49,0.20756236,0.0509237,0.8376951,0.0013771327,0.8499999841054281
50,0.20753704,0.051129796,0.83754927,0.0013859067,0.8999999364217123
51,0.20741887,0.05148138,0.8373933,0.0013931246,0.8333333333333334
52,0.2074343,0.05173831,0.8373764,0.0013920733,0.9166666666666666
53,0.20743276,0.052110292,0.8372262,0.0013952461,0.8499999841054281
54,0.20738964,0.052358367,0.8371306,0.0013975734,0.8833333651224772
55,0.20739932,0.052545458,0.8370796,0.0014038855,0.9333333174387614
56,0.2074224,0.05285921,0.8369977,0.0014050431,0.9166666666666666
57,0.20741144,0.053096436,0.83685666,0.0014139907,0.8000000317891439
58,0.20732717,0.053234268,0.83663803,0.0014178286,0.7833333015441895
59,0.2073124,0.05350704,0.8365333,0.001418964,0.8500000635782877
60,0.20727114,0.053713873,0.8365553,0.0014198199,0.8500000635782877
61,0.20724921,0.05379603,0.8364599,0.0014219374,0.8333333333333334
62,0.20722046,0.054046363,0.83624554,0.0014212811,0.9333333174387614
63,0.20716484,0.05411945,0.8361141,0.0014290524,0.9833333492279053
64,0.20707546,0.054202147,0.83595943,0.0014370458,0.8833333651224772
65,0.20706265,0.05436969,0.8357877,0.0014369265,0.9166666666666666
66,0.20700034,0.0544516,0.83564305,0.0014427969,0.8333333333333334
67,0.20696527,0.054694366,0.8354964,0.00144624,0.8833333651224772
68,0.20694004,0.0547897,0.8353336,0.0014513688,0.9499999682108561
69,0.20692825,0.054930374,0.83518666,0.0014513762,0.9499999682108561
70,0.20689997,0.055005435,0.8350849,0.0014557894,0.9166666666666666
71,0.20690215,0.055127125,0.83502144,0.0014556642,0.9666666984558105
72,0.20688732,0.05525939,0.83504635,0.001458177,0.9166666666666666
73,0.20685893,0.055337623,0.8350647,0.0014545126,0.9333333174387614
74,0.20676434,0.055430684,0.8349714,0.0014622827,0.9499999682108561
75,0.20671159,0.055701863,0.8349047,0.0014631151,0.9499999682108561
76,0.20665552,0.055850852,0.834825,0.0014664894,0.9666666984558105
77,0.20660304,0.05592683,0.83473897,0.0014670171,0.9666666984558105
78,0.20657451,0.056008574,0.834729,0.0014661895,0.8833333651224772
79,0.20654508,0.0561683,0.8346307,0.0014675953,0.9333333969116211
80,0.2065154,0.05628865,0.8344975,0.001469063,0.9499999682108561
81,0.20644063,0.056344066,0.8344398,0.0014719226,0.9666666984558105
82,0.20639311,0.056507267,0.83429605,0.0014733757,0.9166666666666666
83,0.20639819,0.05658509,0.8342488,0.0014736848,0.9666666984558105
84,0.20635003,0.056744732,0.83419126,0.0014749357,0.9333333174387614
85,0.20627894,0.056828413,0.83417916,0.0014775824,0.9833333492279053
86,0.20624754,0.05686556,0.83420044,0.0014773477,0.8500000635782877
87,0.20619231,0.056972075,0.8341317,0.0014803346,0.8666666348775228
88,0.20614815,0.05712431,0.83400947,0.0014774846,0.9499999682108561
89,0.20612644,0.057180513,0.83398837,0.0014784625,0.8500000635782877
90,0.20610626,0.057231307,0.8339391,0.0014827001,0.9166666666666666
91,0.2060641,0.057346758,0.83384675,0.0014848945,0.8999999364217123
92,0.20600203,0.05747049,0.83377886,0.0014857458,0.9833333492279053
93,0.20597835,0.05764024,0.8336682,0.0014899912,0.9833333492279053
94,0.20598137,0.05771562,0.83365065,0.0014904303,0.9499999682108561
95,0.20595092,0.057801258,0.8336351,0.0014906436,0.9499999682108561
96,0.20596075,0.05784568,0.83356184,0.0014921627,0.9000000158945719
97,0.20592153,0.057941847,0.83346766,0.0014937477,0.9499999682108561
98,0.20590045,0.05799209,0.83342004,0.0014962541,0.8500000635782877
99,0.20584264,0.058004346,0.8334196,0.0014957623,0.9000000158945719
