epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20729694,0.0015085256,0.84527534,0.0022547834,0.0
1,0.20715939,0.002579537,0.8503874,0.0018645185,0.0
2,0.20744997,0.0031541348,0.8522883,0.001669766,0.0
3,0.2075856,0.003373606,0.852987,0.0017062171,0.0
4,0.20763904,0.004066095,0.8531509,0.0015062304,0.0
5,0.20759256,0.0043011387,0.85329515,0.0014730784,0.0
6,0.20740673,0.004776077,0.85351044,0.0015143916,0.0
7,0.20740122,0.0052055693,0.8534219,0.0014717025,0.0
8,0.20750572,0.0055359993,0.8533643,0.0014767344,0.0
9,0.20772973,0.00597881,0.85344034,0.0014500382,0.0
10,0.20782323,0.007123227,0.8534754,0.0014059878,0.0
11,0.20791306,0.008565902,0.85351986,0.0013134833,0.0
12,0.20784603,0.010004035,0.8534603,0.0012580403,0.0
13,0.20776808,0.01109895,0.85333353,0.0012251496,0.0
14,0.20768951,0.0123802535,0.85322374,0.0012387492,0.0
15,0.20762463,0.013543961,0.8532812,0.0012099415,0.0062500000931322575
16,0.20743798,0.014819988,0.853142,0.0011779801,0.012500000186264515
17,0.207406,0.015781011,0.8532836,0.0011958133,0.012500000186264515
18,0.20721714,0.017430907,0.85316926,0.0011581987,0.012500000186264515
19,0.20702691,0.019086754,0.85283756,0.0011563833,0.08125000447034836
20,0.20689154,0.02151673,0.85210174,0.001090474,0.09375
21,0.20671627,0.023870436,0.85140854,0.0010874927,0.08124999701976776
22,0.20644528,0.026831774,0.8504171,0.0010638252,0.15000000596046448
23,0.20614591,0.0303097,0.8491425,0.0010437923,0.26250001788139343
24,0.2058058,0.033379756,0.84781694,0.0010406942,0.34375
25,0.20541777,0.036593787,0.8463748,0.0010390208,0.5500000715255737
26,0.20508441,0.039063316,0.844923,0.0010648776,0.49375003576278687
27,0.20481874,0.041806635,0.84358627,0.0010836778,0.4937500059604645
28,0.20454496,0.044551,0.8422997,0.0011048564,0.46875
29,0.20423035,0.046856653,0.841059,0.001118621,0.65625
30,0.2040574,0.04922346,0.83989984,0.0011437922,0.6375000476837158
31,0.20396753,0.051166333,0.83867425,0.0011658963,0.581250011920929
32,0.20382507,0.053080272,0.8376357,0.0011912644,0.7687499523162842
33,0.20370525,0.054485325,0.83662796,0.0012188674,0.793749988079071
34,0.20353758,0.0558713,0.8355573,0.0012443153,0.762499988079071
35,0.20342368,0.057380985,0.8345571,0.0012658908,0.8125
36,0.20324115,0.05852434,0.83352494,0.0012870409,0.831250011920929
37,0.20301694,0.0598769,0.83248776,0.001307259,0.831250011920929
38,0.20294124,0.06114833,0.8315019,0.0013292795,0.8187500238418579
39,0.20275162,0.06240768,0.8305586,0.0013441896,0.8500000238418579
40,0.20263448,0.063636124,0.82956076,0.0013587928,0.8999999761581421
41,0.2024588,0.06471633,0.8286869,0.0013705082,0.8125
42,0.20227396,0.06573617,0.8277464,0.0013717444,0.918749988079071
43,0.20219183,0.06668714,0.8269231,0.0013865585,0.875
44,0.20204103,0.06758963,0.8259917,0.0013974997,0.8624999523162842
45,0.201952,0.06860754,0.82518274,0.001405065,0.925000011920929
46,0.2019056,0.069413535,0.82441074,0.0014153953,0.925000011920929
47,0.20184319,0.07013438,0.82367486,0.0014222772,0.8812500238418579
48,0.20175423,0.07094413,0.8229897,0.0014285449,0.90625
49,0.20167159,0.07171205,0.8223087,0.0014348831,0.949999988079071
50,0.20161629,0.07249263,0.82168365,0.0014380448,0.9624999761581421
51,0.20152318,0.07299575,0.8210347,0.0014448324,0.9437500238418579
52,0.2014113,0.073547356,0.82048845,0.0014501192,0.949999988079071
53,0.20133075,0.07409605,0.81992126,0.0014483539,0.949999988079071
54,0.20125335,0.07459996,0.8193515,0.0014491179,0.918749988079071
55,0.2011221,0.07512016,0.81886846,0.001449328,0.949999988079071
56,0.2010251,0.07560799,0.818358,0.0014493456,0.96875
57,0.20093447,0.07608164,0.81790704,0.0014528986,0.96875
58,0.20084693,0.07650339,0.8174587,0.0014542335,0.96875
59,0.20074865,0.07700366,0.8169797,0.0014544424,0.9750000238418579
60,0.20066601,0.077357516,0.8165234,0.0014512519,0.956250011920929
61,0.2005723,0.07774866,0.81609017,0.0014487946,0.9375
62,0.20048498,0.078063585,0.8156622,0.0014484053,0.9750000238418579
63,0.20039894,0.07845238,0.81526643,0.0014488011,0.9750000238418579
64,0.20030586,0.078744575,0.8149066,0.0014475998,0.918749988079071
65,0.2002618,0.07888744,0.81469274,0.0014488363,0.8375000357627869
66,0.20027213,0.07898032,0.81455,0.0014515865,0.8125
67,0.20024028,0.07902846,0.81444484,0.0014576471,0.762499988079071
68,0.20021117,0.07924128,0.81431764,0.0014603428,0.8687499761581421
