epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20837247,0.0060808826,0.84736365,0.0015527755,0.0
1,0.20806243,0.004740691,0.8471518,0.0017471315,0.0
2,0.20793717,0.004247891,0.8467448,0.0018819057,0.0
3,0.20762514,0.0040241475,0.8461712,0.001960818,0.0
4,0.207642,0.0038784796,0.8463617,0.0019870263,0.0
5,0.20763806,0.0038085391,0.84617776,0.00197408,0.0
6,0.20761576,0.0038388914,0.8461197,0.0019869644,0.0
7,0.20755897,0.003831704,0.84599024,0.0019847837,0.0
8,0.20760421,0.0038697287,0.84610564,0.0019718541,0.0
9,0.2075424,0.0039798915,0.84596395,0.0019579486,0.0
10,0.20755966,0.003951188,0.84597296,0.0019601656,0.0
11,0.2075745,0.003951284,0.8459198,0.0019483852,0.0
12,0.20759983,0.003983066,0.84598905,0.001935999,0.0
13,0.20760848,0.0040975944,0.8460341,0.0019221591,0.0
14,0.20762482,0.0041382923,0.84608984,0.0019067023,0.0
15,0.2076578,0.004190219,0.84610003,0.0018959207,0.0
16,0.20765977,0.0042258594,0.84616524,0.0018905923,0.0
17,0.20765202,0.00428456,0.8461773,0.0018871363,0.0
18,0.20766181,0.0043196687,0.8462033,0.0018890789,0.0
19,0.20765372,0.0043608723,0.8461511,0.0018773117,0.0
20,0.20766832,0.0044148094,0.8461488,0.0018715452,0.0
21,0.20767373,0.0044811554,0.84613156,0.0018616525,0.0
22,0.20768447,0.004650472,0.8460434,0.0018337806,0.0
23,0.20767465,0.004752416,0.84597397,0.0018306448,0.0
24,0.20768045,0.0048877313,0.8459187,0.0018146699,0.0
25,0.20768845,0.004985247,0.84589,0.0018096272,0.0
26,0.20771825,0.0050394614,0.84590554,0.0017933574,0.0
27,0.20771205,0.00515823,0.845879,0.001784033,0.0
28,0.2077015,0.0053439867,0.84578747,0.0017730063,0.005263157973164006
29,0.20769398,0.0055450792,0.84570074,0.0017569349,0.0
30,0.20769133,0.0058555724,0.8456325,0.0017271262,0.0
31,0.20766869,0.00624582,0.84558797,0.0016943148,0.0
32,0.2076296,0.0066851354,0.84537333,0.0016585453,0.02631578947368421
33,0.20757252,0.0075790053,0.8448768,0.0016238414,0.03157894862325568
34,0.20748204,0.008915675,0.8443083,0.0016109213,0.11578947619387978
35,0.20734662,0.010779884,0.8431844,0.0015846478,0.18421053886413574
36,0.20720237,0.0132422745,0.84166574,0.0015621101,0.1947368446149324
37,0.20701903,0.016001616,0.83994246,0.0015404602,0.24736841101395457
38,0.20681733,0.018800389,0.83813834,0.0015022621,0.27894737845972967
39,0.2066241,0.021513062,0.8362126,0.0014377488,0.400000020077354
40,0.20645899,0.024049735,0.83444136,0.0013935835,0.3105263459055047
41,0.20626423,0.026393093,0.8328628,0.0013692923,0.34210526315789475
42,0.20603107,0.028286058,0.831484,0.0013542501,0.38947371432655736
43,0.20584221,0.03003497,0.8301371,0.0013342284,0.3894736641331723
44,0.20564258,0.03181434,0.8289165,0.0013193117,0.3210526516563014
45,0.20545517,0.033723213,0.8277059,0.0012991355,0.3736842055069773
46,0.20529339,0.035419792,0.8265255,0.0012808149,0.4421052932739258
47,0.20505048,0.037094884,0.82531625,0.0012639667,0.5263157894736842
48,0.2048616,0.038819164,0.82410437,0.0012491243,0.531578967445775
49,0.20460904,0.04054528,0.82281834,0.0012317885,0.5578947569194593
50,0.2043943,0.042363815,0.8216503,0.0012118447,0.5789473684210527
51,0.20419258,0.044177648,0.820555,0.0011969543,0.6631579148141962
52,0.20395526,0.045767438,0.8195135,0.0011864215,0.5631579348915502
53,0.20369603,0.04730242,0.8185156,0.0011738742,0.7473684612073397
54,0.20345213,0.048782703,0.8175716,0.0011628943,0.7999999397679379
55,0.20327069,0.05027214,0.8167069,0.0011579731,0.8842104861610814
56,0.20309408,0.0517411,0.81576854,0.0011437471,0.8578946966873972
57,0.20292869,0.053074636,0.81494516,0.001136474,0.8263157794350072
58,0.20272943,0.054439772,0.8141491,0.0011298045,0.8631579750462582
59,0.20259665,0.055734877,0.8133778,0.0011204036,0.7999999397679379
60,0.20242004,0.056955587,0.8126041,0.0011111709,0.9105262756347656
61,0.20225343,0.05829252,0.811909,0.0011026358,0.900000020077354
62,0.20209463,0.05952058,0.81122595,0.0010947598,0.8894736641331723
63,0.201938,0.06063818,0.81056285,0.0010876628,0.8052631679334139
