epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20761171,0.0013158903,0.84644985,0.002621609,0.0
1,0.2075538,0.001764794,0.8483393,0.002273461,0.0
2,0.207419,0.0023014983,0.84860414,0.0020490952,0.0
3,0.20732868,0.0026751317,0.84874254,0.002019229,0.0
4,0.20738679,0.003099354,0.8491197,0.0018700032,0.0
5,0.20744328,0.0033398157,0.8492234,0.0018322616,0.0
6,0.20760545,0.0037607339,0.849479,0.0017340017,0.0
7,0.20755105,0.004145828,0.8494191,0.0017019464,0.0
8,0.20765801,0.004581528,0.8494353,0.0016559506,0.0
9,0.20758586,0.004901793,0.8493108,0.0016408333,0.0
10,0.2075538,0.0053778267,0.8493139,0.0016185902,0.0
11,0.2075559,0.005996087,0.84936625,0.0015928379,0.0062500000931322575
12,0.20775034,0.006774768,0.8495028,0.0015653436,0.0
13,0.20765609,0.007321371,0.84942704,0.0015666751,0.0062500000931322575
14,0.20754604,0.0078082313,0.84939116,0.0015613245,0.0
15,0.20744818,0.008564677,0.84933615,0.0015540583,0.012500000186264515
16,0.20731135,0.010574046,0.8485672,0.0015161205,0.0625
17,0.20694514,0.013732432,0.84655213,0.0014176094,0.125
18,0.20648049,0.017049422,0.8439932,0.0013357386,0.13125000894069672
19,0.20609203,0.020290105,0.841608,0.0013050524,0.2875000238418579
20,0.2057538,0.023330953,0.8394821,0.0013089459,0.28125
21,0.20545083,0.02609772,0.8373974,0.0013272027,0.3812499940395355
22,0.20529829,0.028753698,0.83555126,0.0013492306,0.48124998807907104
23,0.20516056,0.031407043,0.8339653,0.0013795532,0.5874999761581421
24,0.20496152,0.033945862,0.8323455,0.0014049379,0.53125
25,0.20471545,0.036314916,0.83076936,0.0014203336,0.5625
26,0.20451404,0.038542144,0.82931024,0.0014391225,0.581250011920929
27,0.20437041,0.04052164,0.82784754,0.0014553458,0.7875000238418579
28,0.20419307,0.04241741,0.82650715,0.0014731517,0.7250000238418579
29,0.20400497,0.044225477,0.82527107,0.0014850689,0.8374999761581421
30,0.20384726,0.045987606,0.8241505,0.0015014475,0.7062499523162842
31,0.20362343,0.04763853,0.823029,0.0015131844,0.787499988079071
32,0.203402,0.04928865,0.8219823,0.0015199544,0.80625
33,0.20317405,0.050583363,0.8209207,0.0015233125,0.8687499761581421
34,0.20297392,0.051976748,0.81997824,0.0015230613,0.8187499284744263
35,0.20277277,0.053127695,0.8190724,0.0015255291,0.8624999761581421
36,0.20258868,0.05423364,0.81817347,0.0015267543,0.8249999523162842
37,0.20238426,0.055314902,0.81731725,0.0015228725,0.875
38,0.20221905,0.056342993,0.81652874,0.0015243018,0.8375
39,0.20201184,0.057255995,0.81573987,0.0015245987,0.88749988079071
40,0.20180689,0.058009047,0.8150031,0.0015239591,0.85625
41,0.2016712,0.05876515,0.8142715,0.0015214594,0.9312499761581421
42,0.20147398,0.059575487,0.8136348,0.0015190607,0.93875
43,0.20135252,0.060195547,0.8130191,0.0015189928,0.9249999523162842
44,0.2011766,0.06080501,0.81237704,0.0015166673,0.949999988079071
45,0.20100169,0.061353125,0.8118569,0.0015129544,0.949999988079071
46,0.20089047,0.062024254,0.8112671,0.0015042525,0.9375
47,0.20077576,0.06261793,0.81074077,0.001502689,0.9562499523162842
48,0.20067582,0.0630987,0.81023,0.0014993111,0.9750000238418579
49,0.20051923,0.063557446,0.80975676,0.0014927579,0.9562499523162842
50,0.20035872,0.06402604,0.80929536,0.0014899786,0.96875
51,0.20027792,0.064468496,0.8088303,0.001484938,0.9750000238418579
52,0.20015225,0.064857125,0.80837613,0.0014761076,0.96875
53,0.20002472,0.06520269,0.8079381,0.0014700112,0.9437500238418579
54,0.1998958,0.06558332,0.8075153,0.0014620735,0.96875
55,0.19977394,0.06601431,0.80712146,0.0014591161,0.9562499523162842
56,0.19968852,0.06649043,0.8067731,0.0014565958,0.96875
57,0.19956571,0.066865176,0.8063853,0.0014537567,0.96875
58,0.19946131,0.067287065,0.80600613,0.0014480766,0.9937499761581421
59,0.19937672,0.06764162,0.80565596,0.0014405213,0.9750000238418579
60,0.19928859,0.06803447,0.8053294,0.0014400816,0.9624999761581421
61,0.1991928,0.06830783,0.8050084,0.0014369373,0.9812500476837158
62,0.19911236,0.0685704,0.8046889,0.0014364073,0.987500011920929
63,0.199047,0.06883171,0.8044117,0.0014334248,0.987500011920929
64,0.19894911,0.06916514,0.8041482,0.0014328388,0.956250011920929
65,0.19886105,0.06945564,0.80385566,0.0014271885,0.9937499761581421
66,0.19878893,0.06978896,0.8035793,0.0014244992,0.96875
67,0.19874252,0.070123434,0.8032999,0.0014219888,0.9812500476837158
68,0.19868903,0.070439994,0.8030365,0.0014176462,0.9812500476837158
69,0.1986385,0.07068241,0.80279046,0.0014153087,0.987500011920929
70,0.19855991,0.07098659,0.8025778,0.0014136358,0.9624999761581421
71,0.19848526,0.07124032,0.8023433,0.0014114234,0.9812500476837158
72,0.19840457,0.07145424,0.80213135,0.0014100055,0.9937499761581421
73,0.19833517,0.07170661,0.80190927,0.0014075098,0.9750000238418579
74,0.19826427,0.07195992,0.80164623,0.0014022716,0.981249988079071
75,0.19822176,0.072107635,0.801445,0.0014008366,0.987500011920929
76,0.19819827,0.072313756,0.80122703,0.0013972059,0.9812500476837158
77,0.19815934,0.07245654,0.8010183,0.001396583,0.9750000238418579
78,0.19809648,0.07264951,0.80082065,0.0013940707,0.987500011920929
79,0.19804287,0.07286304,0.8006237,0.0013930062,0.9624999761581421
80,0.19798881,0.073037244,0.8004312,0.0013916771,0.987500011920929
81,0.19795682,0.07320402,0.80023617,0.001390507,0.9812500476837158
82,0.19792135,0.07335899,0.80007297,0.0013909657,0.9937499761581421
83,0.19786179,0.07353746,0.79991466,0.0013882966,0.96875
84,0.19782135,0.07370788,0.7997363,0.0013831839,0.9624999761581421
85,0.19776912,0.07396162,0.79955965,0.0013787322,0.9937499761581421
86,0.19773895,0.07408985,0.79941255,0.0013780672,0.9812500476837158
87,0.19770592,0.07422811,0.7992449,0.0013769995,0.9812500476837158
88,0.19766687,0.07436106,0.7991204,0.001376696,0.96875
89,0.19761187,0.074515745,0.79896325,0.0013733696,0.9812500476837158
90,0.1975698,0.07465825,0.7988097,0.0013705227,0.9750000238418579
91,0.19753665,0.0748394,0.7986452,0.001370207,0.9812500476837158
92,0.19748445,0.07499297,0.7985048,0.0013694795,0.987500011920929
93,0.19741793,0.07515157,0.7983574,0.0013676807,0.987500011920929
94,0.19738536,0.07529223,0.79818726,0.0013638908,0.9812500476837158
95,0.19733363,0.07543597,0.7980358,0.0013607807,1.0
96,0.19729054,0.07553622,0.79789144,0.0013585683,0.9750000238418579
97,0.19725671,0.07564661,0.79774576,0.0013571089,0.9812500476837158
98,0.19722222,0.07571814,0.79760426,0.0013563567,0.9812500476837158
99,0.19717386,0.07584124,0.7974952,0.0013561649,0.9750000238418579
