epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.207989,0.0044544055,0.8474853,0.001903939,0.0
1,0.20773378,0.0035266078,0.84700125,0.001951137,0.0
2,0.20767897,0.0034583884,0.84677863,0.0020621,0.0
3,0.2074775,0.003816443,0.8462024,0.002035786,0.0
4,0.20743236,0.0040430487,0.84631205,0.0019929132,0.0
5,0.20744514,0.0039593913,0.84622574,0.0019519533,0.0
6,0.20747973,0.0038249865,0.84619063,0.0019408623,0.0
7,0.20744771,0.0038286203,0.8460033,0.0019018846,0.0
8,0.20748724,0.0038871912,0.84613746,0.0018779048,0.0
9,0.20744918,0.0041083246,0.84593195,0.001820635,0.0
10,0.20744452,0.004191633,0.846034,0.0018056016,0.0
11,0.20739758,0.004222843,0.8460231,0.001805303,0.0
12,0.20743054,0.0044259164,0.84608835,0.0017663548,0.0
13,0.20744894,0.0045055207,0.846209,0.0017696255,0.0
14,0.2074597,0.004604416,0.8462007,0.001740514,0.0
15,0.20744723,0.0047367723,0.84614617,0.0017305854,0.0
16,0.2074646,0.004888105,0.8461721,0.0017130183,0.0
17,0.20748897,0.005128216,0.8461779,0.0016680931,0.0062500000931322575
18,0.20749876,0.005321177,0.84613234,0.0016619148,0.0
19,0.20751624,0.0056263804,0.84601957,0.0016405145,0.0062500000931322575
20,0.20743838,0.0061317626,0.8457381,0.0016380217,0.012500000186264515
21,0.20732033,0.006903927,0.8452237,0.0016164047,0.0625
22,0.20706826,0.007980392,0.8443122,0.0015981672,0.13124999403953552
23,0.20681244,0.009457148,0.84290904,0.0015812758,0.10000000149011612
24,0.20636721,0.0108917365,0.84092516,0.001507678,0.23124998807907104
25,0.20571354,0.012409966,0.8385482,0.001420749,0.25
26,0.2051446,0.01391054,0.8361872,0.0013533401,0.38750001788139343
27,0.20462288,0.015644453,0.833913,0.0013057273,0.33125001192092896
28,0.20409197,0.017502645,0.8317141,0.0012706508,0.4625000059604645
29,0.20358108,0.019436747,0.8295818,0.0012443467,0.44999998807907104
30,0.20311335,0.021331124,0.8274885,0.0012126104,0.512499988079071
31,0.20267043,0.023235902,0.8255326,0.0011946438,0.6812500357627869
32,0.20224284,0.025159078,0.82377034,0.001175561,0.6187499761581421
33,0.20187186,0.026915124,0.82217294,0.0011606677,0.6812499761581421
34,0.20152086,0.028776592,0.8207519,0.001154037,0.768750011920929
35,0.20116131,0.030454533,0.819396,0.0011477132,0.8187500238418579
36,0.20080654,0.03202174,0.8180871,0.0011398908,0.8500000238418579
37,0.2004197,0.033640362,0.8169387,0.0011353422,0.875
38,0.20010263,0.035125226,0.8158323,0.0011266872,0.8812499642372131
39,0.19983429,0.03654177,0.8147359,0.0011196447,0.9562499523162842
40,0.19954455,0.037890278,0.8137615,0.0011140966,0.9624999761581421
41,0.19923921,0.039276466,0.8127915,0.001107938,0.9312499761581421
42,0.1989225,0.040576063,0.8118615,0.0010980793,0.949999988079071
43,0.1986451,0.041774377,0.8109415,0.0010924727,0.9249999523162842
44,0.19836365,0.042961262,0.8101039,0.0010832984,0.9624999761581421
45,0.19814296,0.044010706,0.8093148,0.0010763993,0.9562499523162842
46,0.19786747,0.04517192,0.80861783,0.0010711862,0.9812500476837158
47,0.19759803,0.046236105,0.80795866,0.0010641377,0.949999988079071
