epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20711032,0.0013809176,0.8446463,0.002476826,0.0
1,0.20766829,0.0026286077,0.85029453,0.0017547862,0.0
2,0.2078824,0.003495624,0.8515002,0.0015837651,0.0
3,0.20814788,0.004649528,0.8520253,0.0013362587,0.0
4,0.20812756,0.006062359,0.8527222,0.0011965139,0.0
5,0.20822656,0.006782217,0.85357517,0.0011120051,0.0
6,0.20840627,0.0077134483,0.8540885,0.0010122274,0.0
7,0.20836279,0.008501458,0.85409164,0.0010197036,0.0
8,0.2081862,0.009836613,0.85428613,0.00095716235,0.0
9,0.20830527,0.01087548,0.85425574,0.00095274043,0.0
10,0.20832261,0.012531097,0.8543678,0.00094992743,0.0
11,0.20840517,0.015221838,0.8539131,0.0008925351,0.012500000186264515
12,0.20841187,0.018854268,0.85342956,0.00089003984,0.01875000074505806
13,0.20842996,0.022798657,0.85231066,0.0008386844,0.0625
14,0.2079236,0.027823515,0.8502806,0.0007461132,0.19374999403953552
15,0.20743464,0.032824136,0.8476258,0.0007001784,0.19375000894069672
16,0.20705631,0.03749704,0.84499794,0.00068550353,0.26875001192092896
17,0.20663223,0.04123892,0.8429887,0.00071185455,0.22500000894069672
18,0.20642744,0.045556344,0.84126896,0.0007335362,0.4375
19,0.20633441,0.049149536,0.83966774,0.000759057,0.4000000059604645
20,0.20632191,0.052490167,0.8383162,0.0007939392,0.5437500476837158
21,0.20616835,0.05546214,0.83680034,0.0008302691,0.5999999642372131
22,0.20612507,0.058589615,0.8352005,0.0008553764,0.637499988079071
23,0.20614704,0.061693408,0.83373356,0.00088593346,0.65625
24,0.20602834,0.064422086,0.8323515,0.0009168854,0.7250000238418579
25,0.20599331,0.066947825,0.83104724,0.0009449011,0.7562500238418579
26,0.2058903,0.06948867,0.8298326,0.000973127,0.7562500238418579
27,0.20569435,0.07163334,0.8286355,0.0009961636,0.800000011920929
28,0.20553641,0.07341648,0.8275079,0.001017657,0.831250011920929
29,0.2053836,0.07542578,0.8263952,0.0010329786,0.8562500476837158
30,0.20528562,0.07710982,0.8253617,0.0010464253,0.8062499761581421
31,0.20516,0.078808315,0.8243918,0.0010590326,0.8999999761581421
32,0.20505966,0.080474354,0.82345575,0.0010720348,0.84375
33,0.2049282,0.08179701,0.82254887,0.001081006,0.875
34,0.204801,0.08302794,0.82176834,0.0010910936,0.8999999761581421
35,0.20466292,0.084083565,0.82100916,0.0011024271,0.8187500238418579
36,0.20449932,0.08526415,0.82022095,0.001105364,0.8937499523162842
37,0.20434934,0.08620718,0.8194606,0.0011119451,0.8687499761581421
38,0.20413862,0.087092064,0.81877923,0.001118014,0.8937499523162842
39,0.20391463,0.08772705,0.81804585,0.001127648,0.9249999523162842
40,0.20375441,0.08839492,0.8173134,0.0011342103,0.949999988079071
41,0.20357713,0.08912103,0.81673783,0.0011432784,0.8812500238418579
42,0.20343113,0.089884035,0.81611824,0.0011464747,0.9624999761581421
43,0.20331474,0.09045261,0.81553906,0.0011481767,0.9437500238418579
44,0.20314282,0.090915374,0.8149529,0.0011495351,0.9624999761581421
45,0.20300652,0.09137988,0.8144116,0.0011539503,0.9437499642372131
46,0.20283678,0.09201376,0.8138969,0.0011535756,0.9125000238418579
47,0.2026724,0.09247799,0.8133685,0.0011573319,0.96875
48,0.20253275,0.092949055,0.812857,0.0011569639,0.956250011920929
49,0.20240515,0.09324264,0.81234646,0.0011571132,0.9437500238418579
50,0.2022793,0.09361281,0.8119128,0.0011571045,0.96875
51,0.20214769,0.09386628,0.8114528,0.0011584464,0.9750000238418579
52,0.20200628,0.09417185,0.81101924,0.001159931,0.9312499761581421
53,0.2018503,0.0944402,0.8106131,0.0011598849,0.9750000238418579
54,0.20168413,0.09463971,0.81024915,0.0011614676,0.9750000238418579
55,0.20156756,0.094785765,0.8098932,0.0011621335,0.9937499761581421
56,0.2014554,0.09505482,0.809524,0.0011641767,0.96875
57,0.20132147,0.09530125,0.8092408,0.0011641745,0.9750000238418579
58,0.20121986,0.09550132,0.8089035,0.0011656495,0.987500011920929
59,0.20109195,0.095603846,0.8085752,0.0011677023,0.9750000238418579
60,0.2009837,0.095769994,0.80826336,0.001168963,0.9500000476837158
61,0.20084284,0.09575816,0.8079496,0.0011682496,0.987500011920929
62,0.20072724,0.095913894,0.807648,0.0011674381,0.981249988079071
63,0.20061901,0.09597441,0.8073731,0.0011674054,0.9812500476837158
64,0.20049784,0.09606582,0.80708766,0.0011652271,0.9937499761581421
