epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20716935,0.001373883,0.845275,0.0024367357,0.0
1,0.20756513,0.0018558942,0.84746814,0.0021235452,0.0
2,0.2074576,0.0021319373,0.8477542,0.0021007166,0.0
3,0.20730317,0.0020966704,0.8478036,0.0021007909,0.0
4,0.20741367,0.0022495168,0.84826565,0.002056538,0.0
5,0.20731999,0.0022830262,0.84818596,0.0020284103,0.0
6,0.20736365,0.0023271737,0.8485203,0.001985677,0.0
7,0.20732725,0.0026089177,0.84842557,0.0019342396,0.0
8,0.207329,0.0026765906,0.8484866,0.0019454481,0.0
9,0.20735548,0.0029666694,0.8487718,0.0019451709,0.0
10,0.20742378,0.0031325554,0.8489473,0.0019403422,0.0
11,0.2073083,0.0035831095,0.8490255,0.0018817984,0.0
12,0.20720534,0.003910493,0.8491927,0.0018336633,0.0
13,0.20726772,0.004259239,0.84946316,0.0018032895,0.0
14,0.20730385,0.004579915,0.84942937,0.0018122462,0.0
15,0.20728211,0.00510924,0.84943944,0.0017865509,0.0
16,0.20728342,0.005507439,0.84939164,0.0017620277,0.0062500000931322575
17,0.20709684,0.006440311,0.84900546,0.0017172577,0.02500000037252903
18,0.2068859,0.007974309,0.8479273,0.0016136775,0.0625
19,0.20681645,0.0098726945,0.84679836,0.001558428,0.03125
20,0.20658968,0.0119672455,0.84526426,0.0015527656,0.15625
21,0.20625782,0.014635566,0.8431259,0.0014955694,0.16249998807907104
22,0.2059105,0.017205292,0.8409845,0.0014455793,0.1562499940395355
23,0.20558248,0.019752517,0.83915997,0.0014499557,0.23125001192092896
24,0.2054101,0.022569072,0.837698,0.0014646471,0.23749999701976776
25,0.20518774,0.02476052,0.83638644,0.0014698502,0.518750011920929
26,0.20503324,0.026652418,0.835155,0.0014818562,0.48750001192092896
27,0.20485781,0.028512606,0.83398384,0.0014953696,0.4875000357627869
28,0.20450497,0.03052971,0.83279675,0.0015092329,0.606250011920929
29,0.20428915,0.032371722,0.83168334,0.0015267647,0.6625000476837158
30,0.20399061,0.034178123,0.8306138,0.0015434483,0.7312500476837158
31,0.20377497,0.036073882,0.82945156,0.0015489269,0.7749999761581421
32,0.2035343,0.03795692,0.82833695,0.0015563074,0.75
33,0.20343095,0.040054902,0.82728297,0.0015670167,0.856249988079071
34,0.20325471,0.04195403,0.8262016,0.0015741824,0.7875000238418579
35,0.20314923,0.04367375,0.8252154,0.001576115,0.8500000238418579
36,0.20303899,0.045387454,0.8242809,0.0015743199,0.8687499761581421
37,0.20287904,0.047107015,0.82343847,0.0015769758,0.829999988079071
38,0.20271486,0.04850173,0.82261246,0.00157797,0.8375
39,0.2025733,0.05005093,0.8218026,0.0015807543,0.837499642372131
40,0.20248252,0.051358424,0.82104325,0.0015801424,0.849999988079071
41,0.20231444,0.052821808,0.8203556,0.0015838635,0.7562499523162842
42,0.20218977,0.054097757,0.81965214,0.0015792651,0.749999988079071
43,0.20210858,0.055362713,0.8189935,0.0015701312,0.8375
44,0.20197302,0.05644351,0.81836635,0.0015710652,0.86312499761581421
45,0.2018087,0.057609495,0.8177962,0.0015665819,0.884999761581421
46,0.20164253,0.058619894,0.81721526,0.001562696,0.90875
47,0.201471,0.059590116,0.8166497,0.0015632458,0.925000011920929
48,0.20132919,0.060368318,0.81613666,0.0015647435,0.9562499523162842
49,0.20115267,0.06121331,0.81558466,0.0015579755,0.9249999523162842
50,0.20101972,0.061881594,0.81513834,0.0015569357,0.9312499761581421
