epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20777777,0.0043909214,0.84716135,0.0019021818,0.0
1,0.20766583,0.003679554,0.8468392,0.0020329643,0.0
2,0.20753062,0.0034185073,0.8462638,0.0020915626,0.0
3,0.20731358,0.0034292447,0.8457968,0.0021383213,0.0
4,0.20735149,0.003376142,0.84587353,0.0021469577,0.0
5,0.20741646,0.0033932955,0.8457713,0.0021480543,0.0
6,0.20742796,0.0034474158,0.84580857,0.002150006,0.0
7,0.20733541,0.003436929,0.84570867,0.0021632267,0.0
8,0.20740548,0.0034614634,0.84580725,0.002153541,0.0
9,0.20736796,0.003508567,0.84564716,0.0021345576,0.0
10,0.20739794,0.0035271063,0.84575063,0.0020917447,0.0
11,0.20741872,0.003494186,0.8457437,0.0020839504,0.0
12,0.20741814,0.0035398453,0.8457885,0.0020546622,0.0
13,0.2074555,0.0035606928,0.8458596,0.0020590152,0.0
14,0.20745517,0.0036099283,0.84583074,0.0020307763,0.0
15,0.20749597,0.003653566,0.8458325,0.0020292401,0.0
16,0.20751886,0.0036817014,0.8459065,0.0020260436,0.0
17,0.20752084,0.003730414,0.84594005,0.002012974,0.0
18,0.20752959,0.0037474704,0.84596056,0.002010853,0.0
19,0.20753624,0.003771454,0.8459284,0.0019949835,0.0
20,0.20750912,0.003757827,0.84590775,0.0020042376,0.0
21,0.20751686,0.0038031088,0.84591013,0.0019954585,0.0
22,0.20751229,0.00387431,0.8458856,0.0019791808,0.0
23,0.20751539,0.0038851209,0.84587574,0.0019693605,0.0
24,0.20751251,0.0039276583,0.8458771,0.001959277,0.0
25,0.20750766,0.0039580874,0.8458605,0.0019454028,0.0
26,0.20750979,0.00396513,0.8459279,0.0019484884,0.0
27,0.20750128,0.003951731,0.84592706,0.0019575956,0.0
28,0.20750141,0.0039864765,0.84590214,0.0019544517,0.0
29,0.20750643,0.0040322277,0.8458914,0.0019453113,0.0
30,0.20749564,0.0040536397,0.84590393,0.0019356804,0.0
31,0.20751148,0.004093193,0.8459275,0.0019224985,0.0
32,0.2075125,0.004085635,0.8459347,0.0019237645,0.0
33,0.20750661,0.0041240873,0.8459112,0.0019251661,0.0
34,0.20752463,0.004168385,0.8459329,0.0019246346,0.0
35,0.20751919,0.004189903,0.84591776,0.0019240686,0.0
36,0.20753145,0.004242525,0.8459305,0.0019129543,0.0
37,0.20753492,0.0042819628,0.84594804,0.0019105151,0.0
38,0.207533,0.0043168147,0.8459948,0.0019091483,0.0
39,0.20754671,0.0043663024,0.8460037,0.001899417,0.0
40,0.20755816,0.0044007506,0.846003,0.0018933866,0.0
41,0.20756397,0.0044541894,0.8460166,0.001891355,0.0
42,0.20755547,0.0044823824,0.8459845,0.0018891183,0.0
43,0.20756342,0.004502625,0.8459959,0.0018876799,0.0
44,0.20756651,0.004493905,0.8460036,0.0018931195,0.0
45,0.20756763,0.0045100246,0.84600544,0.0018939353,0.0
46,0.207578,0.0045272787,0.84604263,0.0018930365,0.0
47,0.20758365,0.0045573954,0.8460514,0.0018855635,0.0
48,0.20758376,0.004559711,0.84604764,0.0018817489,0.0
49,0.20759791,0.004572774,0.8460633,0.0018822048,0.0
50,0.20760092,0.0045644604,0.8460658,0.0018849781,0.0
51,0.20762067,0.0045755394,0.84610623,0.0018816727,0.0
52,0.2076237,0.004587527,0.8460963,0.0018810077,0.053
54,0.20762898,0.004647796,0.8461047,0.0018774049,0.005263157973164006
55,0.20762834,0.0047075804,0.8461073,0.0018777827,0.0
56,0.20765026,0.004767617,0.84610367,0.0018677097,0.0
57,0.20766632,0.004862068,0.8461211,0.0018579941,0.005263157973164006
58,0.20767307,0.004967421,0.8461183,0.0018508779,0.0
59,0.20768255,0.005124139,0.8460987,0.0018385286,0.0
60,0.20767494,0.0053266073,0.84606624,0.0018198155,0.010526315946328012
