epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.20784168,0.0015992724,0.8460629,0.0027986977,0.0
1,0.20781264,0.0015641891,0.8458743,0.002743964,0.0
2,0.20770414,0.0015568527,0.8452876,0.0027351666,0.0
3,0.20759016,0.001558331,0.84501845,0.0027229327,0.0
4,0.20762688,0.0015426971,0.84504193,0.0027187418,0.0
5,0.20763648,0.00154307,0.8449876,0.0027169592,0.0
6,0.2076582,0.0015479936,0.84501505,0.0027146412,0.0
7,0.20764358,0.0015521166,0.8450089,0.0027134921,0.0
8,0.20768322,0.0015535494,0.8452136,0.0027110956,0.0
9,0.20767125,0.0015491099,0.8451778,0.0027089731,0.0
10,0.20769624,0.0015525016,0.8452782,0.0027069536,0.0
11,0.20767647,0.0015539608,0.8452522,0.0027042984,0.0
12,0.20768933,0.0015559879,0.8453188,0.0027043868,0.0
13,0.20770282,0.0015569666,0.8453838,0.0027027149,0.0
14,0.20768686,0.0015563379,0.84534144,0.0027022352,0.0
15,0.20770462,0.0015543507,0.84533954,0.0027050583,0.021052631892656024
16,0.20769365,0.0015543407,0.8453147,0.002708852,0.005263157973164006
17,0.20769979,0.0015545315,0.8453129,0.0027134332,0.0
18,0.207696,0.0015545677,0.84527415,0.0027190659,0.021052631892656024
19,0.2076765,0.0015545876,0.8451819,0.0027282063,0.01578947431162784
20,0.20763916,0.0015564305,0.84501296,0.0027487092,0.021052631892656024
21,0.20762825,0.0015623656,0.84493995,0.0027754977,0.01578947431162784
22,0.20759241,0.0015677059,0.8447786,0.0027940155,0.05263157894736842
23,0.20758143,0.0015777654,0.8447252,0.002815445,0.021052631892656024
24,0.20754242,0.0015911519,0.844534,0.002838588,0.0736842155456543
25,0.20749249,0.0016274739,0.84429044,0.0029445465,0.13684210024381938
26,0.20747796,0.0016563797,0.8441431,0.0030136916,0.1000000050193385
27,0.20744665,0.0016887371,0.8439452,0.0030778807,0.15789473684210525
28,0.2073848,0.0017248337,0.8435766,0.0031606958,0.12105264161762438
29,0.20730522,0.0017501446,0.84317017,0.003229593,0.2052631503657291
30,0.20722982,0.0017847591,0.84275883,0.003339574,0.21052631578947367
31,0.20715532,0.0019311536,0.84240633,0.0038830794,0.15789473684210525
32,0.20698902,0.0021133216,0.84168285,0.0046043093,0.2052631503657291
33,0.20679338,0.0022772916,0.84082013,0.0051899394,0.3210526516563014
34,0.20648171,0.0023441343,0.8393569,0.005387131,0.5263157894736842
35,0.20614624,0.0023785986,0.83777076,0.0054535535,0.6473683808979235
36,0.20583607,0.0024051797,0.8363188,0.0054878765,0.5526315789473685
37,0.20551598,0.0024301233,0.83480805,0.005511531,0.5684210626702559
38,0.20519483,0.0024554927,0.83326584,0.0055347956,0.8157894736842105
39,0.20489688,0.0024806317,0.83185434,0.0055492385,0.7473684110139546
40,0.20461625,0.0025052482,0.83050555,0.0055657537,0.9526315990247225
41,0.20433165,0.0025292165,0.8291686,0.005579063,0.9578947769968134
