epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.1657825,0.008171893,0.7446602,0.0046903533,0.012500000186264515
1,0.165599,0.008016929,0.7448499,0.0046567987,0.0
2,0.16576284,0.00818699,0.7444063,0.0046354397,0.0062500000931322575
3,0.16621986,0.008461393,0.7450011,0.0043315305,0.0
4,0.166533,0.008642175,0.7455509,0.004387352,0.0062500000931322575
5,0.16708513,0.008850603,0.7467442,0.004452079,0.01875000074505806
6,0.16770767,0.009154483,0.7486646,0.0045549986,0.03750000149011612
7,0.16859125,0.009768334,0.7521391,0.0047824793,0.05625000223517418
8,0.16955289,0.010422815,0.75563544,0.0050300993,0.08750000596046448
9,0.17021841,0.0109684765,0.7581492,0.00507437,0.10000000149011612
10,0.1707018,0.0116007915,0.7601326,0.00503286,0.15625
11,0.17107536,0.012104659,0.76204616,0.0049570506,0.13750000298023224
12,0.17151731,0.0126504,0.7642636,0.004950493,0.16875000298023224
13,0.17197403,0.013180293,0.7667267,0.0049680234,0.17500001192092896
14,0.17251964,0.013613794,0.7695034,0.0050064414,0.22499999403953552
15,0.17311771,0.013946393,0.7725806,0.005088055,0.24375000596046448
16,0.17367844,0.014295281,0.7749782,0.0051238164,0.23124998807907104
17,0.17401518,0.014760226,0.77654505,0.005165607,0.26875001192092896
18,0.17426768,0.015073904,0.77761894,0.0051712845,0.33125001192092896
19,0.1744833,0.015247356,0.778457,0.005176343,0.3125
20,0.1747737,0.015405896,0.7796827,0.0051719244,0.21875
21,0.17504953,0.015553186,0.7808108,0.0051733693,0.3500000238418579
22,0.17532684,0.015721234,0.7817964,0.0051608034,0.3375000059604645
23,0.1755795,0.015889147,0.78293943,0.0051542837,0.34375
24,0.17597303,0.016032461,0.7845891,0.005143628,0.38750001788139343
25,0.17640305,0.016301235,0.7861213,0.0051573073,0.4125000238418579
26,0.17677614,0.016431734,0.78757167,0.0051376647,0.4437500238418579
27,0.17715837,0.016511679,0.7890692,0.005130869,0.4624999761581421
28,0.17751504,0.016601108,0.79038715,0.005106511,0.45625001192092896
29,0.1778285,0.016663043,0.7915797,0.0050852303,0.4312499761581421
30,0.17806096,0.016854428,0.792649,0.005061399,0.5062500238418579
31,0.17833737,0.016980577,0.7937617,0.0050402055,0.4437499940395355
32,0.17861582,0.017090756,0.7947474,0.005009554,0.40625
33,0.17892893,0.017164506,0.795744,0.0049942285,0.53125
