epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16596338,0.008278349,0.7455492,0.004787939,0.0062500000931322575
1,0.16562285,0.008255327,0.7450566,0.00454993,0.0
2,0.16580273,0.008536889,0.7443101,0.004503232,0.0
3,0.16621692,0.008892729,0.74473476,0.004263025,0.0
4,0.1665168,0.009032025,0.74570066,0.0043853316,0.012500000186264515
5,0.16700098,0.009290681,0.7470371,0.004438791,0.02500000037252903
6,0.1677518,0.009845193,0.7496121,0.0046336874,0.06875000149011612
7,0.16856076,0.010477984,0.75366694,0.00495182,0.08125000447034836
8,0.16947299,0.011331706,0.75802064,0.005253859,0.03125
9,0.17011589,0.012137183,0.76099634,0.0053315056,0.06875000149011612
10,0.17069164,0.0130919255,0.7634981,0.0052956217,0.10000000149011612
11,0.17108732,0.0137162665,0.76506877,0.0052508544,0.08124999701976776
12,0.17138384,0.014151799,0.76596785,0.005216185,0.08749999850988388
13,0.1718445,0.014563825,0.7671835,0.005200408,0.16249999403953552
14,0.17251664,0.014897665,0.7693918,0.0052279998,0.24375000596046448
15,0.1731814,0.015306944,0.7717181,0.0052508437,0.23750001192092896
16,0.17371936,0.015635539,0.77328724,0.005264282,0.2687500059604645
17,0.1742543,0.015850995,0.7752843,0.005266203,0.25624998807907104
18,0.17481096,0.016132744,0.77741784,0.0053211763,0.29375001192092896
19,0.17530729,0.016334988,0.77921325,0.0053303665,0.35625001788139343
20,0.17575695,0.0165374,0.7809523,0.0053350944,0.3812499940395355
21,0.17616896,0.016669745,0.7824555,0.005319234,0.34375
22,0.17655347,0.01690941,0.7839844,0.005297924,0.38125001788139343
23,0.17692764,0.017042277,0.785582,0.005282586,0.34312499761581421
24,0.17729445,0.01721119,0.78706235,0.0052603553,0.3937500059604645
25,0.17757425,0.017330153,0.788395,0.0052362992,0.3645249999761581421
26,0.17783903,0.017456561,0.7895697,0.005216095,0.43124998807907104
27,0.17815585,0.017604558,0.79086715,0.005187888,0.45
28,0.17842935,0.017703885,0.7919707,0.0051696957,0.4550000011920929
29,0.17865397,0.017869452,0.79281473,0.0051592705,0.443749988079071
30,0.17891508,0.01801543,0.7937734,0.0051429877,0.4062500476837158
31,0.17919473,0.018131237,0.7948516,0.005124552,0.4262500476837158
32,0.17948157,0.018278236,0.79581577,0.0051077935,0.4625
33,0.17972678,0.01832397,0.7968376,0.00509367,0.45687500238418579
34,0.1799118,0.018380104,0.7976374,0.005078047,0.45625
35,0.18015066,0.018500712,0.798539,0.005064535,0.46749999523162842
36,0.1803385,0.018539205,0.799263,0.005047358,0.49375
37,0.1805463,0.018532295,0.80015224,0.0050355406,0.450000011920929
38,0.18071339,0.018577687,0.8009036,0.0050232243,0.4812499761581421
39,0.180883,0.018621374,0.8015447,0.005007925,0.5000000476837158
40,0.18104361,0.01871225,0.8021922,0.004994484,0.5249999761581421
41,0.1811958,0.018710373,0.8027529,0.0049761846,0.5937500238418579
42,0.18134047,0.0187047,0.80352825,0.0049613696,0.5687500238418579
43,0.18146421,0.018720407,0.8041161,0.0049474756,0.6687500476837158
44,0.18158492,0.018769346,0.80465585,0.004937692,0.606249988079071
45,0.18168163,0.018810164,0.8050935,0.0049209152,0.6624999642372131
46,0.18179755,0.018878274,0.80549663,0.0049144407,0.6875
47,0.18190263,0.018902004,0.80594283,0.004900188,0.6937499642372131
48,0.18196377,0.018945837,0.80625206,0.004887075,0.643750011920929
49,0.18205872,0.019003706,0.8066258,0.0048735007,0.668749988079071
50,0.18214302,0.019094262,0.8070032,0.004865197,0.7000000476837158
51,0.18223229,0.019157778,0.80740386,0.0048562894,0.6875
52,0.18231148,0.01918819,0.8077509,0.0048433165,0.6937500238418579
53,0.18237442,0.019207722,0.8080468,0.004830384,0.6000000476837158
54,0.18244432,0.01927412,0.8083423,0.0048173442,0.6499999761581421
55,0.18253669,0.01927034,0.80872256,0.004806924,0.6250000238418579
56,0.18259037,0.01926528,0.8089766,0.0047932905,0.6250000238418579
57,0.18265432,0.019296039,0.8093178,0.0047839656,0.6875
58,0.18273559,0.019335337,0.80963117,0.0047747307,0.6437499761581421
59,0.18280466,0.019374514,0.80994886,0.0047702147,0.65
60,0.182874,0.019399116,0.81029224,0.0047593336,0.6750000357627869
61,0.18295062,0.019430427,0.81064504,0.0047506164,0.6562500238418579
62,0.18304019,0.019426612,0.81099457,0.0047388053,0.6937500238418579
63,0.18309969,0.019501863,0.8112326,0.0047306344,0.675000011920929
64,0.18318468,0.019501228,0.8115656,0.0047200224,0.6375000476837158
65,0.18326154,0.019507278,0.81186485,0.0047083325,0.668750011920929
66,0.18335675,0.019507268,0.8121374,0.0047015348,0.668749988079071
67,0.1834034,0.019526646,0.81238085,0.0046904455,0.61875
68,0.18344039,0.019544289,0.81258464,0.004681798,0.6875
69,0.1834856,0.019570429,0.8127505,0.0046750703,0.6374999523162842
70,0.18354867,0.019589946,0.81300515,0.0046675387,0.6937499642372131
71,0.18359572,0.019591639,0.8132737,0.004658717,0.7062499523162842
72,0.18366425,0.019623434,0.813555,0.004653324,0.71875
73,0.18371855,0.019644301,0.8137372,0.004647661,0.7125000357627869
74,0.18377586,0.019638114,0.813989,0.0046392363,0.668749988079071
75,0.18382631,0.019659394,0.8142233,0.0046322336,0.6812499761581421
76,0.18388122,0.01965068,0.81446093,0.004625973,0.7312500476837158
77,0.18395144,0.019669652,0.81467694,0.0046210676,0.7062499523162842
78,0.1840212,0.01964729,0.8148756,0.004615265,0.6625000238418579
79,0.18407503,0.019667104,0.8150211,0.0046090772,0.7437500357627869
80,0.18413773,0.019666726,0.8152518,0.004604325,0.6937500238418579
81,0.18416452,0.019686395,0.8153801,0.0046003503,0.6812500357627869
82,0.18419611,0.01972332,0.8154867,0.0045980243,0.706250011920929
83,0.18424395,0.01973564,0.8156765,0.004590124,0.6875
84,0.18427773,0.0197848,0.81577426,0.0045848736,0.6875
85,0.18430051,0.019804524,0.81586885,0.004578663,0.6875000238418579
86,0.18431404,0.019822374,0.8159361,0.0045761988,0.6875000238418579
87,0.18434443,0.019823603,0.8160503,0.004571769,0.6437499761581421
88,0.18437903,0.01984011,0.8161476,0.0045673186,0.6875
89,0.18440354,0.01985889,0.81623465,0.004560366,0.68125
90,0.18441679,0.019858459,0.8162953,0.004555976,0.65625
91,0.18445292,0.019858897,0.8163809,0.0045506903,0.699999988079071
92,0.1844725,0.019878326,0.8164694,0.004548908,0.6687500476837158
93,0.18449982,0.01987969,0.81655866,0.004543425,0.706250011920929
94,0.18452483,0.019898042,0.8166678,0.004542721,0.68125
95,0.18456267,0.019918308,0.8168004,0.0045401077,0.6625000238418579
96,0.18459928,0.019932501,0.8169475,0.004537272,0.7250000238418579
