epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.005
4,0.005
5,0.025
6,0.015
7,0.03
8,0.04
9,0.04
10,0.05
11,0.04
12,0.095
13,0.095
14,0.15000000000000002
15,0.125
16,0.13
17,0.15000000000000002
18,0.18
19,0.11
20,0.22999999999999998
21,0.15
22,0.135
23,0.175
24,0.155
25,0.22999999999999998
26,0.235
27,0.215
28,0.215
29,0.28
30,0.24000000000000002
31,0.24
32,0.31000000000000005
33,0.325
34,0.365
35,0.24
36,0.26
37,0.265
38,0.265
39,0.195
40,0.42500000000000003
41,0.475
42,0.465
43,0.421500000000000002
44,0.433999999999999997
45,0.53999999999999997
46,0.531
47,0.56
48,0.56
49,0.632999999999999996
50,0.6395
51,0.59
52,0.543
53,0.4315
54,0.56
55,0.545999999999999996
56,0.575
57,0.58
58,0.575
59,0.635
60,0.6385
61,0.54
62,0.595
63,0.59
64,0.543
65,0.5445
66,0.56499999999999997
67,0.641000000000000003
68,0.6485
69,0.56
70,0.57
71,0.5405
72,0.645
73,0.615
74,0.545
75,0.637
76,0.585
77,0.5405
78,0.5415
79,0.585
80,0.5
81,0.468
82,0.62
83,0.5395
84,0.551
85,0.645
86,0.618
87,0.52500000000000004
88,0.595
89,0.5449999999999999
90,0.585
91,0.505
92,0.625
93,0.61500000000000004
94,0.515
95,0.63
96,0.5435
97,0.65999999999999996
98,0.5999999999999996
99,0.575
