epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16520222,0.008566186,0.74112654,0.0043186247,0.0
1,0.16506296,0.008366199,0.7424032,0.0042441715,0.0
2,0.1653774,0.008371188,0.7428207,0.0043605682,0.0062500000931322575
3,0.16554491,0.00866575,0.7431924,0.0042451243,0.0
4,0.16611363,0.008964545,0.7442327,0.004245706,0.012500000186264515
5,0.16699553,0.009484909,0.74654204,0.004419955,0.04375000298023224
6,0.16818361,0.010135988,0.7499723,0.004536446,0.05000000074505806
7,0.1690554,0.010759081,0.75305915,0.0045887227,0.14374999701976776
8,0.16980799,0.011383669,0.7563496,0.0046812925,0.18125000596046448
9,0.17065887,0.011956058,0.7599297,0.0047623776,0.15000000596046448
10,0.17118414,0.01250264,0.76222014,0.004722673,0.2875000238418579
11,0.1715758,0.012934578,0.7638845,0.004661853,0.21250000596046448
12,0.17194116,0.01331543,0.7652901,0.004628374,0.26250001788139343
13,0.1723169,0.013719163,0.76654595,0.0046563135,0.2750000059604645
14,0.17278284,0.014174986,0.76834935,0.004722902,0.33750003576278687
15,0.1734333,0.014481847,0.7706489,0.0048066606,0.23750001192092896
16,0.17391022,0.014661273,0.7726248,0.004844177,0.34375
17,0.17440829,0.014715858,0.7746218,0.0048739915,0.4125000238418579
18,0.17494325,0.014973389,0.7765762,0.004901555,0.3999999761581421
19,0.17544536,0.015176901,0.7785713,0.004919712,0.41874998807907104
20,0.17593072,0.015347744,0.780452,0.004943834,0.35625001788139343
21,0.17630462,0.015555891,0.78187436,0.004944056,0.5
22,0.17661726,0.015617838,0.78326845,0.0049356823,0.4125000238418579
23,0.17694698,0.015841959,0.78469944,0.0049305325,0.41874998807907104
24,0.17735338,0.015988998,0.7863478,0.004945587,0.44999998807907104
25,0.17768729,0.016059326,0.7877491,0.0049411133,0.5249999761581421
26,0.17794909,0.01615189,0.7889313,0.004938846,0.5062500238418579
27,0.1782035,0.016237661,0.79012305,0.0049344166,0.5187499523162842
28,0.1784245,0.016321503,0.79122806,0.004932135,0.5875000357627869
29,0.17864124,0.016324386,0.79217005,0.004928089,0.5625
30,0.17885433,0.016386112,0.79315287,0.0049268124,0.6749999523162842
31,0.17904818,0.01642474,0.7939963,0.004917867,0.5750000476837158
32,0.1791743,0.016468322,0.7945687,0.0049013696,0.5250000357627869
33,0.17935516,0.016513009,0.79537064,0.0048815175,0.643750011920929
34,0.17945318,0.01653978,0.7958854,0.004867768,0.675000011920929
35,0.17957082,0.01665722,0.7964852,0.0048556314,0.6062500476837158
36,0.17967202,0.016703727,0.7968645,0.0048377723,0.625
37,0.17978539,0.016767954,0.7974116,0.0048245955,0.5874999761581421
38,0.17988211,0.016777456,0.7978232,0.004807053,0.6875
