epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16517371,0.008072493,0.74342346,0.0046744556,0.0062500000931322575
1,0.16530216,0.008191819,0.74314564,0.0046876203,0.0
2,0.16557968,0.008351742,0.74358624,0.004546,0.0
3,0.1659748,0.008536804,0.74441224,0.004446843,0.0062500000931322575
4,0.16669913,0.008991827,0.7470975,0.0045892447,0.012500000186264515
5,0.1674578,0.009640286,0.750056,0.0047078,0.01875000074505806
6,0.1683807,0.010291105,0.7539549,0.0048910715,0.0625
7,0.16937776,0.010745956,0.7586305,0.005042357,0.08124999701976776
8,0.17033486,0.011357781,0.76345414,0.0051869387,0.07500000298023224
9,0.17126648,0.011720641,0.76788694,0.005274689,0.16875000298023224
10,0.17216758,0.012163515,0.77178305,0.0053189527,0.16875000298023224
11,0.17301255,0.012669104,0.7750434,0.0053359442,0.24375000596046448
12,0.17371316,0.013041287,0.77816755,0.0053417147,0.26875001192092896
13,0.17427427,0.013361445,0.7807148,0.0053267814,0.26875001192092896
14,0.17489687,0.013589087,0.7837579,0.0053526685,0.20625001192092896
15,0.17563981,0.013842187,0.78676105,0.0053666327,0.33125001192092896
16,0.1762723,0.014078214,0.78936386,0.00536531,0.30000001192092896
17,0.17690021,0.014308342,0.7918902,0.0053531067,0.32500001788139343
18,0.17743246,0.01449822,0.79390264,0.0053390744,0.3375000059604645
19,0.17791092,0.014560176,0.795733,0.005323841,0.34375
20,0.17834678,0.014703321,0.79737806,0.005287579,0.4125000238418579
21,0.17875499,0.014885554,0.79881334,0.005267182,0.38749998807907104
22,0.17915796,0.015011484,0.8001976,0.005222702,0.4375
23,0.17950489,0.015130592,0.8014687,0.0051866802,0.46875
24,0.17984961,0.015199137,0.8026066,0.005151262,0.4937499761581421
25,0.18018836,0.01532206,0.80366236,0.0051072594,0.5
26,0.18048811,0.015424972,0.8046253,0.0050704535,0.5062500238418579
27,0.18077391,0.0154965,0.8054392,0.0050296173,0.5125000476837158
28,0.18095118,0.015641496,0.8060425,0.0049914117,0.5874999761581421
29,0.18109708,0.01571832,0.8066313,0.004958115,0.606249988079071
30,0.18127811,0.015789948,0.8071441,0.0049232324,0.5687500238418579
31,0.18144082,0.015834821,0.8076351,0.0048933434,0.5062499642372131
32,0.18157686,0.015932396,0.80808073,0.0048629534,0.625
33,0.18171431,0.016002206,0.8084688,0.0048352345,0.6000000238418579
34,0.18187542,0.016081436,0.8088972,0.00481069,0.5250000357627869
35,0.18199678,0.016166216,0.809333,0.004787887,0.5687500238418579
36,0.18208838,0.016220434,0.8095827,0.004757549,0.5249999761581421
37,0.1821867,0.016272593,0.80995864,0.004738519,0.6812499761581421
38,0.18226767,0.016387882,0.8102181,0.004720475,0.668749988079071
39,0.18234657,0.016463108,0.81050843,0.00470116,0.550000011920929
40,0.1824353,0.016514055,0.81073886,0.004680267,0.6187499761581421
41,0.18251142,0.01658282,0.8109851,0.004659588,0.6875
42,0.182543,0.01663739,0.8110674,0.0046460214,0.6062500476837158
43,0.1826035,0.016711034,0.811188,0.0046230876,0.6625000238418579
44,0.18265718,0.016796127,0.81133175,0.0046065375,0.59375
45,0.18271635,0.016866095,0.81147915,0.0045932946,0.675000011920929
46,0.18275243,0.01692363,0.81161356,0.0045790984,0.5812500715255737
47,0.18280505,0.016987009,0.81177443,0.0045650005,0.675000011920929
48,0.1828472,0.017010545,0.8119835,0.0045471056,0.668749988079071
49,0.1828814,0.01704254,0.8121323,0.0045313393,0.6375000476837158
50,0.1829349,0.0170651,0.81230944,0.0045136623,0.706250011920929
51,0.1829751,0.017110223,0.81250185,0.0045010857,0.6187499761581421
52,0.18301898,0.017159246,0.81269103,0.004489885,0.59375
53,0.18305796,0.017185971,0.8128395,0.0044744103,0.6187499761581421
54,0.18309335,0.017241534,0.8130134,0.0044600735,0.6187499761581421
55,0.18314236,0.017280163,0.8132124,0.0044456986,0.5249999761581421
56,0.18320541,0.01730457,0.8134025,0.004431248,0.4312500059604645
57,0.18324491,0.017343232,0.8135604,0.004417038,0.6749999523162842
58,0.18330084,0.017354516,0.81372356,0.004404143,0.6187499761581421
59,0.18333468,0.017371796,0.81381845,0.004393088,0.668749988079071
60,0.18338202,0.017393902,0.81399053,0.004380665,0.643750011920929
61,0.18345694,0.017391484,0.81423205,0.0043677264,0.6625000238418579
62,0.18352595,0.017394714,0.8144495,0.0043590395,0.65625
63,0.18359585,0.01740258,0.8147076,0.004350046,0.6187499761581421
64,0.18366084,0.017401481,0.81494,0.004341121,0.675000011920929
