epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16571909,0.008200625,0.7424621,0.00454817,0.0
1,0.16556282,0.00814012,0.7436438,0.0043550855,0.0
2,0.16575015,0.008273894,0.74414533,0.0043730736,0.0062500000931322575
3,0.16620415,0.008669237,0.74419826,0.0040955474,0.0062500000931322575
4,0.16685008,0.009229284,0.74580246,0.004268219,0.0062500000931322575
5,0.16761962,0.009656712,0.74812794,0.004524989,0.012500000186264515
6,0.16899319,0.010239861,0.75311285,0.0049481075,0.012500000186264515
7,0.1702199,0.010742102,0.7582731,0.005278097,0.04375000298023224
8,0.1710957,0.011008071,0.7625429,0.0054020756,0.11875000596046448
9,0.17175418,0.011281883,0.76625913,0.005401743,0.09375
10,0.17247637,0.0116533,0.769954,0.0053883176,0.125
11,0.17299603,0.012075187,0.77275705,0.0053528026,0.06875000149011612
12,0.17345175,0.012557001,0.7752916,0.0053026355,0.23749999701976776
13,0.17370185,0.012974278,0.77691275,0.0052109975,0.21250000596046448
14,0.17403863,0.0134186335,0.77828413,0.005127652,0.20000001788139343
15,0.17421451,0.013920879,0.779066,0.0050491826,0.16250000894069672
16,0.17435306,0.014306865,0.77953225,0.005010037,0.28125
17,0.17458597,0.014593265,0.7802634,0.005006147,0.29374998807907104
18,0.1747514,0.015047449,0.7806893,0.005007541,0.3375000059604645
19,0.17500338,0.015321964,0.7818155,0.0050138314,0.3375000059604645
20,0.17535454,0.015466805,0.7833597,0.005000401,0.32500001788139343
21,0.17562442,0.015716692,0.78455657,0.00497696,0.35625001788139343
22,0.17595643,0.015946472,0.7858831,0.0049584317,0.4000000059604645
23,0.17621803,0.016188096,0.78699714,0.0049338085,0.33125001192092896
24,0.1764394,0.016367834,0.7882928,0.004908323,0.40625
25,0.17665027,0.016506827,0.7892421,0.004890624,0.375
26,0.17689678,0.0166853,0.7902131,0.0048764828,0.4625000059604645
27,0.17714268,0.016876364,0.79134256,0.0048624408,0.45625001192092896
28,0.17739928,0.016992368,0.79229885,0.0048461747,0.48750001192092896
29,0.17765091,0.017102439,0.79332787,0.0048308456,0.4687499701976776
30,0.17786495,0.017156636,0.79430014,0.0048214756,0.46875
31,0.1780793,0.017240621,0.79522467,0.004805232,0.4624999761581421
32,0.17822881,0.017350666,0.79585904,0.0047887187,0.35624998807907104
33,0.17840676,0.01740345,0.79652905,0.0047702086,0.53125
34,0.17856695,0.017483944,0.7970316,0.0047490112,0.543749988079071
35,0.17875677,0.017512519,0.79769295,0.004731272,0.48750001192092896
36,0.1789478,0.017561127,0.7983815,0.0047187298,0.4749999940395355
37,0.17909773,0.01764536,0.79889727,0.0047048857,0.53125
38,0.17926188,0.01769466,0.79944664,0.0046918713,0.581250011920929
39,0.17942211,0.017750653,0.800023,0.0046830396,0.68124998807907104
40,0.17953108,0.017796343,0.8004787,0.0046676337,0.66875
41,0.17964432,0.017819557,0.80095357,0.004657514,0.5625000059604645
42,0.1797747,0.017874766,0.80143,0.004646802,0.6499999523162842
43,0.1798505,0.017913802,0.80182284,0.0046358886,0.6525000238418579
44,0.17994623,0.017937146,0.80223435,0.004621956,0.5749999940395355
45,0.18002276,0.017975587,0.80261916,0.004608378,0.518750011920929
46,0.18012303,0.018051935,0.8029337,0.004606767,0.5624999761581421
47,0.18024266,0.01807373,0.8034055,0.00459749,0.59375
48,0.1803507,0.018088952,0.80375606,0.004585369,0.6062500238418579
49,0.18044502,0.01810068,0.80404395,0.00457369,0.574999988079071
50,0.18053097,0.018131422,0.80428773,0.004565506,0.6312500238418579
51,0.18060082,0.018194163,0.8045079,0.00455817,0.6687499642372131
52,0.18069041,0.01825989,0.8046384,0.004546387,0.674999988079071
53,0.18074808,0.018320682,0.804791,0.004537211,0.5874999761581421
54,0.1807822,0.018356191,0.8048304,0.004528636,0.4937499761581421
55,0.18083788,0.018393373,0.8049369,0.0045234584,0.6187500357627869
56,0.18086067,0.018416582,0.80498147,0.004513564,0.4749999940395355
57,0.18093641,0.018455591,0.805105,0.0045039174,0.4437500238418579
58,0.18101148,0.018512137,0.8052657,0.00449066,0.5375000238418579
59,0.18106742,0.018538766,0.8053829,0.004482385,0.5249999761581421
60,0.18110232,0.01859103,0.80551475,0.0044760765,0.5562499761581421
61,0.18113817,0.018649915,0.80568796,0.004471557,0.4625000059604645
62,0.18116838,0.018715959,0.8056851,0.004463647,0.5750000476837158
63,0.18116465,0.018770281,0.80562097,0.0044562086,0.574999988079071
64,0.18121855,0.018843556,0.8057093,0.0044500427,0.625
65,0.18122934,0.018885829,0.8057058,0.0044475333,0.5562500357627869
66,0.18126507,0.018935187,0.8057967,0.0044433824,0.612500011920929
67,0.18127564,0.01896955,0.80582446,0.004440114,0.6062500476837158
68,0.1812963,0.01902151,0.80578595,0.0044394787,0.6499999761581421
69,0.18128556,0.019126035,0.8056863,0.004439875,0.59375
70,0.1812369,0.019250477,0.80529284,0.0044394895,0.6000000238418579
71,0.18118551,0.01935803,0.80485773,0.0044440646,0.518750011920929
72,0.18111572,0.019519523,0.8043015,0.0044462513,0.48125001788139343
73,0.18103981,0.019691192,0.80359197,0.0044538076,0.53125
74,0.18095995,0.019861316,0.80291575,0.0044675097,0.39374998211860657
75,0.18090288,0.019971205,0.80251163,0.0044808374,0.6062500476837158
76,0.18086687,0.020051649,0.8021608,0.004491919,0.53125
77,0.18088661,0.020079307,0.80210227,0.004495202,0.6625000238418579
78,0.18090028,0.020171734,0.8020019,0.004497995,0.643750011920929
79,0.18093747,0.02016935,0.80209947,0.0044943844,0.65625
80,0.1809646,0.020197425,0.8021409,0.0044939397,0.5750000476837158
81,0.18101025,0.020214625,0.8022394,0.0044903373,0.6187499761581421
82,0.18104988,0.020265466,0.8022998,0.00448505,0.581250011920929
83,0.18111289,0.020301597,0.8024516,0.0044776057,0.6375000476837158
84,0.18115126,0.020323658,0.8025809,0.0044733896,0.6875
85,0.18117514,0.02036523,0.80269045,0.0044704746,0.5687499642372131
86,0.1812086,0.020380182,0.8028021,0.004468793,0.75
87,0.18124016,0.020411227,0.80293566,0.0044635776,0.637499988079071
88,0.18126841,0.020431329,0.8030255,0.0044570947,0.668749988079071
89,0.181301,0.020424355,0.80312175,0.0044520334,0.6312500238418579
90,0.18134187,0.02044515,0.80325264,0.0044497973,0.625
91,0.1813627,0.020457938,0.80334014,0.004449164,0.6875
92,0.1813882,0.020495415,0.8034763,0.0044478425,0.65625
93,0.1814184,0.020491855,0.80357623,0.004443687,0.7124999761581421
94,0.18145745,0.020470168,0.803729,0.0044405307,0.7062499523162842
95,0.1814884,0.020507019,0.803837,0.004438249,0.69375
96,0.181512,0.020514386,0.8039958,0.004434548,0.65625
97,0.18153577,0.020530904,0.80406666,0.0044313627,0.7062499523162842
98,0.18156216,0.02056134,0.8041833,0.0044304365,0.6687500238418579
99,0.18160082,0.020557422,0.80430037,0.004428087,0.6375000476837158
