epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16648437,0.0126703475,0.73462313,0.002983123,0.016666666915019352
1,0.16754217,0.013844804,0.73498374,0.0029929925,0.050000001986821495
2,0.1690293,0.014423614,0.74489975,0.0033955376,0.050000001986821495
3,0.17064708,0.013836439,0.7544806,0.003810915,0.13333333532015482
4,0.17213494,0.013815849,0.7619526,0.004088868,0.10000000397364299
5,0.17322077,0.013876833,0.7667765,0.0041777664,0.18333333730697632
6,0.17391217,0.0139044365,0.7688388,0.0042400626,0.13333333532015482
7,0.17431438,0.014173466,0.77099985,0.004242759,0.4166666666666667
8,0.17479086,0.014281273,0.7729539,0.0042790165,0.45000000794728595
9,0.1752068,0.0143424915,0.774314,0.004296209,0.29999999205271405
10,0.1758151,0.014369938,0.7764323,0.004352139,0.38333332538604736
11,0.17614646,0.014351866,0.7778477,0.004391601,0.40000001589457196
12,0.17657034,0.014381122,0.7790013,0.0043992526,0.40000001589457196
13,0.17710929,0.014526103,0.78066164,0.004458744,0.46666669845581055
14,0.17752244,0.014584392,0.78182906,0.0044535263,0.4333333174387614
15,0.17793946,0.014515562,0.783204,0.00444127,0.5833332935969034
16,0.17817675,0.014505893,0.7841061,0.0044180457,0.44999996821085614
17,0.17841296,0.014456937,0.7847708,0.0044030366,0.5166666905085245
18,0.17856753,0.014455209,0.7852219,0.0043841973,0.4333333174387614
19,0.17878693,0.014438897,0.78582555,0.00437995,0.25
20,0.17898898,0.014417998,0.78664523,0.004389446,0.38333332538604736
21,0.17914003,0.014440417,0.78706664,0.0043776515,0.46666669845581055
22,0.17924608,0.0144342575,0.7876343,0.0043789055,0.5
23,0.17931396,0.014468023,0.7879295,0.0043764743,0.5000000397364298
24,0.1793843,0.014607842,0.788004,0.004384151,0.36666667461395264
25,0.1794574,0.014676631,0.7882934,0.004392609,0.46666669845581055
26,0.17960764,0.01477801,0.789056,0.004408285,0.3166666825612386
27,0.17965496,0.014839424,0.7895155,0.004428951,0.45000000794728595
28,0.17975782,0.014976377,0.79003686,0.0044567212,0.3166666626930237
29,0.17986637,0.015095161,0.7904728,0.0044751894,0.36666667461395264
30,0.17996278,0.015255297,0.7908888,0.0045023705,0.45000000794728595
31,0.18005277,0.015361645,0.7911255,0.0045167697,0.46666669845581055
32,0.18011515,0.015465173,0.7912882,0.00452868,0.36666667461395264
33,0.1801781,0.015576051,0.7914439,0.004543708,0.4166666666666667
34,0.18020752,0.015615767,0.7915554,0.0045677177,0.5833333730697632
35,0.18026671,0.01565547,0.7915299,0.0045761494,0.5333333810170492
36,0.18034123,0.015753226,0.7916918,0.004600609,0.4833333492279053
37,0.1803741,0.015840875,0.79176825,0.0046059764,0.45000000794728595
38,0.18036596,0.015979778,0.7916059,0.0046304413,0.46666669845581055
39,0.18040699,0.016035367,0.79165745,0.004647618,0.5333333412806193
40,0.18043014,0.016138054,0.7917293,0.004657813,0.6000000238418579
41,0.18047388,0.016236695,0.79176253,0.0046643247,0.40000001589457196
42,0.18052606,0.016283,0.79174453,0.004673127,0.5166666905085245
43,0.1805663,0.016331429,0.79163724,0.004683525,0.6500000158945719
44,0.18061548,0.016420644,0.79176074,0.004688529,0.5166666905085245
45,0.18068674,0.016526902,0.79185826,0.0046995194,0.4166666666666667
46,0.18070999,0.016617404,0.7918606,0.004698462,0.38333336512247723
47,0.180733,0.016691197,0.7919335,0.004701393,0.5333333412806193
48,0.18079412,0.01676942,0.79200727,0.004703228,0.4333333174387614
49,0.18079588,0.016892003,0.7919399,0.004721765,0.5666666825612386
50,0.18085615,0.016925277,0.7921899,0.0047287303,0.3333333333333333
51,0.18086487,0.01701882,0.79222256,0.004732398,0.5166666507720947
