epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16555418,0.008176649,0.7435667,0.004812127,0.0
1,0.1652943,0.0153186405,0.7398084,0.0040799542,0.0062500000931322575
2,0.16515113,0.017922796,0.73934317,0.0036380056,0.0
3,0.16482775,0.019013407,0.74002594,0.0034717468,0.0
4,0.16527182,0.019523673,0.74084115,0.0035561016,0.012500000186264515
5,0.16560568,0.01986695,0.742507,0.0035965357,0.03750000149011612
6,0.16608137,0.020077959,0.74450034,0.003787746,0.08124999701976776
7,0.16668789,0.020011656,0.7463297,0.0039127874,0.06875000149011612
8,0.16714221,0.01997833,0.74791557,0.0039605894,0.11875000596046448
9,0.16777344,0.02046033,0.7504661,0.004088881,0.15000000596046448
10,0.16866611,0.020642553,0.7535922,0.004179929,0.16249999403953552
11,0.16957359,0.02070793,0.756877,0.0043075685,0.17500001192092896
12,0.17051488,0.020789467,0.7596646,0.0043684817,0.10000000894069672
13,0.1712854,0.020986777,0.7618904,0.004372616,0.13125000894069672
14,0.17192236,0.021114638,0.76359797,0.0043626116,0.25
15,0.17225192,0.021460382,0.76490456,0.004339718,0.18125000596046448
16,0.17266619,0.021665685,0.76639366,0.0043634083,0.24374999105930328
17,0.17327616,0.021582844,0.76837754,0.004401315,0.2874999940395355
18,0.17392226,0.02162362,0.77076036,0.0044749454,0.3062500059604645
19,0.17454992,0.021772102,0.77306724,0.0045264126,0.29374998807907104
20,0.1751828,0.021795705,0.77557045,0.0045806807,0.36875003576278687
21,0.1756634,0.021699617,0.7778732,0.0046334467,0.3812500238418579
22,0.17607623,0.021630898,0.7798391,0.0046588723,0.3812500238418579
23,0.17652301,0.021691384,0.781897,0.0047000377,0.4375
24,0.1769158,0.021656318,0.78375125,0.004722929,0.53125
25,0.17723083,0.021634584,0.7853448,0.0047258507,0.4375
26,0.1776587,0.021641789,0.7870388,0.0047364593,0.40625
27,0.1779331,0.021633226,0.78845525,0.0047495593,0.46875
28,0.1782948,0.02162719,0.78980464,0.004765484,0.5249999761581421
29,0.17856783,0.021756448,0.7911082,0.0047742464,0.3812500238418579
30,0.17883791,0.021856783,0.79254466,0.0047913995,0.38749998807907104
31,0.17912151,0.021880288,0.7937558,0.0048089977,0.4375
32,0.17933743,0.021966064,0.7947977,0.0048049595,0.5
33,0.17964466,0.021939386,0.7960499,0.0048151617,0.4375
34,0.17993532,0.021925444,0.7969711,0.004816812,0.625
35,0.18020882,0.021982573,0.7978952,0.004814178,0.5687500238418579
36,0.18045822,0.021998763,0.7987148,0.004807943,0.5500000715255737
37,0.18071398,0.02202287,0.7996282,0.0048026117,0.550000011920929
38,0.1809669,0.02200737,0.80052036,0.0048029134,0.6875
39,0.18122263,0.02197365,0.80138737,0.0048034606,0.581250011920929
40,0.18139465,0.021973636,0.8021155,0.004801529,0.5687500238418579
41,0.181571,0.021947378,0.80278057,0.0047925827,0.6062500476837158
42,0.18175916,0.021969456,0.80330664,0.0047772783,0.65625
43,0.18195938,0.021910585,0.8039613,0.0047655175,0.6187499761581421
44,0.18212998,0.02186649,0.80456704,0.0047554183,0.6750000715255737
45,0.18224786,0.02181002,0.8050732,0.004735442,0.6625000238418579
46,0.18239087,0.021781813,0.80561477,0.0047216453,0.7437499761581421
47,0.1825407,0.021740247,0.8061245,0.0047080917,0.7562500238418579
48,0.182719,0.021744879,0.8066384,0.0046944446,0.7625000476837158
49,0.18286829,0.021700652,0.8070989,0.0046720807,0.7124999761581421
50,0.18298034,0.021687029,0.80758566,0.004656754,0.6625000238418579
51,0.18310755,0.021676108,0.8080607,0.0046456098,0.6937500238418579
52,0.18327871,0.021653067,0.8086097,0.0046353065,0.7437499761581421
53,0.18338981,0.021597795,0.80901617,0.0046240725,0.7687499523162842
54,0.18348941,0.021608464,0.8094407,0.0046113036,0.6812499761581421
55,0.1836069,0.021595918,0.80983096,0.0045929146,0.7000000476837158
56,0.18377931,0.021610547,0.81031245,0.004582772,0.699999988079071
57,0.18391658,0.021611352,0.8107462,0.0045735417,0.762499988079071
58,0.18401478,0.02160624,0.81101084,0.004559942,0.643750011920929
59,0.18412605,0.021669172,0.8114299,0.0045503555,0.731249988079071
60,0.1842013,0.021650448,0.81172866,0.0045364196,0.8187500238418579
61,0.18431611,0.021653313,0.8120994,0.0045268084,0.824999988079071
62,0.18441588,0.02167303,0.8123839,0.0045171487,0.668749988079071
63,0.18450902,0.021628788,0.81270987,0.0045116786,0.706250011920929
64,0.18461765,0.021646746,0.8130066,0.0045028585,0.7750000357627869
65,0.18470664,0.021683335,0.81324357,0.0044892314,0.7125000357627869
66,0.1847937,0.021667738,0.8135524,0.004481368,0.71875
67,0.1848883,0.021681758,0.8138423,0.00446815,0.6812500357627869
68,0.18493304,0.021678109,0.8140769,0.0044576935,0.706250011920929
69,0.18502687,0.02165471,0.8144188,0.004452759,0.7437499761581421
70,0.18511894,0.02169495,0.8147636,0.004446517,0.75
71,0.18517983,0.021727197,0.8150131,0.0044405833,0.7124999761581421
72,0.1852923,0.021746876,0.815326,0.0044317315,0.7562500238418579
73,0.18536961,0.021768147,0.815572,0.0044248593,0.71875
74,0.18546824,0.021773502,0.81587887,0.0044184676,0.6937500238418579
75,0.18553312,0.021769794,0.8160706,0.0044116066,0.7124999761581421
76,0.18560688,0.02176267,0.8162988,0.0044048433,0.7562500238418579
77,0.18566018,0.02177977,0.8165474,0.004399539,0.7749999761581421
78,0.18572547,0.021745607,0.8167961,0.0043931077,0.6625000238418579
79,0.18577553,0.021751354,0.8169969,0.004386731,0.7749999761581421
80,0.18582691,0.021770537,0.81717634,0.0043824855,0.824999988079071
81,0.18585405,0.021795979,0.8173352,0.004375208,0.7749999761581421
82,0.18590003,0.021802897,0.81748146,0.00436565,0.6937500238418579
83,0.18594477,0.021829724,0.81766826,0.004358517,0.71875
84,0.18599999,0.02183163,0.81785566,0.0043538245,0.793749988079071
85,0.18604952,0.02184061,0.8180309,0.004346957,0.7437499761581421
86,0.18611692,0.021891646,0.818238,0.0043409965,0.800000011920929
87,0.18616198,0.021905066,0.818414,0.0043366044,0.8062499761581421
88,0.18620606,0.021924106,0.8186035,0.0043322686,0.7125000357627869
89,0.18626139,0.021917207,0.81884813,0.00432697,0.737500011920929
90,0.18631902,0.021921229,0.81902057,0.0043237065,0.7625000476837158
91,0.18636474,0.021946518,0.8192069,0.004318707,0.71875
92,0.18639846,0.021969385,0.8193617,0.004310973,0.7000000476837158
93,0.18644437,0.021996891,0.8195451,0.0043048463,0.7875000238418579
94,0.18647945,0.021982152,0.819707,0.004300537,0.8687499761581421
95,0.18650095,0.022023585,0.81978816,0.0042979545,0.7937500476837158
96,0.18653697,0.022017831,0.81994873,0.0042953235,0.6937500238418579
97,0.18658735,0.021994181,0.8201227,0.0042914376,0.7250000238418579
98,0.18664314,0.022031624,0.82028264,0.004289863,0.8062499761581421
99,0.18667948,0.022033948,0.8203857,0.0042835902,0.7437499761581421
